Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Receivables
RF,2015-06,-287.00M,26.43B,1.75B,0.2,0.2,5.352B,0,2015-06,285.00M,79.54B,2.147B,3.602B,413.00M,124.00M,1.391B,517.00M,16.90B,121.86B,866.00M,26.73B,1.846B,104.96B,117.80B,100.68B,490.00M,305.00M
RF,2015-03,-115.00M,28.84B,0,0.16,0.16,5.327B,0,2015-03,234.00M,77.64B,2.174B,3.208B,331.00M,95.00M,1.27B,506.00M,17.05B,122.45B,882.00M,29.22B,2.085B,105.40B,116.11B,100.68B,441.00M,313.00M
RF,2014-12,-238.00M,25.96B,500.00M,0.14,0.14,5.348B,0,2014-12,216.00M,76.74B,2.193B,3.462B,317.00M,98.00M,1.291B,555.00M,16.87B,119.56B,898.00M,26.37B,2.253B,102.69B,115.25B,97.66B,545.00M,310.00M
RF,2014-09,-174.00M,27.14B,0,0.22,0.22,5.38B,0,2014-09,320.00M,75.93B,2.192B,3.813B,468.00M,151.00M,1.287B,479.00M,17.16B,119.23B,914.00M,27.47B,1.893B,102.07B,114.13B,97.94B,479.00M,310.00M
RF,2014-06,-52.00M,26.76B,0,0.21,0.21,5.373B,0,2014-06,296.00M,75.80B,2.194B,3.824B,443.00M,148.00M,1.284B,467.00M,17.03B,118.72B,934.00M,27.09B,1.818B,101.69B,113.59B,97.65B,467.00M,308.00M
RF,2014-03,-229.00M,26.80B,0,0.22,0.21,5.398B,0,2014-03,315.00M,74.81B,2.194B,4.226B,454.00M,151.00M,1.285B,479.00M,16.13B,117.93B,456.00M,27.13B,1.981B,101.80B,112.42B,97.62B,473.00M,316.00M
RF,2013-12,-319.00M,26.76B,0,0.16,0.16,5.408B,0,2013-12,196.00M,74.32B,2.216B,4.83B,411.00M,201.00M,1.367B,687.00M,15.77B,117.40B,464.00M,27.07B,2.182B,101.63B,111.81B,97.28B,687.00M,313.00M
RF,2013-09,-411.00M,25.49B,0,0.21,0.2,5.404B,4.136B,2013-09,293.00M,75.02B,2.218B,4.838B,417.00M,124.00M,1.319B,455.00M,15.49B,116.86B,472.00M,25.82B,1.773B,101.38B,112.67B,97.16B,455.00M,331.00M
RF,2013-06,-478.00M,26.28B,1.00B,0.18,0.18,5.41B,4.196B,2013-06,267.00M,74.19B,2.228B,4.856B,390.00M,122.00M,1.305B,452.00M,15.33B,118.71B,480.00M,26.61B,3.877B,103.38B,114.10B,97.31B,452.00M,326.00M
RF,2013-03,-12.00M,32.02B,1.00M,0.23,0.23,5.383B,0,2013-03,335.00M,73.27B,2.252B,5.847B,447.00M,114.00M,1.299B,447.00M,15.74B,119.72B,489.00M,32.39B,1.83B,103.98B,114.42B,99.98B,447.00M,366.00M
RF,2012-12,65.00M,32.73B,125.00M,0.18,0.18,5.352B,0,2012-12,265.00M,73.46B,2.279B,5.861B,415.00M,138.00M,1.196B,525.00M,15.50B,121.35B,497.00M,33.08B,1.574B,105.85B,115.51B,101.34B,525.00M,344.00M
RF,2012-09,202.00M,3.93B,70.00M,0.21,0.21,5.357B,0,2012-09,301.00M,74.46B,2.274B,6.224B,448.00M,136.00M,1.35B,449.00M,14.90B,121.80B,15.00M,4.292B,1.936B,106.90B,117.51B,101.10B,449.00M,362.00M
RF,2012-06,54.00M,3.766B,560.00M,0.2,0.2,5.386B,0,2012-06,355.00M,75.10B,2.30B,6.23B,477.00M,126.00M,1.345B,434.00M,14.46B,122.34B,15.00M,4.107B,3.306B,107.89B,118.24B,101.33B,434.00M,341.00M
RF,2012-03,-60.00M,7.306B,621.00M,0.11,0.11,5.435B,0,2012-03,199.00M,75.24B,2.35B,7.196B,321.00M,82.00M,1.351B,442.00M,17.53B,128.28B,3.444B,7.87B,2.908B,110.75B,120.41B,104.33B,442.00M,397.00M
RF,2011-12,-69.00M,31.52B,734.00M,0.38,0.38,5.447B,0,2011-12,-548.00M,76.04B,2.375B,8.11B,-63.00M,18.00M,1.157B,454.00M,16.50B,127.05B,3.432B,32.08B,3.067B,110.55B,119.44B,103.74B,454.00M,361.00M
RF,2011-09,92.00M,8.009B,974.00M,0.08,0.08,6.221B,0,2011-09,155.00M,77.50B,2.399B,10.14B,158.00M,17.00M,1.363B,383.00M,17.26B,129.76B,3.422B,8.685B,2.943B,112.50B,121.08B,106.08B,383.00M,422.00M
RF,2011-06,-177.00M,7.723B,982.00M,0.04,0.04,6.249B,0,2011-06,109.00M,79.20B,2.481B,11.65B,45.00M,-34.00M,1.399B,401.00M,16.89B,130.91B,3.412B,8.328B,2.722B,114.02B,122.58B,107.98B,401.00M,354.00M
