Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
BRK.B,2016-03,31.45B,82.86B,2.565B,2.267,2.267,115.02B,2016-03,5.589B,12.92B,-1.173B,-1.173B,149.54B,70.96B,98.97B,32.81B,6.456B,799.00M,52.16B,4.115B,258.66B,586.32B,8.00M,110.05B,35.37B,324.48B,473.17B,271.26B,34.00B,0,27.19B
BRK.B,2015-12,33.98B,97.72B,1.989B,2.222,2.222,72.50B,2015-12,5.478B,12.77B,-808.00M,-808.00M,145.17B,63.13B,82.30B,31.27B,7.381B,1.834B,51.94B,3.956B,255.55B,552.26B,8.00M,121.02B,33.26B,293.63B,428.14B,242.84B,33.29B,0,23.30B
BRK.B,2015-09,32.20B,93.38B,1.909B,3.825,3.825,72.89B,2015-09,9.428B,12.69B,-865.00M,-865.00M,143.33B,62.27B,83.00B,41.74B,14.07B,4.545B,58.99B,4.13B,248.28B,545.47B,8.00M,117.86B,43.65B,294.15B,434.15B,236.23B,34.18B,0,24.48B
BRK.B,2015-06,39.42B,93.81B,2.102B,1.628,1.628,73.24B,2015-06,4.013B,12.59B,-967.00M,-967.00M,140.88B,62.68B,82.48B,41.62B,5.846B,1.739B,51.37B,3.78B,246.04B,540.77B,8.00M,118.42B,43.72B,291.57B,427.59B,233.75B,34.11B,0,24.61B
BRK.B,2015-03,38.86B,91.08B,1.918B,2.095,2.095,73.17B,2015-03,5.164B,12.47B,-875.00M,-875.00M,138.74B,61.61B,81.88B,39.80B,7.647B,2.414B,48.64B,3.443B,241.46B,531.08B,8.00M,115.08B,41.72B,286.24B,422.48B,231.14B,31.33B,0,24.01B
BRK.B,2014-12,42.73B,90.67B,839.00M,1.687,1.686,70.62B,2014-12,4.155B,12.57B,-830.00M,-830.00M,137.24B,61.24B,79.05B,30.56B,5.841B,1.623B,48.28B,3.732B,240.17B,525.87B,8.00M,112.52B,31.40B,282.84B,410.65B,235.35B,32.13B,0,21.85B
BRK.B,2014-09,44.19B,91.10B,20.15B,1.874,1.874,68.51B,2014-09,4.617B,12.54B,-817.00M,-817.00M,129.80B,61.11B,54.66B,39.94B,6.75B,2.029B,51.20B,3.384B,237.46B,517.36B,8.00M,115.12B,60.09B,277.06B,411.79B,204.34B,31.89B,0,24.02B
BRK.B,2014-06,45.42B,84.63B,18.77B,2.593,2.593,68.52B,2014-06,6.395B,12.52B,-824.00M,-824.00M,127.64B,60.60B,55.32B,37.67B,8.916B,2.458B,49.76B,3.389B,234.00B,504.38B,8.00M,107.63B,56.44B,267.62B,408.01B,198.85B,31.34B,0,23.00B
BRK.B,2014-03,45.05B,78.05B,978.00M,1.908,1.908,68.16B,2014-03,4.705B,12.46B,-782.00M,-782.00M,125.08B,60.00B,72.24B,36.68B,6.598B,1.825B,45.45B,3.265B,227.61B,494.94B,8.00M,100.77B,37.66B,264.66B,404.14B,215.04B,29.37B,0,22.72B
BRK.B,2013-12,44.02B,76.97B,949.00M,2.024,2.024,66.19B,2013-12,4.99B,12.83B,-718.00M,-718.00M,123.80B,57.74B,71.28B,37.84B,7.232B,2.169B,47.05B,3.587B,221.89B,484.93B,8.00M,97.25B,38.78B,260.45B,398.51B,209.98B,30.49B,0,20.28B
BRK.B,2013-09,34.90B,70.95B,1.063B,2.049,2.049,64.27B,2013-09,5.053B,12.84B,-706.00M,-706.00M,110.56B,50.85B,64.69B,36.39B,7.378B,2.225B,46.54B,3.248B,208.38B,458.08B,8.00M,98.10B,37.45B,246.65B,359.85B,197.87B,29.45B,0,27.14B
BRK.B,2013-06,33.56B,64.45B,1.281B,1.842,1.842,63.85B,2013-06,4.541B,12.86B,-691.00M,-691.00M,108.35B,49.55B,62.67B,35.53B,6.891B,2.279B,44.69B,3.285B,202.02B,446.56B,8.00M,86.41B,36.81B,241.58B,354.19B,194.24B,29.12B,0,21.96B
BRK.B,2013-03,32.99B,79.69B,1.354B,1.985,1.985,54.41B,2013-03,4.892B,12.75B,-686.00M,-686.00M,107.27B,49.60B,61.90B,34.38B,7.295B,2.278B,43.87B,3.21B,198.07B,442.30B,8.00M,103.16B,35.74B,240.20B,347.81B,194.06B,27.90B,0,23.47B
BRK.B,2012-12,27.50B,83.70B,1.416B,1.838,1.838,64.52B,2012-12,4.551B,12.81B,-665.00M,-665.00M,106.87B,44.49B,61.32B,35.36B,6.754B,2.093B,44.72B,4.393B,187.65B,427.45B,8.00M,105.45B,36.78B,235.86B,343.64B,188.14B,28.08B,0,21.75B
BRK.B,2012-09,27.05B,47.78B,1.49B,1.582,1.582,54.14B,2012-09,3.92B,13.23B,-692.00M,-692.00M,104.85B,44.51B,62.51B,33.11B,5.936B,1.882B,41.05B,2.573B,184.60B,424.12B,8.00M,66.40B,33.11B,235.04B,350.29B,191.54B,26.18B,0,18.62B
BRK.B,2012-06,23.78B,40.66B,0,1.255,1.255,53.14B,2012-06,3.108B,13.66B,-696.00M,-696.00M,102.83B,42.72B,61.13B,31.84B,4.615B,1.384B,38.55B,2.476B,177.38B,411.36B,8.00M,58.96B,31.84B,229.64B,330.82B,187.64B,25.76B,0,18.30B
BRK.B,2012-03,25.52B,37.83B,0,1.311,1.311,53.17B,2012-03,3.245B,13.80B,-691.00M,-691.00M,101.73B,43.24B,61.84B,32.28B,4.931B,1.565B,38.15B,2.428B,176.00B,411.36B,8.00M,56.29B,32.28B,231.09B,332.76B,188.85B,24.54B,0,18.47B
BRK.B,2011-12,17.65B,68.52B,0,1.231,1.231,53.21B,2011-12,3.048B,13.93B,-675.00M,-675.00M,100.39B,37.80B,58.89B,32.71B,4.452B,1.261B,37.96B,2.408B,164.85B,392.65B,8.00M,87.53B,34.20B,223.69B,319.42B,179.57B,68.76B,0,19.01B
BRK.B,2011-09,15.78B,34.78B,0,0.92,0.92,53.31B,2011-09,2.278B,14.00B,-669.00M,-669.00M,98.45B,37.16B,60.48B,31.24B,3.363B,953.00M,33.74B,2.105B,159.96B,385.49B,8.00M,54.61B,31.24B,221.61B,310.36B,181.48B,8.476B,0,19.83B
BRK.B,2011-06,21.11B,47.89B,0,1.381,1.381,49.12B,2011-06,3.417B,14.20B,-662.00M,-662.00M,94.95B,37.81B,56.72B,29.72B,5.265B,1.725B,38.27B,2.122B,163.01B,382.70B,8.00M,67.29B,29.72B,215.91B,299.47B,177.30B,8.434B,0,19.40B
BRK.B,2011-03,21.76B,41.18B,0,0.6113,0.6113,49.08B,2011-03,1.511B,14.93B,-658.00M,-658.00M,93.77B,37.20B,56.55B,29.58B,2.234B,629.00M,33.72B,2.035B,160.06B,376.50B,8.00M,60.76B,29.58B,212.23B,293.25B,173.92B,8.211B,0,19.58B
