Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
TROW,2020-12,-23.00M,2.152B,755.20M,0,0,3.36,3.33,665.70M,2.088B,977.70M,2020-12,783.40M,813.00M,154.10M,755.90M,272.70M,1.146B,216.40M,1.733B,221.80M,7.707B,10.66B,45.60M,3.015B,272.70M,2.952B,7.644B,2.679B,221.80M,272.70M,863.10M
TROW,2020-09,-42.70M,2.228B,662.60M,0,0,2.75,2.73,665.70M,821.10M,933.20M,2020-09,643.20M,821.10M,175.30M,728.90M,253.60M,920.50M,221.90M,1.596B,204.30M,7.128B,10.13B,45.30M,2.943B,253.60M,3.006B,7.192B,2.752B,204.30M,253.60M,714.80M
TROW,2020-06,-52.20M,2.058B,650.60M,0,0,2.58,2.55,665.70M,816.90M,764.80M,2020-06,603.00M,816.90M,166.40M,553.70M,453.60M,968.80M,240.30M,1.415B,211.10M,6.751B,9.477B,45.40M,2.714B,453.60M,2.727B,6.764B,2.273B,211.10M,453.60M,655.70M
TROW,2020-03,-49.10M,1.562B,548.00M,0,0,1.43,1.41,665.70M,812.80M,914.60M,2020-03,343.10M,812.80M,172.60M,707.20M,256.80M,206.90M,40.30M,1.463B,207.40M,6.434B,8.637B,45.60M,2.148B,256.80M,2.203B,6.489B,1.946B,207.40M,256.80M,585.30M
TROW,2019-12,-43.00M,1.782B,633.00M,0,0,2.27,2.24,665.70M,1.928B,835.70M,2019-12,545.30M,785.20M,146.30M,580.30M,246.30M,750.30M,156.40M,1.469B,255.40M,7.102B,9.330B,47.00M,2.428B,246.30M,2.228B,6.902B,1.982B,255.40M,246.30M,646.60M
TROW,2019-09,-48.70M,2.213B,568.80M,0,0,2.26,2.23,665.70M,790.10M,857.90M,2019-09,545.90M,790.10M,146.40M,659.10M,252.50M,702.10M,157.00M,1.427B,198.80M,6.840B,9.398B,46.90M,2.834B,252.50M,2.558B,6.564B,2.306B,198.80M,252.50M,620.60M
TROW,2019-06,-38.50M,1.802B,581.00M,0,0,2.18,2.15,665.70M,792.10M,814.20M,2019-06,527.50M,792.10M,154.90M,615.10M,245.40M,739.60M,183.70M,1.395B,199.10M,6.579B,8.912B,47.10M,2.422B,245.40M,2.333B,6.490B,2.088B,199.10M,245.40M,619.80M
TROW,2019-03,-41.60M,1.657B,602.10M,0,0,2.11,2.09,665.70M,794.40M,725.20M,2019-03,512.60M,794.40M,161.90M,532.50M,407.50M,735.30M,181.30M,1.327B,192.70M,6.311B,8.459B,47.30M,2.262B,407.50M,2.148B,6.197B,1.740B,192.70M,407.50M,604.60M
TROW,2018-12,-42.00M,1.425B,564.80M,0,0,1.43,1.41,665.70M,1.675B,740.20M,2018-12,351.90M,661.30M,0,527.10M,282.70M,390.40M,118.40M,1.305B,213.10M,6.124B,7.689B,47.60M,1.975B,282.70M,1.565B,5.714B,1.282B,213.10M,282.70M,549.60M
TROW,2018-09,-31.00M,2.091B,563.60M,0,0,2.34,2.3,665.70M,0,831.00M,2018-09,583.00M,657.00M,0,640.60M,330.20M,765.50M,183.90M,1.395B,190.40M,6.460B,8.531B,48.50M,2.674B,330.20M,2.070B,5.857B,1.740B,190.40M,330.20M,583.10M
