Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
TROW,2018-06,-23.70M,1.484B,564.70M,0,0,1.81,1.77,665.70M,1.597B,780.30M,2018-06,448.90M,655.20M,0,594.70M,276.40M,628.80M,169.20M,1.345B,185.60M,6.115B,7.882B,48.60M,2.049B,276.40M,1.768B,5.833B,1.491B,185.60M,276.40M,564.40M
TROW,2018-03,-6.40M,1.681B,553.80M,0,0,1.81,1.77,665.70M,1.436B,774.20M,2018-03,453.70M,650.20M,0,583.80M,401.10M,599.90M,144.40M,1.328B,190.40M,5.902B,7.374B,48.70M,2.275B,401.10M,1.472B,5.099B,1.071B,190.40M,401.10M,593.60M
TROW,2017-12,-3.60M,1.903B,552.00M,0,0,1.4,1.37,665.70M,0,745.60M,2017-12,347.10M,652.00M,0,531.00M,284.50M,633.00M,246.40M,1.298B,214.60M,5.824B,7.535B,49.00M,2.468B,284.50M,1.711B,5.067B,1.426B,214.60M,284.50M,565.30M
TROW,2017-09,-0.50M,1.869B,522.70M,0,0,1.59,1.56,665.70M,0,716.00M,2017-09,390.90M,635.00M,0,548.50M,210.30M,615.80M,211.60M,1.239B,167.50M,5.528B,7.380B,48.40M,2.377B,210.30M,1.852B,5.002B,1.641B,167.50M,210.30M,507.90M
TROW,2017-06,-11.60M,1.542B,503.00M,0,0,1.52,1.5,665.70M,0,683.00M,2017-06,373.90M,624.30M,0,507.60M,201.80M,619.60M,229.60M,1.186B,175.40M,5.169B,6.533B,48.10M,2.031B,201.80M,1.364B,4.502B,1.162B,175.40M,201.80M,488.70M
TROW,2017-03,-5.40M,1.581B,495.80M,0,0,1.56,1.54,665.70M,0,636.80M,2017-03,385.90M,625.20M,0,471.70M,447.20M,636.70M,236.30M,1.133B,165.10M,5.000B,6.276B,48.30M,2.063B,447.20M,1.275B,4.212B,828.20M,165.10M,447.20M,482.50M
TROW,2016-12,11.50M,1.205B,648.50M,0,0,1.53,1.5,665.70M,0,504.60M,2016-12,379.80M,615.10M,0,463.30M,220.10M,575.50M,208.70M,1.153B,437.90M,5.009B,6.225B,49.00M,1.66B,220.10M,1.216B,4.565B,996.30M,41.30M,220.10M,455.10M
TROW,2016-09,33.30M,1.401B,422.90M,0,0,1.3,1.28,665.70M,0,670.00M,2016-09,327.80M,615.60M,0,475.70M,245.40M,564.00M,201.30M,1.093B,60.00M,4.834B,6.724B,49.00M,1.848B,245.40M,1.890B,4.876B,1.644B,194.30M,245.40M,446.90M
TROW,2016-06,26.30M,1.275B,406.60M,0,0,0.81,0.79,665.70M,0,638.10M,2016-06,203.30M,620.80M,0,449.70M,189.50M,325.00M,113.80M,1.045B,55.70M,4.861B,6.582B,49.70M,1.703B,189.50M,1.721B,4.879B,1.531B,188.40M,189.50M,427.40M
TROW,2016-03,29.10M,1.323B,389.10M,0,0,1.21,1.18,665.70M,0,605.00M,2016-03,304.10M,612.70M,0,410.90M,340.30M,496.00M,182.70M,994.10M,64.50M,4.764B,6.204B,49.60M,1.751B,340.30M,1.440B,4.453B,1.100B,194.10M,340.30M,428.10M
TROW,2015-12,86.60M,1.172B,394.10M,0,132.90M,1.2,1.18,665.70M,1.314B,658.10M,2015-12,303.20M,607.10M,0,455.00M,191.80M,498.40M,195.20M,1.052B,67.70M,4.762B,5.107B,50.10M,1.618B,191.80M,344.90M,3.489B,153.10M,203.10M,191.80M,446.00M
TROW,2015-09,88.90M,1.164B,417.50M,0,0,1.08,1.06,665.70M,1.177B,631.50M,2015-09,277.10M,603.00M,0,458.30M,187.50M,458.60M,181.50M,1.049B,53.50M,4.674B,5.267B,50.30M,1.596B,187.50M,593.00M,3.671B,405.50M,173.20M,187.50M,431.40M
TROW,2015-06,125.80M,1.269B,399.50M,0,0,1.28,1.24,665.70M,1.084B,672.90M,2015-06,333.20M,607.30M,0,507.80M,180.50M,540.80M,207.60M,1.072B,54.10M,4.967B,5.416B,51.50M,1.719B,180.50M,448.40M,3.697B,267.90M,165.10M,180.50M,449.40M
TROW,2015-03,138.20M,1.810B,384.00M,0,0,1.16,1.13,665.70M,0,643.00M,2015-03,309.50M,599.00M,0,477.80M,818.70M,504.60M,195.10M,1.027B,63.60M,5.002B,5.962B,52.10M,2.258B,818.70M,960.00M,3.704B,141.30M,165.20M,818.70M,447.30M
TROW,2014-12,136.40M,1.506B,375.00M,0,0,1.21,1.18,665.70M,0,647.40M,2014-12,315.90M,586.40M,0,480.00M,167.00M,518.80M,202.90M,1.022B,62.70M,5.395B,5.644B,52.20M,1.949B,167.00M,249.20M,3.696B,82.20M,167.40M,167.00M,442.80M
TROW,2014-09,166.00M,1.644B,383.80M,0,0,1.15,1.12,665.70M,0,637.00M,2014-09,303.60M,572.30M,0,488.70M,173.20M,493.90M,190.30M,1.021B,48.60M,5.228B,5.768B,52.10M,2.068B,173.20M,540.50M,3.700B,367.30M,148.30M,173.20M,423.60M
TROW,2014-06,202.90M,1.704B,361.80M,0,0,1.16,1.13,665.70M,0,622.50M,2014-06,305.80M,576.20M,0,473.10M,151.30M,499.20M,193.40M,984.30M,50.60M,5.274B,5.669B,52.60M,2.130B,151.30M,395.40M,3.539B,244.10M,149.40M,151.30M,426.00M
TROW,2014-03,184.00M,1.739B,352.60M,0,0,1.16,1.12,665.70M,0,602.00M,2014-03,304.30M,571.80M,0,449.10M,292.60M,491.20M,186.90M,954.60M,58.00M,5.037B,5.463B,52.60M,2.159B,292.60M,425.70M,3.304B,133.10M,152.90M,292.60M,419.70M
TROW,2013-12,188.30M,1.398B,330.60M,0,0,1.1,1.07,665.70M,0,599.20M,2013-12,287.70M,572.90M,0,440.10M,142.60M,471.80M,184.10M,929.80M,62.90M,4.818B,5.033B,52.40M,1.797B,142.60M,215.00M,3.236B,72.40M,159.10M,142.60M,398.80M
TROW,2013-09,168.90M,1.693B,321.80M,0,0,1.03,1,665.70M,0,562.60M,2013-09,270.30M,567.50M,0,425.90M,140.60M,437.50M,167.20M,884.40M,47.60M,4.541B,5.127B,52.20M,2.059B,273.50M,586.20M,3.068B,312.70M,136.70M,140.60M,365.60M
TROW,2013-06,138.40M,1.456B,316.40M,0,144.60M,0.95,0.92,665.70M,1.015B,537.90M,2013-06,247.80M,558.70M,0,398.80M,132.00M,400.20M,152.40M,854.30M,54.20M,4.310B,4.799B,52.00M,1.822B,276.60M,488.40M,2.976B,211.80M,139.10M,132.00M,366.50M
TROW,2013-03,142.00M,1.286B,305.30M,0,149.50M,0.93,0.91,665.70M,986.90M,510.40M,2013-03,241.90M,563.00M,0,372.60M,218.30M,390.90M,149.00M,815.70M,58.10M,4.107B,4.611B,51.90M,1.650B,367.80M,503.60M,2.960B,135.80M,137.80M,218.30M,364.60M
TROW,2012-12,131.90M,879.10M,287.40M,0,154.70M,0.91,0.88,665.70M,0,499.90M,2012-12,232.00M,561.00M,0,361.20M,111.20M,378.10M,146.10M,787.30M,57.60M,3.846B,4.203B,51.40M,1.233B,265.90M,356.70M,2.970B,90.80M,138.70M,111.20M,353.90M
TROW,2012-09,120.40M,1.235B,288.20M,0,173.50M,0.97,0.94,665.70M,0,481.50M,2012-09,247.30M,561.00M,0,358.90M,111.60M,400.30M,153.00M,769.70M,48.50M,3.859B,4.406B,50.90M,1.567B,386.00M,546.70M,2.838B,160.70M,122.60M,111.60M,332.20M
TROW,2012-06,122.20M,1.934B,285.20M,0,0,0.81,0.79,665.70M,0,451.60M,2012-06,206.80M,564.40M,0,328.00M,101.90M,335.40M,128.60M,736.80M,51.20M,3.658B,4.117B,50.80M,2.258B,293.60M,459.10M,1.859B,165.50M,123.60M,101.90M,324.20M
TROW,2012-03,139.10M,1.940B,282.90M,0,0,0.78,0.75,665.70M,0,445.80M,2012-03,197.50M,564.70M,0,316.20M,171.50M,321.30M,123.80M,728.70M,55.90M,3.630B,4.077B,51.00M,2.263B,275.40M,446.80M,1.814B,171.40M,129.60M,171.50M,322.50M
TROW,2011-12,102.80M,897.90M,1.044B,0,0,0.74,0.72,665.70M,0,-372.80M,2011-12,188.40M,567.40M,0,293.60M,112.90M,306.50M,118.10M,671.60M,-742.70M,3.421B,3.770B,50.70M,1.202B,286.40M,349.60M,2.568B,63.20M,-666.40M,112.90M,304.50M
TROW,2011-09,95.10M,1.001B,50.10M,0,0,0.73,0.71,665.70M,0,679.40M,2011-09,185.50M,555.10M,0,295.20M,134.30M,296.50M,111.00M,679.40M,320.30M,3.270B,3.840B,50.50M,1.297B,397.00M,570.00M,2.542B,173.00M,384.20M,134.30M,295.80M
TROW,2011-06,156.90M,1.214B,40.40M,0,0,0.79,0.76,665.70M,0,663.60M,2011-06,204.70M,555.70M,0,326.60M,123.80M,332.20M,127.50M,713.70M,269.40M,3.413B,3.882B,51.30M,1.538B,302.70M,469.60M,2.344B,166.90M,337.00M,123.80M,324.00M
TROW,2011-03,139.10M,813.10M,0,0,0,0.75,0.72,665.70M,0,642.00M,2011-03,194.60M,560.30M,0,311.50M,113.20M,315.40M,120.80M,682.40M,268.30M,3.296B,3.642B,51.70M,1.121B,185.10M,345.50M,2.521B,160.40M,330.50M,113.20M,307.90M
