Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ANTM,2021-03,-195.00M,37.51B,700.00M,1.139B,6.8,6.71,31.06B,2021-03,1.665B,-192.00M,-192.00M,3.533B,1.961B,22.53B,17.68B,2.176B,509.00M,32.38B,3.925B,33.85B,95.68B,2.00M,49.80B,19.52B,61.76B,69.59B,29.57B,6.318B,17.68B,12.29B
ANTM,2020-12,150.00M,30.73B,700.00M,1.259B,2.245,2.19,31.10B,2020-12,551.00M,-191.00M,-191.00M,3.483B,2.019B,19.34B,16.85B,611.00M,60.00M,31.82B,4.318B,33.20B,86.62B,3.00M,41.69B,18.81B,53.42B,65.63B,25.94B,6.93B,16.85B,10.96B
ANTM,2020-09,-112.00M,29.77B,1.749B,961.00M,0.88,0.87,31.18B,2020-09,222.00M,-198.00M,-198.00M,3.363B,2.375B,19.09B,15.80B,389.00M,167.00M,31.16B,5.305B,33.92B,86.57B,3.00M,41.30B,18.51B,52.65B,66.88B,25.27B,7.59B,15.80B,11.54B
ANTM,2020-06,-254.00M,31.52B,1.603B,946.00M,9.02,8.91,31.22B,2020-06,2.276B,-201.00M,-201.00M,3.427B,2.497B,19.87B,15.14B,3.149B,873.00M,29.26B,4.046B,34.46B,87.98B,3.00M,42.50B,17.68B,53.52B,66.86B,25.96B,6.361B,15.14B,10.99B
ANTM,2020-03,-1.008B,25.80B,2.678B,947.00M,6.03,5.94,31.27B,2020-03,1.523B,-194.00M,-194.00M,3.35B,2.213B,19.00B,14.96B,2.089B,566.00M,29.62B,3.781B,31.69B,82.40B,3.00M,37.12B,18.58B,50.71B,61.55B,24.47B,5.847B,14.96B,11.32B
ANTM,2019-12,-296.00M,25.62B,2.298B,1.017B,3.693,3.62,29.17B,2019-12,934.00M,-190.00M,-190.00M,3.133B,2.227B,17.79B,13.04B,1.098B,164.00M,27.41B,3.502B,31.73B,77.45B,3.00M,36.01B,16.36B,45.72B,57.87B,23.06B,4.73B,13.04B,10.39B
ANTM,2019-09,-299.00M,26.46B,1.41B,948.00M,4.64,4.55,29.26B,2019-09,1.183B,-185.00M,-185.00M,2.921B,2.14B,18.82B,14.43B,1.489B,306.00M,26.67B,3.418B,31.33B,77.81B,3.00M,36.76B,16.79B,46.48B,58.77B,23.46B,4.247B,14.43B,10.30B
ANTM,2019-06,-383.00M,24.71B,1.86B,900.00M,4.44,4.36,29.34B,2019-06,1.139B,-184.00M,-184.00M,2.837B,2.211B,17.44B,13.73B,1.453B,314.00M,25.47B,3.278B,30.79B,75.85B,3.00M,34.92B,16.49B,45.06B,57.11B,22.23B,3.461B,13.73B,10.21B
ANTM,2019-03,-623.00M,23.51B,1.946B,998.00M,6.03,5.91,29.42B,2019-03,1.551B,-187.00M,-187.00M,2.799B,2.116B,17.40B,13.05B,1.945B,394.00M,24.67B,3.166B,30.00B,74.52B,3.00M,33.69B,15.99B,44.52B,55.40B,22.09B,3.254B,13.05B,10.18B
ANTM,2018-12,-986.00M,22.14B,1.994B,902.00M,1.64,1.61,29.51B,2018-12,425.00M,-189.00M,-189.00M,2.735B,1.96B,17.22B,13.21B,543.00M,118.00M,23.37B,3.618B,28.54B,71.57B,3.00M,31.45B,16.11B,43.03B,53.83B,21.77B,3.717B,13.21B,9.311B
ANTM,2018-09,-811.00M,23.94B,2.119B,896.00M,3.7,3.62,29.57B,2018-09,960.00M,-188.00M,-188.00M,2.592B,2.063B,17.30B,14.85B,1.242B,282.00M,23.25B,3.546B,29.09B,74.44B,3.00M,33.33B,17.87B,45.35B,56.32B,22.29B,3.638B,14.85B,9.386B
ANTM,2018-06,-782.80M,24.22B,1.770B,2.090B,4.07,3.98,29.64B,2018-06,1.054B,-192.00M,-192.00M,2.392B,1.902B,17.52B,14.26B,1.504B,450.00M,22.94B,3.428B,28.72B,74.37B,2.60M,33.48B,18.12B,45.64B,56.15B,22.43B,3.522B,14.26B,9.255B
ANTM,2018-03,-720.60M,24.09B,1.776B,2.116B,5.13,4.99,29.26B,2018-03,1.312B,-184.00M,-184.00M,2.238B,1.813B,18.11B,14.40B,1.78B,468.00M,22.54B,3.428B,27.01B,73.30B,2.60M,32.65B,18.29B,46.29B,55.88B,22.84B,3.489B,14.40B,8.561B
ANTM,2017-12,-101.00M,24.60B,2.55B,860.00M,4.806,4.67,27.60B,2017-12,1.231B,-164.00M,-164.00M,2.175B,1.727B,17.38B,13.58B,124.00M,-1.107B,22.68B,3.394B,26.50B,70.54B,3.00M,33.40B,16.99B,44.04B,54.18B,22.06B,3.157B,13.58B,8.794B
ANTM,2017-09,-126.00M,26.26B,2.453B,1.950B,2.87,2.8,25.43B,2017-09,747.00M,-150.00M,-150.00M,2.049B,2.609B,13.78B,13.68B,1.119B,372.00M,22.43B,3.011B,25.95B,68.31B,2.60M,34.09B,18.08B,42.36B,50.88B,18.86B,3.053B,13.68B,7.822B
ANTM,2017-06,-134.90M,25.35B,1.204B,1.838B,3.23,3.16,25.44B,2017-06,855.30M,-189.90M,-189.90M,1.976B,2.633B,15.09B,13.34B,1.206B,350.40M,22.41B,3.054B,26.43B,68.24B,2.60M,33.98B,16.38B,41.81B,51.32B,20.17B,3.094B,13.34B,8.631B
ANTM,2017-03,-161.80M,26.56B,1.693B,1.926B,3.82,3.73,25.48B,2017-03,1.010B,-235.00M,-235.00M,1.958B,2.664B,15.45B,13.52B,1.515B,505.10M,22.53B,3.191B,26.09B,68.94B,2.60M,34.77B,17.14B,42.85B,50.28B,20.42B,3.233B,13.52B,8.219B
ANTM,2016-12,-267.90M,22.72B,1.368B,971.90M,1.397,1.37,25.53B,2016-12,368.60M,-177.30M,-177.30M,1.978B,2.780B,14.36B,13.08B,658.20M,289.60M,21.71B,3.265B,25.10B,65.08B,2.60M,31.29B,15.42B,39.98B,48.96B,19.36B,3.311B,13.08B,8.566B
ANTM,2016-09,-363.90M,22.26B,1.368B,1.613B,2.35,2.3,25.57B,2016-09,617.80M,-172.90M,-172.90M,2.007B,2.689B,14.24B,12.77B,1.136B,518.70M,21.40B,3.125B,24.74B,64.40B,2.60M,29.49B,15.75B,39.66B,50.94B,19.02B,3.172B,12.77B,7.229B
ANTM,2016-06,-364.90M,21.80B,1.368B,832.80M,2.97,2.91,25.62B,2016-06,780.60M,-185.70M,-185.70M,1.990B,2.705B,14.20B,13.39B,1.448B,667.70M,21.46B,2.969B,24.23B,64.06B,2.60M,29.19B,15.59B,39.83B,51.32B,19.30B,3.017B,13.39B,7.395B
ANTM,2016-03,-382.40M,21.64B,939.20M,1.021B,2.69,2.63,25.67B,2016-03,703.00M,-187.10M,-187.10M,1.998B,2.664B,14.86B,13.52B,1.312B,609.00M,20.29B,3.200B,23.55B,63.86B,2.60M,28.84B,15.48B,40.31B,51.28B,19.90B,3.251B,13.52B,7.199B
ANTM,2015-12,-292.60M,20.49B,540.00M,1.146B,0.6925,0.68,25.72B,2015-12,180.90M,-179.70M,-179.70M,2.020B,2.631B,15.32B,12.26B,374.30M,193.40M,20.19B,3.268B,23.04B,61.72B,2.60M,27.84B,13.95B,38.67B,48.75B,20.21B,3.333B,12.26B,7.341B
ANTM,2015-09,-216.20M,20.98B,540.00M,945.10M,2.51,2.43,25.77B,2015-09,654.80M,-164.80M,-164.80M,1.931B,3.169B,15.72B,12.04B,1.130B,474.80M,19.90B,3.080B,23.24B,62.34B,2.60M,27.54B,13.52B,39.10B,50.27B,21.38B,3.143B,12.04B,6.559B
ANTM,2015-06,0.40M,21.52B,1.165B,950.50M,3.27,3.13,25.82B,2015-06,859.10M,-154.10M,-154.10M,1.931B,3.226B,15.47B,13.50B,1.558B,698.90M,20.02B,3.041B,23.06B,64.26B,2.60M,28.84B,15.62B,41.20B,51.40B,21.44B,3.104B,13.50B,7.323B
ANTM,2015-03,237.90M,22.33B,1.075B,1.080B,3.25,3.09,25.86B,2015-03,865.20M,-154.40M,-154.40M,1.916B,3.358B,14.76B,14.13B,1.569B,703.90M,19.05B,3.145B,24.33B,65.55B,2.60M,29.84B,16.28B,41.21B,52.55B,20.90B,3.194B,14.13B,7.514B
ANTM,2014-12,171.90M,21.55B,1.024B,1.078B,1.89,1.81,25.04B,2014-12,506.70M,-153.60M,-153.60M,1.944B,2.946B,14.02B,12.09B,887.10M,380.40M,18.98B,3.033B,24.25B,61.68B,2.70M,28.80B,14.20B,37.42B,48.90B,19.59B,3.085B,12.09B,7.251B
ANTM,2014-09,333.10M,21.87B,725.00M,1.004B,2.31,2.22,25.09B,2014-09,630.90M,-155.30M,-155.30M,1.849B,3.284B,14.54B,12.10B,1.087B,456.30M,18.56B,2.968B,24.29B,62.06B,2.70M,28.19B,13.82B,37.76B,50.21B,20.42B,2.954B,12.10B,6.319B
ANTM,2014-06,475.00M,22.02B,759.40M,953.50M,2.64,2.56,25.15B,2014-06,731.10M,-145.60M,-145.60M,1.829B,3.217B,14.04B,13.31B,1.264B,532.60M,18.47B,2.886B,24.38B,62.30B,2.70M,27.98B,15.02B,37.93B,50.60B,19.44B,2.937B,13.31B,5.960B
ANTM,2014-03,327.40M,21.96B,1.109B,1.073B,2.46,2.4,25.30B,2014-03,701.00M,-146.20M,-146.20M,1.812B,3.343B,13.93B,12.42B,1.130B,438.70M,17.86B,2.862B,24.35B,61.69B,2.90M,27.66B,14.60B,37.34B,50.70B,19.30B,2.912B,12.42B,5.692B
ANTM,2013-12,183.20M,20.37B,918.00M,822.70M,0.53,0.51,25.36B,2013-12,148.20M,-145.80M,-145.80M,1.802B,3.325B,13.57B,10.62B,469.90M,161.00M,17.90B,2.646B,24.77B,59.57B,2.90M,25.64B,12.36B,34.81B,48.75B,18.97B,2.705B,10.62B,5.268B
ANTM,2013-09,-4.80M,21.22B,350.10M,939.70M,2.21,2.16,26.42B,2013-09,656.20M,-151.50M,-151.50M,1.806B,3.323B,14.51B,10.54B,879.70M,225.90M,17.86B,2.543B,24.81B,60.26B,3.00M,26.41B,11.83B,35.46B,50.00B,20.16B,2.459B,10.54B,5.185B
ANTM,2013-06,-27.20M,20.45B,749.60M,823.60M,2.67,2.64,26.48B,2013-06,800.10M,-151.90M,-151.90M,1.770B,3.321B,14.09B,10.27B,1.208B,408.80M,17.69B,2.436B,24.53B,59.61B,3.00M,25.88B,11.84B,35.08B,50.13B,19.70B,2.498B,10.27B,5.426B
ANTM,2013-03,342.50M,20.86B,749.40M,865.70M,2.92,2.89,26.55B,2013-03,885.20M,-153.50M,-153.50M,1.738B,3.288B,14.03B,10.15B,1.282B,410.20M,17.58B,2.329B,24.32B,59.41B,3.00M,25.88B,11.77B,35.09B,50.35B,19.68B,2.391B,10.15B,5.027B
ANTM,2012-12,299.10M,20.62B,807.10M,896.80M,1.56,1.55,25.56B,2012-12,464.20M,-151.50M,-151.50M,1.717B,3.223B,14.17B,9.907B,474.20M,14.50M,15.32B,2.354B,23.80B,58.96B,3.00M,25.46B,11.61B,35.15B,48.19B,19.74B,2.405B,9.907B,4.844B
ANTM,2012-09,386.90M,22.13B,192.20M,823.70M,2.17,2.15,22.68B,2012-09,691.20M,-133.60M,-133.60M,1.536B,2.842B,13.40B,2.648B,1.026B,334.50M,15.35B,2.079B,23.82B,55.82B,3.10M,26.84B,3.664B,32.00B,46.51B,17.86B,2.209B,2.648B,4.706B
ANTM,2012-06,212.20M,20.31B,1.014B,1.708B,1.96,1.94,22.66B,2012-06,643.60M,-117.60M,-117.60M,1.478B,2.868B,10.14B,2.788B,1.049B,405.00M,15.41B,2.082B,23.64B,54.54B,3.20M,25.28B,5.51B,30.89B,45.15B,13.96B,2.148B,2.788B,4.964B
ANTM,2012-03,235.00M,19.72B,1.011B,1.624B,2.56,2.53,21.74B,2012-03,856.50M,-109.10M,-109.10M,1.455B,2.773B,8.462B,3.076B,1.310B,453.30M,15.42B,2.166B,23.53B,52.50B,3.30M,24.39B,5.711B,28.97B,43.27B,12.85B,2.224B,3.076B,4.665B
ANTM,2011-12,114.90M,19.32B,1.374B,926.50M,1.02,1.01,21.79B,2011-12,335.30M,-112.60M,-112.60M,1.418B,2.724B,8.466B,9.537B,478.20M,142.90M,15.32B,2.228B,23.29B,52.16B,3.40M,23.77B,11.84B,28.88B,42.94B,13.47B,2.292B,9.537B,4.453B
ANTM,2011-09,132.20M,20.17B,1.374B,1.639B,1.92,1.9,21.84B,2011-09,683.20M,-108.20M,-108.20M,1.317B,2.755B,8.622B,2.815B,1.045B,362.00M,15.40B,2.120B,23.72B,52.55B,3.50M,24.55B,5.828B,28.83B,43.25B,12.94B,2.182B,2.815B,4.377B
ANTM,2011-06,343.70M,19.56B,556.30M,1.038B,1.92,1.89,21.15B,2011-06,701.60M,-103.60M,-103.60M,1.213B,2.639B,8.292B,2.600B,1.007B,305.80M,15.10B,2.011B,24.18B,50.88B,3.60M,23.82B,4.194B,26.70B,42.64B,12.49B,2.068B,2.600B,4.259B
