Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
RE,2020-12,534.90M,21.98B,397.19M,1.61,1.6,2020-12,63.60M,-14.85M,-14.85M,1.513B,511.50M,119.40M,55.79M,2.761B,11.93M,9.726B,32.79B,0.696M,27.08B,908.69M,23.06B,24.11B,21.43B,11.93M,501.04M,4.692B
RE,2020-09,411.60M,20.02B,447.10M,6.08,6.07,2020-09,243.06M,-6.641M,-6.641M,710.81M,491.74M,272.51M,29.45M,2.610B,10.62M,9.591B,30.15B,0.696M,25.09B,491.74M,20.56B,21.50B,19.41B,10.62M,484.52M,4.612B
RE,2020-06,297.14M,18.84B,397.07M,4.78,4.77,2020-06,190.88M,-7.253M,-7.253M,620.76M,461.88M,237.07M,46.19M,2.245B,8.733M,9.286B,28.58B,0.696M,23.93B,461.88M,19.30B,20.05B,18.11B,8.733M,459.51M,4.631B
RE,2020-03,-269.75M,17.81B,397.04M,0.41,0.41,2020-03,16.61M,-7.583M,-7.583M,235.08M,454.02M,-43.62M,-60.23M,1.982B,9.833M,8.581B,27.22B,0.696M,22.80B,901.12M,18.64B,18.89B,17.26B,9.833M,446.43M,4.555B
RE,2019-12,28.15M,18.05B,397.01M,5.34,5.32,2019-12,217.64M,-7.721M,-7.721M,236.76M,325.19M,219.08M,1.434M,2.214B,10.34M,9.133B,27.32B,0.694M,22.83B,722.26M,18.19B,19.28B,16.92B,10.34M,322.31M,4.328B
RE,2019-09,46.27M,17.74B,396.98M,2.56,2.56,2019-09,104.40M,-7.907M,-7.907M,236.73M,433.15M,93.02M,-11.38M,2.043B,8.435M,8.983B,27.02B,0.694M,22.80B,830.20M,18.04B,18.89B,16.79B,8.435M,425.33M,4.573B
RE,2019-06,-44.90M,17.21B,396.95M,8.17,8.15,2019-06,332.87M,-8.434M,-8.434M,305.90M,494.78M,372.34M,39.48M,2.009B,7.535M,8.884B,26.39B,0.694M,22.23B,891.80M,17.50B,18.41B,16.30B,7.535M,491.72M,4.546B
RE,2019-03,-216.11M,16.70B,396.92M,8.7,8.67,2019-03,354.55M,-7.631M,-7.631M,310.21M,406.04M,414.54M,59.99M,1.966B,6.652M,8.427B,25.63B,0.694M,21.71B,803.03M,17.20B,17.76B,16.24B,6.652M,398.53M,4.653B
RE,2018-12,-462.56M,16.12B,0,-9.5,-9.5,2018-12,-385.31M,-7.984M,-7.984M,236.66M,272.64M,-705.42M,-320.11M,1.792B,7.153M,7.861B,24.75B,0.692M,21.03B,669.60M,16.89B,16.98B,15.90B,7.153M,269.55M,4.565B
RE,2018-09,-470.32M,15.99B,0,4.87,4.84,2018-09,198.38M,-7.901M,-7.901M,236.63M,401.51M,189.47M,-8.91M,1.936B,7.89M,8.329B,24.41B,0.692M,20.47B,798.44M,16.08B,17.22B,15.00B,7.89M,393.64M,4.102B
