Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
RE,2018-06,-445.34M,16.38B,396.89M,1.71,1.7,2018-06,69.90M,-7.728M,-7.728M,236.61M,370.05M,60.76M,-9.132M,1.893B,6.633M,8.241B,23.89B,0.692M,20.77B,766.94M,15.64B,16.53B,14.45B,6.633M,367.04M,4.022B
RE,2018-03,-341.97M,17.06B,396.83M,5.14,5.11,2018-03,210.32M,-7.418M,-7.418M,633.45M,301.52M,217.64M,7.325M,1.745B,8.996M,8.344B,23.51B,0.692M,20.90B,301.52M,15.17B,16.91B,14.57B,8.996M,293.85M,3.529B
RE,2017-12,-160.89M,15.90B,0,13.92,13.85,2017-12,584.81M,-7.314M,-7.314M,236.56M,259.49M,709.53M,124.72M,1.881B,4.615M,8.369B,23.59B,0.691M,19.68B,656.32M,15.22B,17.03B,14.15B,4.615M,256.76M,3.493B
RE,2017-09,-84.25M,16.99B,0,-15.73,-15.73,2017-09,-639.37M,-7.266M,-7.266M,633.34M,331.50M,-904.07M,-264.69M,1.725B,5.932M,7.969B,23.94B,0.691M,21.16B,331.50M,15.97B,17.20B,15.16B,5.932M,323.94M,3.854B
RE,2017-06,-151.97M,16.90B,0,5.98,5.95,2017-06,245.67M,-8.059M,-8.059M,633.28M,352.02M,275.53M,29.86M,1.531B,6.919M,8.585B,22.52B,0.691M,20.21B,352.02M,13.94B,16.98B,12.95B,6.919M,349.39M,3.035B
RE,2017-03,-185.52M,16.76B,0,7.12,7.07,2017-03,291.64M,-8.964M,-8.964M,633.23M,492.40M,338.41M,46.77M,1.485B,8.457M,8.348B,22.19B,0.691M,19.87B,492.40M,13.85B,16.81B,12.85B,8.457M,480.06M,2.893B
RE,2016-12,-216.76M,16.15B,0,9.14,9.08,2016-12,373.57M,-9.034M,-9.034M,633.18M,222.45M,415.59M,42.02M,1.614B,5.828M,8.075B,21.32B,0.689M,19.02B,222.45M,13.25B,16.19B,12.64B,5.828M,218.91M,2.682B
RE,2016-09,75.83M,16.23B,0,7.11,7.06,2016-09,295.39M,-8.893M,-8.893M,633.12M,351.82M,320.89M,25.49M,1.510B,6.40M,8.041B,21.66B,0.688M,19.27B,351.82M,13.62B,16.44B,12.86B,6.40M,339.48M,2.802B
RE,2016-06,84.00M,16.24B,0,3.7,3.67,2016-06,155.69M,-9.073M,-9.073M,633.07M,313.92M,186.30M,30.61M,1.428B,7.117M,7.985B,21.28B,0.688M,19.07B,313.92M,13.30B,16.39B,12.54B,7.117M,310.38M,2.607B
RE,2016-03,-45.30M,15.96B,0,4.03,4,2016-03,171.69M,-9.228M,-9.228M,638.37M,246.40M,177.07M,5.381M,1.242B,7.886M,7.840B,20.86B,0.688M,18.76B,246.40M,13.02B,16.16B,12.33B,7.886M,234.06M,2.619B
RE,2015-12,-231.76M,15.89B,250.00M,8.32,8.26,2015-12,357.28M,-9.185M,-9.185M,632.96M,191.94M,420.43M,63.15M,1.519B,5.942M,7.609B,20.55B,0.686M,18.69B,191.94M,12.94B,16.20B,12.31B,5.942M,188.40M,2.636B
RE,2015-09,-112.23M,16.98B,249.98M,2.02,2,2015-09,88.55M,-8.99M,-8.99M,638.37M,277.02M,82.42M,-6.133M,1.332B,5.924M,7.486B,21.68B,0.686M,19.94B,277.02M,14.20B,17.18B,13.29B,5.924M,264.68M,2.766B
RE,2015-06,-14.82M,17.34B,249.96M,4.72,4.68,2015-06,209.06M,-9.026M,-9.026M,638.37M,236.62M,244.89M,35.83M,1.390B,5.925M,7.727B,21.48B,0.685M,19.85B,236.62M,13.76B,17.51B,12.95B,5.925M,233.08M,2.334B
RE,2015-03,52.97M,17.17B,0,7.26,7.19,2015-03,322.98M,-8.99M,-8.99M,638.36M,288.68M,364.14M,41.17M,1.436B,5.463M,7.667B,21.27B,0.685M,19.65B,288.68M,13.60B,17.28B,12.77B,5.463M,276.34M,2.345B
RE,2014-12,48.32M,16.83B,0,7.54,7.47,2014-12,340.12M,-9.563M,-9.563M,638.36M,184.47M,347.66M,49.70M,1.407B,4.619M,7.451B,20.82B,0.683M,19.24B,184.47M,13.37B,16.86B,12.65B,4.619M,180.93M,2.254B
RE,2014-09,185.40M,17.05B,0,6.05,6,2014-09,274.92M,-12.42M,-12.42M,638.36M,331.40M,322.11M,20.86M,1.536B,9.958M,7.382B,21.49B,0.683M,19.90B,581.40M,14.11B,17.18B,12.78B,9.958M,313.09M,2.669B
RE,2014-06,299.30M,17.13B,0,6.32,6.26,2014-06,290.18M,-8.978M,-8.978M,638.36M,311.64M,361.78M,63.86M,1.452B,3.899M,7.323B,21.19B,0.683M,19.66B,561.62M,13.87B,17.32B,12.49B,3.899M,305.50M,2.379B
RE,2014-03,211.21M,16.32B,0,6.26,6.21,2014-03,293.93M,-7.568M,-7.568M,488.33M,224.30M,355.25M,53.23M,1.284B,4.945M,7.038B,20.11B,0.682M,18.62B,224.30M,13.07B,16.45B,12.17B,4.945M,212.20M,2.217B
RE,2013-12,157.73M,16.09B,0,7.62,7.54,2013-12,364.64M,-7.638M,-7.638M,238.36M,175.04M,452.12M,85.37M,1.517B,8.174M,6.968B,19.81B,0.68M,18.34B,424.99M,12.84B,15.95B,11.69B,8.174M,170.25M,2.172B
RE,2013-09,180.20M,15.72B,0,4.85,4.81,2013-09,234.76M,-7.637M,-7.637M,488.30M,289.50M,310.55M,72.03M,1.401B,4.758M,6.717B,20.03B,0.679M,18.23B,289.50M,13.31B,15.73B,12.06B,4.758M,277.41M,2.412B
RE,2013-06,207.16M,15.50B,0,5.6,5.56,2013-06,275.64M,-17.36M,-17.36M,528.29M,312.08M,322.46M,46.81M,1.355B,6.168M,6.623B,19.56B,0.678M,17.81B,312.08M,12.94B,15.57B,11.93B,6.168M,307.29M,2.235B
RE,2013-03,466.44M,16.03B,40.00M,7.56,7.5,2013-03,384.34M,-13.48M,-13.48M,818.17M,227.42M,469.84M,85.50M,1.368B,5.717M,6.817B,19.80B,0.676M,18.14B,227.42M,12.99B,15.97B,12.15B,5.717M,215.33M,2.048B
RE,2012-12,537.05M,15.98B,40.00M,1.14,1.13,2012-12,58.78M,-13.93M,-13.93M,1.009B,216.39M,38.10M,-20.68M,1.273B,7.293M,6.733B,19.78B,0.671M,18.02B,216.39M,13.04B,15.91B,12.55B,7.293M,211.61M,1.965B
RE,2012-09,593.80M,1.452B,0,4.84,4.82,2012-09,250.92M,-13.33M,-13.33M,488.25M,570.63M,319.20M,68.28M,1.219B,5.947M,6.785B,19.67B,0.67M,2.784B,570.63M,12.88B,15.93B,11.89B,5.947M,558.54M,1.225B
RE,2012-06,438.14M,1.346B,0,4.1,4.08,2012-06,214.55M,-13.24M,-13.24M,488.24M,413.04M,239.40M,24.85M,1.182B,6.075M,6.417B,18.90B,0.669M,2.435B,413.04M,12.49B,15.52B,11.70B,6.075M,408.26M,1.012B
RE,2012-03,464.20M,1.416B,0,5.7,5.68,2012-03,304.70M,-13.18M,-13.18M,488.22M,391.74M,342.82M,38.12M,1.249B,4.661M,6.331B,19.17B,0.667M,2.587B,391.74M,12.83B,15.58B,12.01B,4.661M,379.64M,1.090B
RE,2011-12,366.98M,15.24B,0,0.75,0.75,2011-12,41.04M,-13.12M,-13.12M,818.11M,74.35M,-42.49M,-83.53M,1.286B,-697.26M,6.071B,18.89B,0.665M,17.02B,74.35M,12.82B,15.26B,12.48B,-697.26M,69.57M,1.700B
RE,2011-09,402.95M,1.279B,0,1.16,1.16,2011-09,63.05M,-13.08M,-13.08M,488.20M,374.14M,9.388M,-53.67M,1.025B,232.17M,6.092B,18.74B,0.664M,2.519B,374.14M,12.64B,15.18B,11.93B,232.17M,362.05M,1.156B
RE,2011-06,460.40M,1.196B,0,2.42,2.41,2011-06,131.31M,-13.12M,-13.12M,488.19M,354.82M,140.82M,9.513M,1.177B,241.16M,6.153B,19.00B,0.664M,2.458B,394.82M,12.85B,15.43B,12.04B,241.16M,350.03M,1.166B
RE,2011-03,337.34M,937.75M,0,-5.81,-5.81,2011-03,-315.89M,-13.00M,-13.00M,488.18M,368.82M,-341.67M,-25.78M,1.206B,240.38M,5.914B,18.79B,0.662M,2.232B,408.82M,12.88B,15.30B,11.96B,240.38M,356.72M,1.177B
