Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CNP,2017-03,-71.00M,1.251B,2.122B,787.00M,0,0.45,0.44,867.00M,18.07B,613.00M,2017-03,316.00M,192.00M,-98.00M,-98.00M,12.45B,5.351B,7.892B,291.00M,832.00M,299.00M,107.00M,2.735B,3.537B,21.93B,4.00M,2.896B,2.642B,18.39B,19.04B,15.75B,322.00M,742.00M,1.081B
CNP,2016-12,-71.00M,1.294B,1.425B,1.06B,0,0.23,0.23,911.00M,17.83B,656.00M,2016-12,312.00M,101.00M,-103.00M,-103.00M,12.31B,5.263B,7.532B,307.00M,937.00M,162.00M,61.00M,2.081B,3.46B,21.83B,4.00M,2.923B,3.08B,18.37B,18.91B,15.29B,349.00M,829.00M,1.105B
CNP,2016-09,-64.00M,1.084B,1.188B,815.00M,0,0.42,0.41,862.00M,17.50B,701.00M,2016-09,351.00M,179.00M,-106.00M,-106.00M,12.08B,5.206B,7.736B,284.00M,649.00M,276.00M,97.00M,1.889B,3.472B,21.29B,4.00M,2.529B,2.398B,17.81B,18.76B,15.42B,417.00M,556.00M,891.00M
CNP,2016-06,-67.00M,1.008B,1.009B,780.00M,0,-0.01,-0.01,861.00M,17.22B,565.00M,2016-06,283.00M,-2.00M,-109.00M,-109.00M,11.90B,5.121B,7.78B,182.00M,618.00M,8.00M,10.00M,1.574B,3.397B,21.01B,4.00M,2.272B,2.241B,17.62B,18.74B,15.37B,383.00M,499.00M,799.00M
CNP,2016-03,-65.00M,1.112B,1.373B,1.124B,0,0.36,0.36,840.00M,16.90B,611.00M,2016-03,234.00M,154.00M,-111.00M,-111.00M,11.72B,5.116B,7.354B,250.00M,587.00M,240.00M,86.00M,1.984B,3.506B,21.00B,4.00M,2.335B,2.534B,17.50B,18.67B,14.96B,361.00M,479.00M,787.00M
CNP,2015-12,-66.00M,1.069B,1.234B,904.00M,741.00M,-1.18,-1.18,840.00M,16.65B,557.00M,2015-12,347.00M,-509.00M,-111.00M,-111.00M,11.54B,5.047B,7.866B,226.00M,758.00M,-818.00M,-309.00M,1.791B,3.461B,21.29B,4.00M,2.689B,2.458B,17.83B,18.60B,15.37B,331.00M,641.00M,1.044B
CNP,2015-09,-81.00M,1.053B,1.006B,987.00M,581.00M,-0.91,-0.91,840.00M,16.26B,624.00M,2015-09,342.00M,-391.00M,-113.00M,-113.00M,11.18B,4.445B,7.662B,265.00M,613.00M,-635.00M,-244.00M,1.63B,4.058B,21.78B,4.00M,2.40B,3.191B,17.72B,19.38B,14.53B,359.00M,495.00M,816.00M
CNP,2015-06,-82.00M,1.205B,1.017B,951.00M,728.00M,0.18,0.18,840.00M,15.97B,515.00M,2015-06,274.00M,77.00M,-116.00M,-116.00M,10.91B,4.863B,7.614B,186.00M,618.00M,114.00M,37.00M,1.532B,4.55B,22.60B,4.00M,2.509B,3.125B,18.05B,20.09B,14.93B,329.00M,457.00M,861.00M
CNP,2015-03,-84.00M,1.147B,1.852B,805.00M,649.00M,0.3,0.3,840.00M,15.63B,581.00M,2015-03,198.00M,131.00M,-117.00M,-117.00M,10.67B,4.716B,7.767B,256.00M,734.00M,209.00M,78.00M,2.433B,4.574B,22.67B,4.00M,2.691B,3.187B,18.10B,19.98B,14.91B,325.00M,618.00M,1.132B
CNP,2014-12,-86.00M,1.228B,1.824B,848.00M,662.00M,0.41,0.41,840.00M,15.36B,548.00M,2014-12,379.00M,176.00M,-120.00M,-120.00M,10.50B,5.44B,8.009B,221.00M,1.001B,209.00M,33.00M,2.372B,4.548B,23.20B,4.00M,3.268B,2.792B,18.65B,19.93B,15.86B,327.00M,877.00M,1.384B
CNP,2014-09,-85.00M,1.07B,1.195B,802.00M,629.00M,0.33,0.33,840.00M,14.98B,612.00M,2014-09,409.00M,143.00M,-118.00M,-118.00M,10.20B,4.606B,7.797B,233.00M,690.00M,213.00M,70.00M,1.807B,4.473B,22.05B,4.00M,2.576B,3.008B,17.58B,19.47B,14.57B,379.00M,580.00M,886.00M
CNP,2014-06,-87.00M,1.015B,1.349B,752.00M,608.00M,0.25,0.25,840.00M,14.67B,535.00M,2014-06,295.00M,107.00M,-119.00M,-119.00M,9.979B,4.508B,7.755B,186.00M,783.00M,169.00M,62.00M,1.884B,4.425B,21.92B,4.00M,2.529B,3.026B,17.50B,19.39B,14.47B,349.00M,648.00M,1.02B
CNP,2014-03,-89.00M,1.116B,2.522B,507.00M,625.00M,0.43,0.43,840.00M,14.37B,641.00M,2014-03,172.00M,185.00M,-114.00M,-114.00M,9.763B,4.528B,8.056B,295.00M,1.129B,294.00M,109.00M,3.163B,4.414B,22.26B,4.00M,2.955B,3.059B,17.85B,19.31B,14.79B,346.00M,1.022B,1.485B
CNP,2013-12,-90.00M,975.00M,1.662B,540.00M,0,0.27,0.26,840.00M,14.14B,522.00M,2013-12,285.00M,113.00M,-114.00M,-114.00M,9.593B,4.542B,7.817B,211.00M,997.00M,175.00M,62.00M,2.184B,4.329B,21.87B,4.00M,2.658B,3.019B,17.54B,19.21B,14.52B,311.00M,873.00M,1.249B
CNP,2013-09,-127.00M,908.00M,1.059B,623.00M,0,0.35,0.35,840.00M,13.91B,581.00M,2013-09,374.00M,151.00M,-118.00M,-118.00M,9.386B,4.504B,7.758B,244.00M,616.00M,229.00M,78.00M,1.64B,4.261B,21.58B,4.00M,2.319B,2.595B,17.31B,19.26B,14.72B,337.00M,516.00M,899.00M
CNP,2013-06,-130.00M,1.132B,1.326B,685.00M,622.00M,-0.23,-0.23,840.00M,13.62B,568.00M,2013-06,276.00M,-100.00M,-119.00M,-119.00M,9.184B,4.408B,7.919B,223.00M,658.00M,144.00M,244.00M,1.894B,4.191B,21.66B,4.00M,2.48B,2.675B,17.47B,19.18B,14.79B,345.00M,520.00M,929.00M
CNP,2013-03,-132.00M,859.00M,1.708B,1.08B,609.00M,0.34,0.34,1.468B,18.60B,680.00M,2013-03,203.00M,147.00M,-133.00M,-133.00M,13.71B,4.211B,8.13B,332.00M,761.00M,233.00M,86.00M,2.388B,4.371B,22.37B,4.00M,2.363B,3.126B,18.00B,20.01B,14.87B,348.00M,633.00M,1.146B
CNP,2012-12,-135.00M,1.186B,1.485B,1.438B,604.00M,0.32,0.31,1.468B,18.38B,653.00M,2012-12,322.00M,134.00M,-139.00M,-139.00M,13.60B,4.153B,8.357B,310.00M,871.00M,210.00M,76.00M,2.138B,4.301B,22.87B,4.00M,2.874B,3.575B,18.57B,20.00B,15.00B,343.00M,721.00M,1.114B
CNP,2012-09,-125.00M,1.244B,978.00M,1.455B,617.00M,0.02,0.02,1.468B,18.01B,727.00M,2012-09,352.00M,10.00M,-141.00M,-141.00M,13.34B,4.07B,8.415B,340.00M,672.00M,128.00M,118.00M,1.705B,4.257B,22.48B,4.00M,2.752B,3.364B,18.22B,19.72B,14.86B,387.00M,542.00M,870.00M
CNP,2012-06,-128.00M,1.568B,860.00M,1.639B,596.00M,0.29,0.29,1.696B,17.35B,665.00M,2012-06,269.00M,126.00M,-142.00M,-142.00M,12.74B,3.974B,8.583B,302.00M,644.00M,200.00M,74.00M,1.525B,4.332B,22.48B,4.00M,2.955B,3.206B,18.14B,19.52B,14.94B,363.00M,463.00M,798.00M
CNP,2012-03,-131.00M,1.528B,1.424B,1.018B,550.00M,0.34,0.34,1.696B,17.07B,660.00M,2012-03,255.00M,147.00M,-147.00M,-147.00M,12.51B,3.944B,9.005B,338.00M,656.00M,219.00M,72.00M,2.084B,4.286B,22.35B,4.00M,2.968B,2.735B,18.06B,19.38B,15.33B,322.00M,530.00M,881.00M
CNP,2011-12,-133.00M,606.00M,2.901B,546.00M,507.00M,0.28,0.28,1.696B,16.87B,-756.00M,2011-12,353.00M,117.00M,-146.00M,-146.00M,12.40B,3.832B,8.641B,274.00M,931.00M,159.00M,42.00M,2.145B,4.222B,21.70B,4.00M,2.337B,2.593B,17.48B,19.37B,14.89B,-1.03B,767.00M,1.099B
CNP,2011-09,-110.00M,440.00M,735.00M,567.00M,547.00M,2.28,2.27,1.696B,16.59B,1.146B,2011-09,418.00M,973.00M,-145.00M,-145.00M,12.16B,3.814B,8.497B,357.00M,719.00M,590.00M,204.00M,1.881B,4.207B,20.95B,4.00M,1.982B,2.319B,16.74B,18.97B,14.42B,789.00M,601.00M,882.00M
CNP,2011-06,-112.00M,607.00M,778.00M,577.00M,500.00M,0.28,0.28,1.696B,16.43B,1.059B,2011-06,309.00M,119.00M,-143.00M,-143.00M,11.98B,3.148B,8.51B,303.00M,707.00M,190.00M,71.00M,1.837B,3.313B,19.68B,4.00M,2.042B,2.361B,16.36B,17.64B,14.00B,756.00M,533.00M,906.00M
CNP,2011-03,-115.00M,494.00M,1.476B,421.00M,458.00M,0.35,0.35,1.696B,16.24B,1.111B,2011-03,194.00M,148.00M,-149.00M,-149.00M,11.86B,2.998B,8.732B,364.00M,717.00M,235.00M,87.00M,2.587B,3.266B,19.59B,4.00M,2.014B,2.201B,16.33B,17.58B,14.13B,747.00M,589.00M,1.088B
