Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
NCLH,2015-09,-319.20M,230.18M,717.72M,587.50M,1.104B,1.11,1.09,2.327B,10.35B,567.19M,2015-09,54.95M,251.79M,-49.78M,-49.78M,8.724B,5.096B,306.83M,740.04M,255.32M,3.528M,1.285B,150.56M,3.919B,11.75B,0.232M,441.20M,2.431B,7.828B,11.31B,5.397B,260.36M,83.18M,42.00M
NCLH,2015-06,-227.23M,172.96M,656.28M,585.88M,1.213B,0.7,0.69,2.347B,7.114B,429.15M,2015-06,59.80M,158.49M,-52.45M,-52.45M,8.675B,5.178B,217.38M,675.01M,161.22M,2.726M,1.085B,107.16M,3.740B,11.69B,0.232M,399.92M,2.474B,7.947B,11.29B,5.473B,211.77M,93.80M,36.80M
NCLH,2015-03,-324.40M,121.42M,623.70M,579.67M,1.057B,-0.1,-0.1,2.366B,0,314.48M,2015-03,56.64M,-21.46M,-50.99M,-50.99M,8.629B,5.379B,60.35M,737.48M,-20.78M,0.677M,938.18M,154.16M,3.479B,11.59B,0.232M,324.63M,2.374B,8.113B,11.27B,5.740B,254.13M,122.85M,30.96M
NCLH,2014-12,-242.64M,84.82M,518.62M,576.95M,817.21M,-0.12,-0.12,2.388B,0,270.29M,2014-12,56.56M,-25.61M,-56.44M,-56.44M,8.624B,5.503B,46.44M,692.44M,-24.15M,1.494M,788.91M,139.58M,3.519B,11.47B,0.23M,283.74M,2.087B,7.950B,11.19B,5.864B,223.85M,139.93M,32.43M
NCLH,2014-09,-58.48M,55.87M,511.30M,381.56M,504.06M,0.99,0.97,611.33M,0,395.72M,2014-09,51.26M,201.08M,-32.28M,-32.28M,6.320B,3.082B,234.82M,417.40M,205.78M,2.502M,907.02M,97.11M,2.853B,7.374B,0.206M,190.64M,1.303B,4.490B,7.183B,3.187B,160.90M,136.81M,25.94M
NCLH,2014-06,-23.01M,63.48M,470.80M,372.91M,610.64M,0.54,0.54,611.33M,0,295.13M,2014-06,52.57M,111.62M,-31.86M,-31.86M,6.305B,3.129B,148.59M,396.35M,116.40M,3.124M,765.93M,83.08M,2.686B,7.315B,0.205M,210.22M,1.380B,4.600B,7.105B,3.220B,146.54M,139.78M,27.14M
NCLH,2014-03,-31.66M,64.76M,445.91M,363.70M,531.94M,0.25,0.24,611.33M,0,218.12M,2014-03,48.11M,51.27M,-31.17M,-31.17M,6.327B,3.290B,73.09M,361.26M,42.30M,-9.387M,664.03M,83.39M,2.635B,7.319B,0.205M,187.22M,1.257B,4.649B,7.132B,3.392B,145.03M,116.37M,18.00M
NCLH,2013-12,-16.69M,56.47M,417.79M,286.58M,411.83M,0.18,0.17,611.33M,0,182.56M,2013-12,43.72M,36.09M,-24.63M,-24.63M,5.648B,2.841B,61.43M,377.08M,37.03M,0.625M,600.34M,64.23M,2.609B,6.651B,0.205M,182.92M,1.075B,4.020B,6.468B,2.944B,121.13M,123.33M,18.26M
NCLH,2013-09,-33.10M,56.96M,456.10M,282.56M,434.54M,0.84,0.82,611.33M,0,341.78M,2013-09,45.90M,170.86M,-26.63M,-26.63M,5.623B,2.830B,208.08M,360.64M,180.83M,7.933M,797.88M,77.61M,2.553B,6.606B,0.205M,187.05M,1.078B,4.031B,6.418B,2.953B,133.70M,135.37M,17.72M
NCLH,2013-06,-47.41M,82.84M,421.08M,272.64M,542.60M,-0.04,-0.04,611.33M,6.212B,223.35M,2013-06,45.43M,-8.841M,-103.69M,-103.69M,5.602B,2.919B,95.39M,355.84M,-7.868M,1.047M,644.43M,74.11M,2.354B,6.589B,0.204M,201.02M,1.171B,4.204B,6.388B,3.033B,127.96M,134.16M,16.37M
NCLH,2013-03,-38.54M,81.20M,362.69M,221.75M,464.08M,-0.49,-0.49,611.33M,5.703B,164.94M,2013-03,42.29M,-96.40M,-127.66M,-127.66M,4.998B,2.417B,30.99M,360.32M,-95.30M,2.196M,527.63M,85.21M,2.373B,5.992B,0.204M,206.77M,1.046B,3.590B,5.785B,2.544B,133.95M,104.58M,13.39M
NCLH,2012-12,-17.62M,45.50M,344.59M,221.23M,353.79M,0.0053,0.0053,611.33M,0,158.58M,2012-12,39.68M,1.053M,-47.66M,-47.66M,4.960B,2.764B,49.50M,370.06M,1.215M,0.162M,503.17M,60.44M,2.010B,5.938B,0.025M,164.93M,945.09M,3.920B,5.773B,2.975B,109.07M,139.02M,15.06M
NCLH,2012-09,-23.70M,68.69M,394.07M,184.16M,378.24M,0.6394,0.6305,611.33M,0,280.34M,2012-09,43.18M,128.19M,-47.20M,-47.20M,4.934B,2.727B,174.14M,350.72M,128.59M,0.398M,674.41M,57.78M,2.012B,5.893B,0.025M,187.62M,913.11M,3.881B,5.705B,2.968B,106.20M,96.81M,15.12M
NCLH,2012-06,-61.95M,65.70M,387.74M,212.24M,434.05M,0.1797,0.1772,610.29M,0,195.49M,2012-06,37.79M,36.03M,-48.90M,-48.90M,4.926B,2.761B,87.01M,311.25M,36.10M,0.071M,583.23M,61.81M,1.845B,5.846B,0.025M,155.20M,990.16M,4.001B,5.691B,3.011B,108.49M,68.58M,9.44M
NCLH,2012-03,-1.112M,63.97M,352.03M,153.63M,411.28M,0.0164,0.0162,610.29M,0,163.40M,2012-03,39.67M,3.284M,-46.17M,-46.17M,4.616B,2.764B,46.44M,311.70M,3.284M,0,515.43M,71.16M,1.870B,5.581B,0.025M,184.67M,876.61M,3.711B,5.396B,2.835B,116.96M,72.28M,7.987M
NCLH,2011-12,-19.79M,58.93M,343.38M,200.58M,325.47M,-0.0097,-0.0097,602.79M,0,145.21M,2011-12,36.23M,-1.941M,-45.75M,-45.75M,4.640B,2.837B,42.34M,291.39M,-0.241M,0,488.59M,58.17M,1.844B,5.562B,0.025M,152.14M,817.45M,3.718B,5.410B,2.901B,102.87M,83.29M,8.159M
NCLH,2011-09,-12.02M,47.84M,399.28M,144.17M,332.57M,0.5363,0.5288,602.79M,0,267.35M,2011-09,41.56M,107.51M,-49.89M,-49.89M,4.617B,2.847B,160.02M,307.31M,107.51M,0,666.63M,60.82M,1.845B,5.539B,0.025M,145.13M,784.05M,3.694B,5.394B,2.910B,107.34M,64.61M,12.50M
NCLH,2011-06,22.64M,60.18M,381.74M,132.98M,414.56M,0.1458,0.1437,602.79M,0,186.84M,2011-06,39.36M,29.22M,-46.68M,-46.68M,4.644B,2.940B,76.25M,298.38M,0,0,568.59M,64.08M,1.769B,5.606B,0.025M,167.62M,845.92M,3.837B,5.438B,2.991B,110.59M,63.25M,9.304M
NCLH,2011-03,21.76M,49.20M,343.47M,89.03M,0,-0.0396,-0.0396,602.79M,0,152.04M,2011-03,37.27M,-7.933M,-47.87M,-47.87M,4.613B,2.993B,37.50M,312.36M,0,0,495.51M,68.28M,1.739B,5.564B,0.025M,157.73M,782.11M,3.825B,5.406B,3.043B,114.54M,62.17M,10.76M
