Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
BKNG,2013-09,39.76M,6.584B,280.84M,0,430.66M,16.22,15.72,2.800B,0,1.989B,2013-09,832.99M,-23.27M,-23.27M,119.77M,371.50M,1.731B,1.047B,856.92M,1.020B,187.36M,0,2.270B,906.42M,6.433B,10.45B,0.468M,7.489B,1.826B,4.012B,2.957B,2.186B,942.17M,312.90M,706.23M
BKNG,2013-06,-75.58M,5.945B,296.38M,532.21M,535.64M,8.62,8.39,2.790B,232.48M,1.384B,2013-06,437.33M,-18.49M,-18.49M,109.14M,387.30M,1.720B,554.83M,703.59M,535.56M,98.12M,8.548M,1.680B,803.00M,5.900B,9.867B,0.467M,6.926B,1.771B,3.967B,2.941B,2.195B,829.02M,316.25M,649.25M
BKNG,2013-03,-88.06M,5.182B,292.35M,526.23M,403.53M,4.89,4.76,693.43M,176.96M,1.010B,2013-03,244.27M,-16.46M,-16.46M,92.50M,41.47M,887.23M,309.84M,675.58M,290.44M,46.15M,8.239M,1.302B,680.75M,4.040B,6.855B,0.452M,6.030B,1.605B,2.816B,824.68M,1.210B,699.83M,250.55M,471.81M
BKNG,2012-12,-23.68M,5.183B,250.89M,520.34M,368.82M,5.79,5.63,730.78M,0,939.75M,2012-12,288.66M,-16.00M,-16.00M,89.27M,45.16M,882.00M,374.32M,572.56M,356.02M,66.43M,6.67M,1.191B,547.81M,3.952B,6.570B,0.45M,5.682B,1.462B,2.618B,887.37M,1.156B,565.44M,184.65M,367.51M
BKNG,2012-09,-62.87M,4.668B,309.81M,514.54M,343.30M,11.97,11.66,710.21M,0,1.397B,2012-09,596.59M,-16.16M,-16.16M,81.93M,46.30M,937.27M,755.59M,617.50M,731.17M,131.20M,0,1.706B,624.90M,3.578B,6.218B,0.45M,5.366B,1.475B,2.507B,852.08M,1.031B,640.91M,240.18M,493.78M
BKNG,2012-06,-107.65M,3.942B,322.62M,508.83M,384.52M,7.07,6.88,704.37M,0,1.004B,2012-06,352.35M,-15.88M,-15.88M,78.62M,45.24M,937.84M,458.36M,473.29M,445.68M,93.02M,0,1.327B,530.12M,2.928B,5.429B,0.45M,4.578B,1.367B,2.391B,850.51M,1.024B,545.79M,201.20M,429.52M
BKNG,2012-03,-51.11M,3.619B,293.96M,503.19M,314.84M,3.65,3.54,731.69M,0,743.29M,2012-03,181.97M,-10.16M,-10.16M,73.52M,45.72M,938.38M,241.53M,472.20M,229.00M,47.18M,0,1.037B,485.92M,2.592B,5.093B,0.449M,4.203B,1.290B,2.318B,889.76M,1.028B,501.76M,173.98M,324.56M
BKNG,2011-12,-87.58M,2.658B,266.07M,497.64M,239.16M,4.53,4.4,704.94M,0,724.70M,2011-12,225.72M,-6.288M,-6.288M,64.32M,46.99M,82.83M,303.78M,369.00M,298.66M,72.70M,0,990.77M,430.64M,2.652B,3.971B,0.446M,3.067B,1.106B,1.319B,903.83M,213.22M,420.92M,146.87M,264.45M
BKNG,2011-09,-59.84M,2.405B,352.66M,492.17M,213.80M,9.43,9.17,720.85M,0,1.100B,2011-09,469.50M,-5.353M,-5.353M,53.84M,47.45M,88.22M,616.38M,475.29M,611.85M,138.97M,0,1.453B,461.26M,2.390B,3.816B,0.446M,2.882B,1.181B,1.349B,933.60M,167.40M,483.77M,169.54M,345.34M
BKNG,2011-06,19.48M,1.949B,353.49M,486.78M,243.73M,5.16,5.02,758.48M,0,749.23M,2011-06,256.37M,-5.666M,-5.666M,49.35M,54.68M,93.57M,324.71M,395.68M,316.59M,60.31M,0,1.103B,402.63M,1.990B,3.360B,0.446M,2.376B,1.126B,1.303B,983.64M,176.76M,424.52M,127.79M,321.36M
BKNG,2011-03,10.36M,1.746B,303.51M,481.64M,166.80M,2.12,2.05,759.86M,0,505.81M,2011-03,104.79M,-6.294M,-6.294M,44.39M,55.94M,0,154.06M,438.25M,140.69M,36.68M,0,809.32M,332.60M,1.724B,3.065B,0.445M,2.106B,1.087B,1.283B,959.68M,196.72M,351.75M,115.51M,221.98M
