Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MPC,2014-09,-228.00M,1.854B,22.37B,26.00M,0,1.19,1.18,1.537B,24.71B,3.069B,2014-09,5.608B,672.00M,-50.00M,-50.00M,16.00B,2.892B,6.238B,1.031B,10.02B,1.012B,333.00M,25.44B,342.00M,10.85B,31.70B,4.00M,12.89B,10.37B,20.44B,18.82B,10.07B,2.038B,10.02B,5.271B
MPC,2014-06,-218.00M,2.125B,23.55B,26.00M,0,1.49,1.48,937.00M,22.28B,3.293B,2014-06,5.621B,855.00M,-48.00M,-48.00M,13.85B,2.766B,3.612B,1.301B,10.51B,1.321B,457.00M,26.84B,316.00M,10.62B,29.38B,4.00M,13.60B,11.06B,18.34B,15.78B,7.284B,1.992B,10.51B,5.725B
MPC,2014-03,-205.00M,2.166B,21.02B,24.00M,0,0.34,0.335,938.00M,21.99B,2.266B,2014-03,5.689B,199.00M,-46.00M,-46.00M,13.85B,3.065B,3.635B,325.00M,10.56B,315.00M,108.00M,23.28B,346.00M,10.34B,29.16B,4.00M,13.45B,10.85B,18.40B,15.71B,7.555B,1.941B,10.56B,5.42B
MPC,2013-12,-204.00M,2.292B,21.93B,23.00M,0,1.045,1.035,938.00M,21.79B,2.968B,2013-12,4.689B,626.00M,-39.00M,-39.00M,13.92B,3.085B,3.373B,985.00M,9.526B,969.00M,338.00M,24.90B,336.00M,10.92B,28.38B,4.00M,12.74B,9.824B,17.05B,15.65B,7.229B,1.983B,9.526B,5.559B
MPC,2013-09,-205.00M,2.018B,23.96B,23.00M,0,0.27,0.27,938.00M,21.38B,2.301B,2013-09,5.714B,168.00M,-46.00M,-46.00M,13.80B,3.063B,3.38B,291.00M,10.19B,254.00M,81.00M,26.26B,305.00M,10.85B,29.00B,4.00M,13.53B,10.40B,17.74B,15.47B,7.338B,2.01B,10.19B,5.593B
MPC,2013-06,-254.00M,3.069B,22.70B,23.00M,436.00M,0.92,0.915,938.00M,21.11B,2.976B,2013-06,4.83B,593.00M,-47.00M,-47.00M,13.80B,2.941B,3.387B,952.00M,9.903B,915.00M,316.00M,25.68B,358.00M,11.78B,29.70B,4.00M,14.25B,10.24B,17.50B,15.44B,7.257B,2.024B,9.903B,6.163B
MPC,2013-03,-382.00M,4.737B,20.39B,22.00M,448.00M,1.095,1.085,930.00M,20.89B,2.937B,2013-03,4.879B,725.00M,-47.00M,-47.00M,13.85B,3.025B,3.394B,1.155B,10.55B,1.108B,378.00M,23.33B,249.00M,12.00B,30.77B,4.00M,15.30B,10.73B,18.36B,15.48B,7.633B,1.782B,10.55B,5.509B
MPC,2012-12,-464.00M,4.86B,17.70B,19.00M,0,1.13,1.12,930.00M,19.41B,2.982B,2012-12,3.449B,755.00M,-46.00M,-46.00M,12.64B,2.307B,3.342B,1.182B,8.072B,1.144B,385.00M,20.69B,314.00M,11.69B,27.22B,4.00M,13.03B,8.203B,15.12B,14.19B,6.915B,1.80B,8.072B,4.61B
MPC,2012-09,-489.00M,3.387B,17.53B,20.00M,0,1.805,1.795,930.00M,19.05B,3.517B,2012-09,3.889B,1.224B,-24.00M,-24.00M,12.53B,2.209B,3.329B,1.713B,7.924B,1.87B,646.00M,21.05B,293.00M,11.47B,26.58B,4.00M,12.52B,8.308B,15.12B,14.07B,6.808B,1.804B,7.215B,5.101B
MPC,2012-06,-497.00M,1.895B,17.09B,19.00M,0,1.195,1.19,925.00M,18.69B,3.15B,2012-06,4.03B,814.00M,-17.00M,-17.00M,12.41B,2.123B,3.316B,1.297B,7.12B,1.29B,476.00M,20.24B,365.00M,10.33B,24.68B,4.00M,10.71B,7.568B,14.36B,13.98B,6.787B,1.853B,6.516B,4.708B
MPC,2012-03,-862.00M,2.205B,17.61B,17.00M,0,0.855,0.85,842.00M,18.31B,2.651B,2012-03,3.352B,596.00M,-22.00M,-22.00M,12.25B,1.776B,3.304B,952.00M,8.722B,934.00M,338.00M,20.26B,251.00M,9.216B,25.31B,4.00M,11.58B,9.201B,16.09B,13.73B,6.889B,1.699B,8.14B,5.867B
MPC,2011-12,-879.00M,3.079B,14.84B,15.00M,0,-0.105,-0.105,842.00M,18.07B,4.519B,2011-12,3.32B,-75.00M,-34.00M,-34.00M,12.23B,1.574B,3.292B,-179.00M,9.396B,-180.00M,-105.00M,19.36B,255.00M,9.505B,25.74B,4.00M,12.00B,9.591B,16.24B,13.74B,6.649B,4.698B,9.396B,5.461B
MPC,2011-09,-601.00M,2.957B,18.30B,14.00M,0,1.59,1.58,842.00M,17.66B,2.333B,2011-09,3.615B,1.133B,-15.00M,-15.00M,12.03B,1.757B,3.285B,1.744B,8.206B,1.744B,611.00M,20.64B,299.00M,10.05B,25.22B,4.00M,11.67B,8.612B,15.18B,13.56B,6.564B,589.00M,7.223B,4.914B
MPC,2011-06,-596.00M,1.622B,18.90B,12.00M,0,1.125,1.12,842.00M,17.37B,1.873B,2011-06,3.679B,802.00M,-13.00M,-13.00M,11.94B,1.687B,3.262B,1.308B,7.632B,1.333B,531.00M,20.78B,288.00M,8.977B,23.96B,4.00M,10.51B,8.549B,14.99B,13.45B,6.438B,565.00M,7.632B,5.042B
MPC,2011-03,-611.00M,2.984B,16.55B,64.00M,0,0.745,0.74,834.00M,16.87B,1.311B,2011-03,2.735B,529.00M,-11.00M,-11.00M,11.71B,1.676B,3.263B,810.00M,7.578B,822.00M,293.00M,17.86B,217.00M,9.036B,23.78B,0,10.58B,8.282B,14.74B,13.20B,6.459B,501.00M,7.357B,4.755B
