Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ANSS,2020-12,-17.78M,913.15M,67.90M,75.00M,372.06M,2.5,2.46,3.733B,376.50M,555.78M,2020-12,215.63M,-1.834M,-1.834M,234.23M,110.32M,919.06M,259.39M,356.76M,257.87M,42.24M,96.51M,623.69M,195.84M,4.098B,5.941B,0.953M,1.719B,728.82M,1.843B,4.221B,1.114B,296.39M,89.96M,761.35M
ANSS,2020-09,-51.34M,845.21M,53.38M,0,326.49M,0.88,0.87,2.966B,206.00M,313.58M,2020-09,75.63M,-1.099M,-1.099M,206.00M,63.73M,525.70M,90.08M,235.36M,90.14M,14.52M,86.62M,366.96M,132.64M,3.590B,4.846B,0.946M,1.459B,561.85M,1.257B,3.388B,694.84M,223.50M,63.96M,569.60M
ANSS,2020-06,-79.38M,744.98M,53.86M,0,325.10M,1.13,1.11,2.956B,206.03M,331.80M,2020-06,96.56M,-2.106M,-2.106M,206.03M,66.66M,527.27M,112.81M,218.71M,112.58M,16.02M,86.13M,385.66M,128.70M,3.438B,4.672B,0.946M,1.294B,543.81M,1.234B,3.378B,690.01M,218.99M,57.17M,503.29M
ANSS,2020-03,-89.67M,718.03M,50.12M,0,352.96M,0.54,0.53,2.857B,203.30M,254.87M,2020-03,46.06M,-0.876M,-0.876M,203.30M,69.78M,530.64M,34.07M,184.18M,33.32M,-12.74M,86.11M,304.98M,130.52M,3.292B,4.526B,0.946M,1.291B,537.14M,1.234B,3.235B,696.59M,220.80M,39.80M,524.77M
ANSS,2019-12,-65.38M,872.38M,49.60M,0,351.35M,1.95,1.91,2.890B,318.41M,436.63M,2019-12,165.85M,0.286M,0.286M,189.31M,78.64M,515.30M,185.72M,268.79M,185.15M,19.30M,79.15M,486.23M,167.94M,3.453B,4.839B,0.946M,1.555B,695.14M,1.386B,3.283B,690.37M,250.92M,60.69M,637.83M
ANSS,2019-09,-90.14M,732.90M,41.36M,0,291.38M,1.06,1.04,2.039B,174.46M,302.53M,2019-09,89.46M,2.949M,2.949M,174.46M,31.20M,91.17M,105.05M,182.44M,108.83M,19.37M,73.02M,343.90M,120.68M,2.923B,3.582B,0.932M,1.206B,473.83M,658.69M,2.376B,184.86M,197.49M,15.45M,430.45M
ANSS,2019-06,-69.38M,631.70M,40.50M,0,321.06M,1.31,1.28,2.058B,172.80M,328.14M,2019-06,109.75M,2.749M,2.749M,172.80M,36.48M,90.42M,128.63M,184.61M,129.94M,20.19M,75.30M,368.64M,120.41M,2.817B,3.513B,0.932M,1.133B,505.67M,695.56M,2.379B,189.89M,199.51M,19.13M,455.64M
ANSS,2019-03,-69.94M,607.63M,34.82M,0,330.89M,1.03,1.01,2.027B,163.29M,282.32M,2019-03,86.23M,3.351M,3.351M,163.29M,38.37M,87.26M,95.65M,172.52M,98.67M,12.44M,70.74M,317.13M,112.17M,2.684B,3.372B,0.932M,1.063B,503.41M,687.88M,2.309B,184.47M,186.67M,27.20M,412.10M
ANSS,2018-12,-62.38M,777.36M,40.09M,0,328.58M,1.83,1.79,1.784B,183.20M,375.34M,2018-12,153.16M,3.686M,3.686M,61.66M,30.08M,0,179.94M,196.18M,185.06M,31.90M,58.90M,415.43M,133.14M,2.650B,3.266B,0.932M,1.311B,524.77M,616.42M,1.955B,91.65M,195.41M,40.87M,498.55M
ANSS,2018-09,-60.89M,729.39M,36.31M,0,272.87M,1.06,1.04,1.795B,0,253.11M,2018-09,89.34M,3.213M,3.213M,57.90M,29.96M,0,93.02M,142.57M,95.26M,5.927M,59.02M,289.42M,97.58M,2.549B,3.056B,0.932M,1.128B,415.44M,507.56M,1.929B,92.13M,160.09M,12.68M,361.95M
ANSS,2018-06,-55.79M,696.16M,40.45M,0,306.88M,1.1,1.08,1.805B,173.92M,265.46M,2018-06,92.60M,2.176M,2.176M,56.50M,38.77M,0,108.55M,128.12M,109.72M,17.13M,58.36M,305.91M,95.06M,2.507B,3.058B,0.932M,1.143B,435.00M,550.77M,1.915B,115.77M,156.91M,13.30M,410.01M
ANSS,2018-03,-29.60M,889.77M,39.04M,0,311.72M,1,0.98,1.526B,156.90M,243.84M,2018-03,84.28M,2.285M,2.285M,55.81M,28.85M,0,95.06M,130.37M,97.04M,12.76M,57.53M,282.87M,87.81M,2.407B,2.959B,0.932M,1.327B,442.09M,551.81M,1.632B,109.71M,148.77M,12.13M,405.09M
