Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
COG,2013-06,46.56M,47.28M,247.72M,75.00M,51.03M,0.21,0.21,7.034B,201.96M,2013-06,18.28M,89.11M,-16.99M,-16.99M,4.558B,1.046B,1.067B,164.46M,346.28M,148.04M,58.92M,449.68M,21.61M,2.286B,5.018B,21.08M,403.19M,494.39M,2.732B,4.615B,2.237B,37.50M,136.28M,212.24M
COG,2013-03,-22.30M,20.46M,234.76M,75.00M,40.61M,0.1,0.1,6.761B,138.52M,2013-03,11.28M,42.82M,-16.26M,-16.26M,4.413B,940.04M,1.052B,87.11M,286.91M,70.76M,27.94M,373.28M,35.70M,2.123B,4.688B,21.08M,238.88M,447.26M,2.565B,4.449B,2.117B,51.42M,117.46M,172.66M
COG,2012-12,23.88M,30.74M,202.94M,75.00M,49.41M,0.095,0.095,6.518B,166.94M,2012-12,14.17M,40.87M,-16.72M,-16.72M,4.311B,906.56M,1.012B,122.02M,302.23M,88.96M,48.09M,369.88M,27.99M,2.131B,4.616B,42.09M,270.31M,444.14M,2.485B,4.346B,2.041B,44.92M,113.82M,172.42M
COG,2012-09,27.26M,37.50M,177.40M,75.00M,47.47M,0.09,0.09,6.420B,119.47M,2012-09,17.70M,36.61M,-16.22M,-16.22M,4.219B,859.99M,987.00M,75.90M,269.76M,59.56M,22.95M,296.87M,23.83M,2.100B,4.483B,21.02M,224.67M,412.79M,2.383B,4.258B,1.970B,43.57M,91.22M,104.82M
COG,2012-06,88.83M,48.64M,181.31M,0,45.94M,0.085,0.085,6.155B,84.35M,2012-06,11.98M,35.94M,-18.50M,-18.50M,4.062B,829.03M,972.00M,10.38M,278.51M,59.58M,23.65M,265.66M,46.87M,2.131B,4.410B,21.00M,295.87M,340.86M,2.279B,4.114B,1.938B,73.97M,253.45M,89.17M
COG,2012-03,117.92M,32.33M,179.81M,0,68.41M,0.045,0.045,5.989B,92.33M,2012-03,11.39M,18.32M,-16.92M,-16.92M,4.011B,814.19M,1.012B,47.20M,60.83M,29.74M,11.43M,272.14M,22.55M,2.125B,4.403B,20.98M,339.73M,322.15M,2.278B,4.063B,1.956B,45.13M,38.26M,95.12M
COG,2011-12,104.55M,29.91M,408.76M,0,56.62M,0.065,0.065,5.805B,-140.73M,2011-12,21.28M,26.36M,-17.74M,-17.74M,3.935B,822.78M,950.00M,71.64M,253.97M,80.87M,54.51M,268.02M,26.41M,2.105B,4.331B,20.90M,345.80M,343.34M,2.227B,3.986B,1.883B,-212.37M,89.98M,115.77M
COG,2011-09,70.03M,62.93M,55.26M,0,31.98M,0.07,0.07,6.199B,206.85M,2011-09,28.30M,28.48M,-18.52M,-18.52M,4.103B,785.15M,1.205B,61.38M,239.39M,46.72M,18.23M,262.12M,27.95M,2.043B,4.472B,10.45M,310.04M,288.98M,2.429B,4.162B,2.140B,145.47M,95.46M,111.77M
COG,2011-06,22.38M,39.31M,48.45M,0,9.778M,0.13,0.13,5.961B,192.25M,2011-06,24.04M,54.68M,-18.04M,-18.04M,3.968B,784.01M,1.095B,72.55M,265.62M,88.57M,33.90M,240.70M,26.01M,1.966B,4.250B,10.45M,235.84M,286.72M,2.284B,4.014B,1.997B,119.70M,111.06M,125.21M
COG,2011-03,-1.754M,24.90M,61.54M,0,0,0.03,0.03,5.766B,147.48M,2011-03,20.81M,12.89M,-17.37M,-17.37M,3.847B,746.94M,1.055B,37.91M,236.10M,19.02M,6.137M,209.03M,24.30M,1.886B,4.048B,10.45M,161.54M,241.70M,2.162B,3.887B,1.921B,109.57M,220.84M,93.91M
