Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
RJF,2020-12,17.00M,13.38B,6.00M,2.27,2.23,834.00M,1.615B,2020-12,312.00M,22.93B,534.00M,2.907B,13.63B,399.00M,87.00M,2.194B,1.622B,7.363B,53.66B,2.00M,17.04B,13.86B,46.22B,35.21B,32.29B,1.62B,13.63B,3.136B
RJF,2020-09,11.00M,13.04B,50.00M,1.53,1.5,600.00M,1.188B,2020-09,209.00M,22.21B,856.00M,3.278B,7.96B,256.00M,47.00M,2.053B,1.543B,7.114B,47.48B,2.00M,17.17B,8.125B,40.31B,32.42B,32.10B,1.536B,7.96B,3.362B
RJF,2020-06,1.00M,11.26B,300.00M,1.25,1.23,602.00M,1.06B,2020-06,172.00M,22.22B,537.00M,2.934B,7.388B,198.00M,26.00M,1.811B,1.398B,6.965B,44.68B,2.00M,15.34B,7.616B,37.67B,31.24B,29.96B,1.398B,7.388B,3.434B
RJF,2020-03,-11.00M,14.91B,0,1.22,1.2,603.00M,0,2020-03,169.00M,22.77B,543.00M,2.935B,8.394B,239.00M,70.00M,2.042B,1.562B,6.798B,49.81B,2.00M,19.27B,8.609B,42.98B,30.28B,34.34B,1.562B,8.394B,3.782B
RJF,2019-12,-5.00M,7.331B,0,1.93,1.89,609.00M,0,2019-12,268.00M,22.29B,536.00M,2.443B,5.939B,359.00M,91.00M,1.983B,1.489B,6.842B,40.15B,2.00M,11.23B,6.145B,33.25B,29.13B,26.87B,1.489B,5.939B,3.288B
RJF,2019-09,-23.00M,7.05B,0,1.9,1.86,611.00M,0,2019-09,265.00M,21.87B,527.00M,2.444B,5.108B,354.00M,89.00M,1.999B,1.468B,6.581B,38.83B,2.00M,11.36B,5.258B,32.19B,27.35B,26.61B,1.468B,5.108B,3.501B
RJF,2019-06,-14.00M,6.556B,0,1.84,1.8,635.00M,0,2019-06,259.00M,21.63B,518.00M,2.445B,5.203B,342.00M,83.00M,1.903B,1.426B,6.502B,38.68B,2.00M,10.79B,5.418B,32.11B,27.98B,26.27B,1.426B,5.203B,3.518B
RJF,2019-03,-25.00M,6.724B,0,1.85,1.81,630.00M,0,2019-03,261.00M,21.05B,498.00M,2.446B,5.23B,347.00M,86.00M,1.837B,1.36B,6.366B,38.18B,2.00M,11.02B,5.44B,31.74B,27.34B,25.59B,1.36B,5.23B,3.603B
RJF,2018-12,-39.00M,7.119B,0,1.73,1.69,633.00M,0,2018-12,249.00M,20.81B,490.00M,2.448B,6.102B,332.00M,83.00M,1.907B,1.40B,6.143B,38.54B,2.00M,11.45B,6.558B,32.32B,26.78B,25.43B,1.385B,6.102B,3.723B
RJF,2018-09,-27.00M,6.196B,0,1.8,1.76,639.00M,0,2018-09,263.00M,20.44B,486.00M,2.449B,6.29B,350.00M,87.00M,1.875B,1.375B,6.368B,37.41B,2.00M,11.04B,6.476B,30.96B,25.51B,24.06B,1.375B,6.29B,4.192B
