Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
FRT,2020-12,-5.644M,798.33M,77.42M,0,1.22,1.22,143.36M,142.10M,2020-12,94.72M,-37.00M,-37.00M,143.36M,152.42M,4.436B,65.36M,332.87M,102.21M,0,219.51M,12.31M,2.464B,7.608B,160.77M,1.217B,332.87M,5.059B,6.391B,4.726B,76.73M,332.87M,199.67M
FRT,2020-09,-7.30M,863.28M,72.35M,0,-0.41,-0.41,144.27M,135.84M,2020-09,-28.29M,-35.69M,-35.69M,144.27M,148.89M,4.606B,60.91M,378.78M,-33.62M,0,208.20M,9.308M,2.328B,7.711B,160.76M,1.297B,378.78M,5.293B,6.414B,4.914B,74.94M,378.78M,204.79M
FRT,2020-06,-7.758M,980.04M,67.02M,0,0.11,0.11,145.25M,109.21M,2020-06,10.51M,-33.56M,-33.56M,145.25M,146.37M,4.608B,36.61M,345.32M,10.86M,0,176.23M,9.814M,2.434B,7.790B,160.76M,1.384B,345.32M,5.259B,6.406B,4.914B,72.60M,345.32M,197.97M
FRT,2020-03,-7.265M,994.69M,73.38M,0,0.7,0.7,146.23M,158.18M,2020-03,54.76M,-28.14M,-28.14M,146.23M,150.41M,4.501B,85.74M,349.81M,56.44M,0,231.56M,10.25M,2.502B,7.760B,160.76M,1.395B,349.81M,5.160B,6.365B,4.810B,72.44M,349.81M,183.58M
FRT,2019-12,-0.813M,127.43M,76.69M,0,1.92,1.92,146.18M,162.46M,2019-12,147.36M,-26.54M,-26.54M,146.18M,157.94M,3.502B,90.32M,358.88M,148.97M,0,239.15M,10.71M,2.535B,6.795B,160.76M,537.49M,358.88M,4.159B,6.257B,3.800B,72.14M,358.88M,183.00M
FRT,2019-09,-1.135M,162.54M,83.51M,0,0.84,0.84,146.99M,150.43M,2019-09,65.46M,-26.66M,-26.66M,146.99M,165.54M,3.423B,79.72M,323.61M,67.11M,0,233.95M,11.06M,2.470B,6.608B,160.76M,576.30M,323.61M,4.034B,6.031B,3.711B,70.71M,323.61M,174.28M
FRT,2019-06,-1.024M,105.90M,66.60M,0,1.05,1.05,147.87M,163.86M,2019-06,80.90M,-27.29M,-27.29M,147.87M,157.52M,3.304B,93.38M,276.47M,82.67M,0,230.46M,11.42M,2.407B,6.384B,160.75M,478.70M,276.47M,3.873B,5.905B,3.597B,70.48M,276.47M,169.30M
FRT,2019-03,-0.625M,43.00M,71.95M,0,0.78,0.78,148.77M,160.28M,2019-03,60.14M,-27.86M,-27.86M,148.77M,157.45M,3.304B,91.09M,253.96M,61.80M,0,232.23M,9.565M,2.388B,6.351B,160.75M,433.06M,253.96M,3.850B,5.918B,3.596B,69.19M,253.96M,168.21M
FRT,2018-12,-0.416M,64.09M,75.44M,0,0.71,0.71,0,159.93M,2018-12,54.51M,-27.75M,-27.75M,0,182.90M,3.229B,83.34M,274.00M,56.38M,0,235.38M,9.62M,2.346B,6.290B,160.74M,502.46M,274.00M,3.822B,5.787B,3.548B,76.60M,274.00M,172.67M
FRT,2018-09,0.127M,41.87M,71.00M,0,0.82,0.82,0,158.76M,2018-09,62.56M,-27.85M,-27.85M,0,173.95M,3.257B,90.34M,280.19M,64.18M,0,229.75M,7.638M,2.312B,6.286B,160.74M,515.78M,280.19M,3.852B,5.770B,3.572B,68.42M,280.19M,181.83M
