Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Receivables
WFC,2015-06,2.068B,280.35B,11.52B,1.04,1.03,43.42B,12.00B,2015-06,5.719B,890.57B,12.00B,179.75B,81.40B,8.549B,2.763B,21.09B,7.87B,189.56B,1.721T,30.78B,553.80B,164.36B,1.530T,1.425T,1.366T,7.87B,41.20B
WFC,2015-03,3.777B,277.40B,13.30B,1.06,1.04,42.80B,11.97B,2015-03,5.804B,860.96B,11.97B,183.29B,90.12B,8.163B,2.279B,20.91B,8.261B,188.80B,1.738T,31.13B,616.79B,167.82B,1.548T,1.376T,1.380T,8.261B,48.08B
WFC,2014-12,3.518B,277.01B,12.47B,1.04,1.02,44.10B,21.92B,2014-12,5.709B,858.18B,11.46B,183.94B,86.12B,8.311B,2.519B,21.07B,7.875B,184.39B,1.687T,28.35B,579.77B,149.64B,1.502T,1.362T,1.352T,7.875B,44.33B
WFC,2014-09,3.118B,266.28B,14.76B,1.04,1.02,45.69B,11.27B,2014-09,5.729B,844.00B,11.27B,184.59B,75.73B,8.597B,2.642B,20.50B,7.601B,182.48B,1.637T,28.52B,571.51B,138.65B,1.454T,1.309T,1.315T,7.601B,43.30B
WFC,2014-06,4.117B,269.60B,16.47B,1.02,1.01,45.87B,11.39B,2014-06,5.726B,834.76B,11.39B,167.88B,69.02B,8.655B,2.869B,20.62B,7.635B,180.86B,1.599T,27.88B,547.87B,130.87B,1.417T,1.296T,1.286T,7.635B,39.55B
WFC,2014-03,2.752B,272.40B,17.81B,1.07,1.05,47.22B,11.16B,2014-03,5.893B,817.23B,11.16B,153.42B,65.18B,8.352B,2.277B,19.80B,7.759B,175.65B,1.547T,26.32B,534.27B,122.24B,1.370T,1.261T,1.248T,7.759B,39.09B
WFC,2013-12,1.386B,271.93B,17.62B,1.02,1,48.20B,21.28B,2013-12,5.61B,812.31B,11.20B,153.00B,66.44B,8.217B,2.504B,20.01B,7.514B,170.14B,1.524T,25.40B,524.53B,120.32B,1.352T,1.247T,1.232T,7.514B,38.81B
WFC,2013-09,2.289B,278.33B,16.97B,1,0.99,47.48B,11.10B,2013-09,5.578B,811.08B,11.10B,151.21B,72.31B,8.301B,2.618B,19.98B,7.697B,167.16B,1.488T,24.68B,504.99B,126.16B,1.319T,1.238T,1.193T,7.697B,44.62B
WFC,2013-06,1.797B,267.38B,18.50B,1,0.98,47.51B,11.20B,2013-06,5.519B,813.04B,11.20B,123.38B,74.84B,8.471B,2.863B,21.18B,7.771B,162.42B,1.441T,23.12B,458.85B,131.83B,1.277T,1.228T,1.145T,7.771B,42.80B
WFC,2013-03,5.145B,264.38B,22.26B,0.93,0.92,45.77B,11.25B,2013-03,5.171B,817.75B,11.25B,126.19B,75.62B,7.64B,2.42B,21.15B,8.115B,162.09B,1.437T,23.55B,449.97B,136.32B,1.273T,1.231T,1.137T,8.115B,41.79B
WFC,2012-12,5.65B,257.06B,22.20B,0.92,0.91,45.60B,20.66B,2012-12,5.09B,817.35B,11.43B,127.38B,76.67B,7.221B,1.924B,21.23B,7.298B,157.55B,1.423T,22.02B,437.63B,133.84B,1.264T,1.216T,1.130T,7.298B,43.26B
WFC,2012-09,6.435B,16.99B,51.96B,0.89,0.88,37.74B,20.16B,2012-09,4.937B,815.88B,9.165B,130.80B,83.66B,7.51B,2.48B,21.05B,7.438B,154.68B,1.375T,21.39B,117.43B,135.62B,1.219T,1.257T,1.083T,7.438B,44.35B
WFC,2012-06,4.629B,16.81B,56.02B,0.83,0.82,38.62B,0,2012-06,4.622B,808.19B,9.317B,124.98B,76.83B,7.092B,2.371B,21.05B,7.441B,148.07B,1.336T,20.75B,91.45B,132.85B,1.187T,1.245T,1.054T,7.441B,0
WFC,2012-03,4.216B,17.00B,50.96B,0.76,0.75,39.79B,0,2012-03,4.248B,792.08B,9.291B,129.75B,75.97B,6.648B,2.328B,21.27B,7.983B,145.52B,1.334T,21.11B,91.14B,126.93B,1.187T,1.243T,1.060T,7.983B,0
WFC,2011-12,3.207B,242.05B,18.05B,0.74,0.73,48.08B,0,2011-12,4.107B,786.84B,11.36B,125.35B,77.66B,6.057B,1.874B,20.54B,7.283B,140.24B,1.314T,20.36B,330.77B,126.76B,1.172T,1.201T,1.045T,7.283B,0
WFC,2011-09,3.828B,18.31B,50.78B,0.73,0.72,38.81B,0,2011-09,4.055B,783.51B,9.607B,133.21B,86.28B,6.14B,1.998B,19.28B,6.918B,137.77B,1.305T,20.47B,108.12B,137.06B,1.166T,1.197T,1.029T,7.384B,0
WFC,2011-06,5.422B,24.06B,53.88B,0.7,0.7,40.98B,0,2011-06,3.948B,763.79B,9.613B,142.87B,71.43B,6.073B,2.001B,19.66B,7.234B,136.40B,1.260T,20.61B,112.46B,125.31B,1.122T,1.147T,996.51B,7.698B,0
