Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
K,2015-12,-1.376B,251.00M,2.18B,2.47B,-0.12,-0.12,7.236B,8.857B,962.00M,2015-12,1.25B,-41.00M,-59.00M,-59.00M,3.621B,685.00M,5.275B,-39.00M,2.721B,-111.00M,-68.00M,3.142B,1.001B,2.128B,15.25B,105.00M,3.236B,5.739B,13.11B,12.02B,7.374B,1.001B,1.949B,1.344B
K,2015-09,-1.322B,299.00M,2.096B,2.119B,0.58,0.58,7.269B,9.129B,1.233B,2015-09,1.21B,205.00M,-56.00M,-56.00M,3.594B,765.00M,5.83B,334.00M,2.427B,272.00M,66.00M,3.329B,899.00M,2.663B,15.52B,105.00M,3.353B,5.072B,12.84B,12.16B,7.773B,899.00M,1.635B,1.457B
K,2015-06,-1.281B,294.00M,2.257B,1.693B,0.63,0.63,7.244B,9.209B,1.241B,2015-06,1.211B,223.00M,-58.00M,-58.00M,3.624B,747.00M,5.80B,412.00M,2.321B,308.00M,85.00M,3.498B,829.00M,2.652B,14.96B,105.00M,3.326B,4.519B,12.29B,11.64B,7.769B,829.00M,1.606B,1.42B
K,2015-03,-1.291B,349.00M,2.311B,1.169B,0.64,0.64,7.275B,9.185B,1.245B,2015-03,1.199B,227.00M,-54.00M,-54.00M,3.719B,764.00M,6.561B,384.00M,2.288B,304.00M,76.00M,3.556B,861.00M,2.546B,15.21B,105.00M,3.441B,4.00B,12.56B,11.77B,8.556B,861.00M,1.609B,1.503B
K,2014-12,-1.213B,443.00M,2.658B,1.435B,-0.82,-0.82,7.266B,9.295B,856.00M,2014-12,1.279B,-293.00M,-53.00M,-53.00M,3.769B,726.00M,5.935B,-422.00M,2.333B,-479.00M,-187.00M,3.514B,1.278B,2.789B,15.15B,105.00M,3.34B,4.364B,12.30B,11.81B,7.938B,1.278B,1.567B,1.276B
K,2014-09,-1.016B,426.00M,2.347B,1.686B,0.63,0.62,7.348B,9.507B,1.292B,2014-09,1.208B,224.00M,-54.00M,-54.00M,3.79B,943.00M,5.963B,365.00M,2.312B,312.00M,86.00M,3.639B,927.00M,3.383B,15.77B,105.00M,3.572B,4.662B,12.33B,12.20B,7.665B,927.00M,1.522B,1.565B
K,2014-06,-928.00M,290.00M,2.274B,1.465B,0.82,0.82,7.416B,9.598B,1.411B,2014-06,1.303B,295.00M,-50.00M,-50.00M,3.879B,917.00M,6.029B,467.00M,2.275B,420.00M,122.00M,3.685B,944.00M,3.752B,15.81B,105.00M,3.491B,4.295B,12.00B,12.32B,7.705B,944.00M,1.501B,1.544B
K,2014-03,-939.00M,284.00M,2.238B,2.252B,1.13,1.12,7.418B,9.44B,1.504B,2014-03,1.277B,406.00M,-52.00M,-52.00M,3.851B,915.00M,5.413B,614.00M,2.226B,572.00M,165.00M,3.742B,890.00M,3.511B,15.73B,105.00M,3.504B,5.073B,12.16B,12.22B,7.083B,890.00M,1.49B,1.605B
K,2013-12,-936.00M,273.00M,1.718B,1.028B,2.26,2.24,7.418B,9.357B,1.783B,2013-12,1.248B,818.00M,-58.00M,-58.00M,3.856B,928.00M,6.33B,1.26B,2.304B,1.214B,394.00M,3.501B,523.00M,3.545B,15.47B,105.00M,3.267B,3.835B,11.87B,12.21B,8.032B,523.00M,1.501B,1.424B
K,2013-09,-963.00M,300.00M,2.266B,1.054B,0.9,0.9,7.416B,9.164B,1.45B,2013-09,1.312B,326.00M,-56.00M,-56.00M,3.777B,560.00M,6.348B,504.00M,2.243B,452.00M,124.00M,3.716B,946.00M,2.835B,15.22B,105.00M,3.434B,3.834B,12.32B,11.79B,8.49B,946.00M,1.474B,1.474B
