Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
DLR,2020-12,135.01M,108.50M,420.31M,0,0.16,0.16,11.50B,1.535B,642.30M,2020-12,57.69M,-80.60M,-80.60M,1.387B,698.31M,15.01B,179.55M,1.511B,62.83M,3.322M,1.063B,102.19M,17.72B,36.08B,953.73M,711.61M,1.511B,17.63B,35.36B,16.12B,462.74M,1.511B,603.11M
DLR,2020-09,-123.62M,971.30M,401.34M,0,-0.14,-0.14,11.17B,1.363B,623.33M,2020-09,-0.138M,-85.15M,-85.15M,1.363B,147.38M,14.32B,165.84M,2.188B,14.60M,16.05M,1.025B,91.35M,17.67B,35.44B,953.72M,1.557B,2.188B,17.04B,33.88B,14.85B,457.49M,2.188B,585.51M
DLR,2020-06,-358.35M,505.17M,381.09M,0,0.2,0.2,10.98B,1.375B,611.91M,2020-06,74.83M,-57.71M,-57.71M,1.375B,0,13.82B,168.43M,1.828B,87.47M,11.49M,993.00M,94.29M,16.98B,33.86B,1.437B,1.059B,1.829B,16.18B,32.80B,14.35B,443.48M,1.828B,542.75M
DLR,2020-03,-444.22M,246.48M,311.38M,0,0.91,0.9,11.03B,1.365B,511.96M,2020-03,224.01M,-89.34M,-89.34M,1.365B,0,13.68B,156.85M,1.732B,235.88M,7.182M,823.34M,63.54M,16.46B,33.11B,1.437B,774.18M,1.732B,15.94B,32.34B,14.20B,355.11M,1.732B,527.70M
DLR,2019-12,-87.92M,89.82M,299.76M,0,1.51,1.5,5.633B,680.38M,487.71M,2019-12,336.28M,-70.15M,-70.15M,628.68M,0,10.99B,156.04M,1.066B,347.60M,-1.731M,787.46M,54.67M,9.879B,23.07B,1.436B,625.25M,1.068B,12.46B,22.44B,11.39B,331.67M,1.066B,305.50M
DLR,2019-09,-68.62M,7.19M,300.79M,0,0.24,0.24,5.668B,671.78M,505.68M,2019-09,66.50M,-67.73M,-67.73M,634.08M,0,11.62B,168.88M,938.74M,72.40M,4.826M,806.47M,49.98M,9.437B,23.17B,1.102B,1.279B,962.27M,12.96B,21.89B,12.00B,336.80M,938.74M,304.71M
DLR,2019-06,-89.59M,33.54M,296.96M,0,0.15,0.15,5.948B,648.95M,503.84M,2019-06,60.17M,-69.07M,-69.07M,648.95M,0,11.56B,153.18M,984.81M,65.96M,4.634M,800.80M,52.98M,9.562B,23.43B,1.102B,354.47M,984.81M,12.96B,23.08B,11.97B,350.66M,984.81M,320.94M
DLR,2019-03,-91.70M,123.88M,295.26M,0,0.46,0.46,6.045B,660.59M,519.26M,2019-03,116.81M,-80.11M,-80.11M,660.59M,0,11.01B,149.39M,922.57M,125.26M,4.266M,814.52M,53.46M,10.09B,23.34B,1.455B,451.89M,922.57M,12.36B,22.89B,11.44B,369.87M,922.57M,328.01M
DLR,2018-12,-115.65M,126.70M,289.64M,0,0.15,0.15,7.612B,0,488.62M,2018-12,51.56M,-83.78M,-83.78M,0,0,11.10B,148.76M,1.382B,46.75M,-5.843M,778.27M,39.40M,9.859B,23.77B,1.252B,426.32M,1.382B,12.91B,23.34B,11.53B,339.86M,1.382B,299.62M
DLR,2018-09,-103.20M,46.24M,283.50M,0,0.33,0.33,6.243B,0,485.43M,2018-09,87.60M,-81.83M,-81.83M,0,0,9.180B,148.69M,1.059B,92.70M,2.432M,768.92M,41.64M,10.03B,21.46B,1.252B,363.02M,1.059B,10.70B,21.10B,9.639B,336.74M,1.059B,308.71M
DLR,2018-06,-107.07M,17.59M,260.21M,0,0.32,0.32,6.352B,0,494.71M,2018-06,85.46M,-75.41M,-75.41M,0,0,9.106B,149.67M,1.032B,90.28M,2.121M,754.92M,46.10M,10.14B,21.41B,1.252B,309.32M,1.032B,10.61B,21.10B,9.583B,345.04M,1.032B,282.29M
DLR,2018-03,-103.97M,22.37M,264.63M,0,0.42,0.42,6.499B,0,479.73M,2018-03,106.63M,-77.03M,-77.03M,0,0,9.148B,147.99M,1.012B,113.47M,3.374M,744.37M,36.52M,10.25B,21.58B,1.252B,380.74M,1.014B,10.65B,21.20B,9.631B,331.74M,1.012B,309.33M
DLR,2017-12,-108.43M,0.051M,272.83M,0,0.26,0.26,6.573B,0,458.62M,2017-12,73.64M,-73.66M,-73.66M,0,0,8.649B,132.88M,1.180B,80.20M,0.545M,731.44M,37.76M,10.35B,21.40B,1.252B,429.07M,1.185B,10.35B,20.98B,9.170B,325.74M,1.180B,276.35M
DLR,2017-09,-116.73M,192.58M,222.65M,0,-0.02,-0.02,6.615B,0,387.28M,2017-09,12.44M,-68.81M,-68.81M,0,0,8.484B,137.96M,1.024B,14.97M,2.494M,609.92M,46.36M,10.47B,21.23B,1.252B,601.64M,1.029B,10.06B,20.63B,9.030B,249.32M,1.024B,258.49M
DLR,2017-06,-110.71M,22.38M,202.88M,0,0.36,0.36,2.293B,0,363.11M,2017-06,78.65M,-57.22M,-57.22M,0,0,6.438B,144.89M,850.60M,82.21M,2.639M,565.99M,40.08M,4.997B,12.58B,838.38M,358.65M,853.55M,7.548B,12.22B,6.695B,218.22M,850.60M,229.45M
DLR,2017-03,-122.54M,14.95M,196.26M,0,0.42,0.41,2.280B,0,354.31M,2017-03,83.54M,-55.30M,-55.30M,0,0,6.201B,140.61M,804.37M,86.79M,2.223M,550.57M,37.24M,5.031B,12.33B,1.015B,276.96M,807.44M,7.259B,12.05B,6.452B,213.70M,804.37M,195.41M
DLR,2016-12,-135.60M,10.53M,196.36M,0,0.49,0.49,2.298B,0,380.42M,2016-12,95.08M,-57.20M,-57.20M,0,0,5.839B,160.08M,969.07M,98.44M,2.304M,576.79M,43.52M,5.096B,12.19B,1.015B,282.07M,971.67M,7.060B,11.91B,6.089B,220.34M,969.07M,203.94M
DLR,2016-09,-131.94M,36.44M,197.81M,0,1.27,1.25,2.331B,0,348.48M,2016-09,219.19M,-62.73M,-62.73M,0,0,6.025B,121.76M,823.90M,226.16M,3.72M,546.29M,48.60M,5.159B,12.30B,1.015B,312.14M,826.72M,7.102B,11.99B,6.276B,226.72M,823.90M,208.10M
DLR,2016-06,-129.66M,33.24M,187.00M,0,0.19,0.19,1.689B,0,327.94M,2016-06,50.38M,-63.23M,-63.23M,0,0,6.135B,115.91M,598.61M,53.20M,2.252M,514.93M,36.43M,4.290B,11.29B,1.292B,439.71M,611.70M,6.967B,10.85B,6.355B,212.02M,598.61M,165.87M
DLR,2016-03,-104.25M,31.13M,181.50M,0,0.27,0.27,1.729B,0,322.70M,2016-03,61.55M,-57.88M,-57.88M,0,0,6.157B,120.02M,570.65M,64.44M,2.109M,504.20M,33.67M,4.407B,11.42B,1.292B,376.28M,575.63M,6.977B,11.05B,6.401B,202.68M,570.65M,180.46M
DLR,2015-12,-96.59M,57.05M,183.72M,0,-0.28,-0.28,1.755B,0,316.73M,2015-12,-15.98M,-61.22M,-61.22M,0,0,5.899B,44.51M,735.27M,-16.17M,0.407M,500.44M,38.35M,4.500B,11.42B,1.292B,432.60M,741.06M,6.880B,10.98B,6.138B,272.22M,735.27M,177.40M
DLR,2015-09,-87.99M,23.00M,160.49M,0,0.28,0.28,436.44M,0,275.50M,2015-09,56.98M,-48.50M,-48.50M,0,0,4.749B,113.58M,513.56M,59.60M,1.754M,435.99M,24.90M,3.995B,9.501B,1.291B,366.95M,520.45M,5.465B,9.134B,4.945B,161.92M,513.56M,157.99M
DLR,2015-06,-67.32M,59.15M,150.44M,0,0.86,0.86,458.16M,0,269.86M,2015-06,135.51M,-46.34M,-46.34M,0,0,4.969B,110.57M,516.23M,140.61M,2.615M,420.30M,27.77M,3.848B,9.586B,1.049B,367.27M,523.67M,5.696B,9.219B,5.172B,159.28M,516.23M,126.73M
DLR,2015-03,-91.56M,37.33M,147.83M,0,0.75,0.75,469.67M,0,258.78M,2015-03,120.18M,-47.76M,-47.76M,0,0,4.818B,106.38M,523.95M,124.00M,1.675M,406.61M,23.35M,3.815B,9.408B,1.049B,243.92M,527.18M,5.551B,9.165B,5.023B,152.41M,523.95M,113.00M
DLR,2014-12,-45.05M,34.81M,150.61M,0,-0.39,-0.39,495.57M,0,261.61M,2014-12,-33.84M,-45.76M,-45.76M,0,0,4.673B,104.14M,720.94M,-33.59M,1.201M,412.22M,23.66M,3.878B,9.527B,1.049B,309.28M,726.71M,5.613B,9.218B,4.886B,157.47M,720.94M,135.93M
