Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
EQR,2014-12,-172.15M,40.08M,211.39M,333.00M,0.6,0.59,0,0,453.27M,2014-12,0,217.74M,-111.52M,-111.52M,0,10.51B,250.80M,431.70M,227.21M,0.248M,664.66M,9.383M,10.37B,22.95B,53.63M,160.47M,764.70M,12.24B,22.79B,11.48B,202.47M,342.16M,0
EQR,2014-09,-164.81M,31.48M,220.37M,446.00M,0.61,0.61,0,0,443.71M,2014-09,0,221.74M,-120.30M,-120.30M,0,10.51B,243.27M,477.81M,231.51M,0.26M,664.08M,9.968M,10.38B,23.01B,53.62M,162.42M,923.81M,12.29B,22.85B,11.37B,200.44M,391.34M,0
EQR,2014-06,-166.99M,76.13M,220.37M,0,0.31,0.31,0,0,432.20M,2014-06,0,112.69M,-117.03M,-117.03M,0,11.08B,228.31M,434.52M,117.86M,0.646M,652.57M,13.75M,10.29B,22.99B,53.62M,205.81M,434.52M,12.36B,22.79B,11.93B,203.89M,356.13M,0
EQR,2014-03,-162.89M,37.21M,231.44M,298.00M,0.22,0.22,0,0,402.00M,2014-03,0,79.14M,-115.24M,-115.24M,0,10.65B,199.26M,427.74M,81.92M,0.24M,633.44M,17.58M,10.38B,22.89B,53.61M,172.28M,725.74M,12.17B,22.72B,11.44B,202.74M,349.60M,0
EQR,2013-12,-155.16M,53.53M,217.53M,115.00M,0.31,0.3,0,0,421.60M,2013-12,0,110.98M,-152.45M,-152.45M,0,10.65B,223.70M,440.61M,68.98M,-0.156M,639.13M,15.16M,10.51B,22.83B,53.60M,199.74M,555.61M,11.99B,22.63B,11.43B,197.90M,362.30M,0
EQR,2013-09,-169.39M,972.76M,215.09M,0,1.05,1.05,0,0,411.54M,2013-09,0,377.19M,-123.36M,-123.36M,0,11.71B,120.40M,402.13M,-12.97M,0.492M,626.63M,14.44M,10.60B,23.81B,53.60M,1.113B,402.13M,12.89B,22.70B,12.49B,291.14M,316.78M,0
EQR,2013-06,-166.84M,152.56M,213.85M,0,0.9,0.9,0,21.15B,403.37M,2013-06,0,324.76M,-126.87M,-126.87M,16.27B,11.72B,63.98M,321.53M,-58.08M,0.428M,617.22M,16.08M,10.32B,23.48B,53.60M,391.19M,321.53M,12.84B,23.09B,12.52B,339.39M,235.45M,0
EQR,2013-03,-182.51M,56.09M,187.76M,395.00M,3.01,3.01,0,21.02B,316.96M,2013-03,0,1.018B,-201.10M,-201.10M,16.25B,11.76B,104.25M,344.10M,-164.93M,0.405M,504.72M,16.50M,10.12B,23.80B,53.60M,243.14M,739.10M,13.36B,23.55B,12.62B,212.72M,255.59M,0
EQR,2012-12,-193.15M,612.59M,150.50M,0,1.18,1.17,0,20.54B,294.24M,2012-12,0,367.02M,-40.24M,-40.24M,15.88B,8.529B,145.65M,374.77M,98.11M,-0.088M,444.74M,10.07M,7.290B,17.20B,53.25M,872.16M,374.77M,9.674B,16.33B,9.299B,148.59M,298.55M,0
EQR,2012-09,-197.75M,56.08M,159.35M,7.00M,0.73,0.72,0,19.54B,292.35M,2012-09,0,226.14M,-46.46M,-46.46M,15.13B,9.302B,142.93M,292.52M,92.40M,0.222M,451.70M,10.08M,5.991B,16.67B,53.03M,176.52M,299.52M,10.04B,16.49B,9.741B,149.42M,213.65M,0
EQR,2012-06,-198.08M,53.72M,160.96M,35.00M,0.33,0.33,0,19.54B,287.39M,2012-06,0,103.26M,-118.39M,-118.39M,15.23B,9.359B,128.56M,264.80M,0.687M,0.213M,448.35M,13.39M,5.885B,16.71B,203.01M,247.62M,299.80M,10.16B,16.47B,9.858B,158.83M,182.11M,0
EQR,2012-03,-189.97M,219.63M,170.04M,0,0.47,0.47,0,19.70B,276.41M,2012-03,0,145.30M,-120.78M,-120.78M,15.27B,9.413B,114.48M,265.59M,-13.26M,0.17M,446.45M,13.69M,5.822B,16.48B,203.00M,413.24M,265.59M,10.01B,16.07B,9.739B,161.93M,186.10M,0
EQR,2011-12,-196.72M,383.92M,40.74M,0,0.33,0.33,0,0,60.66M,2011-12,0,102.48M,-124.47M,-124.47M,0,9.721B,10.76M,302.41M,-102.41M,0.037M,101.40M,11.14M,5.669B,16.66B,202.98M,546.85M,302.41M,10.80B,16.11B,10.49B,49.90M,214.28M,0
EQR,2011-09,-185.03M,56.66M,179.25M,26.00M,0.35,0.35,0,0,314.63M,2011-09,0,107.85M,-107.14M,-107.14M,0,8.751B,144.81M,274.41M,30.50M,0.283M,493.87M,10.12M,5.736B,15.76B,202.97M,426.12M,300.41M,9.523B,15.33B,9.223B,169.81M,204.52M,0
EQR,2011-06,-80.55M,604.76M,175.15M,0,1.88,1.85,0,0,305.22M,2011-06,0,555.92M,-119.72M,-119.72M,0,9.449B,139.86M,268.27M,11.11M,0.202M,480.37M,10.91M,5.750B,16.40B,202.96M,966.60M,268.27M,10.08B,15.43B,9.816B,165.36M,175.68M,0
EQR,2011-03,-50.63M,306.07M,180.52M,0,0.42,0.42,0,0,285.84M,2011-03,0,127.33M,-119.52M,-119.52M,0,9.677B,115.95M,258.38M,-8.729M,0.184M,466.36M,11.43M,5.279B,16.08B,202.94M,306.07M,258.38M,10.26B,15.77B,9.998B,169.89M,186.40M,0
