Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
EXPE,2020-12,0,3.387B,287.00M,750.00M,3.279B,-2.89,-2.89,8.895B,6.12B,633.00M,2020-12,-383.00M,-100.00M,-100.00M,2.831B,67.00M,8.729B,-437.00M,2.127B,-495.00M,-104.00M,223.00M,920.00M,635.00M,2.532B,18.69B,1.022B,5.634B,5.406B,14.66B,13.06B,9.258B,1.07B,1.148B,821.00M
EXPE,2020-09,0,4.376B,375.00M,750.00M,3.424B,-1.56,-1.56,8.88B,2.901B,1.129B,2020-09,-192.00M,-110.00M,-110.00M,2.901B,105.00M,9.348B,22.00M,2.212B,-224.00M,-24.00M,224.00M,1.504B,663.00M,1.632B,19.68B,0,6.735B,5.636B,16.57B,12.94B,10.93B,1.107B,1.136B,949.00M
EXPE,2020-06,0,5.475B,389.00M,749.00M,4.829B,-5.34,-5.34,8.93B,2.931B,177.00M,2020-06,-736.00M,-92.00M,-92.00M,2.931B,74.00M,9.346B,-758.00M,2.293B,-953.00M,-213.00M,255.00M,566.00M,448.00M,1.734B,21.90B,0,8.944B,7.872B,18.70B,12.96B,10.83B,935.00M,1.127B,1.109B
EXPE,2020-03,0,4.099B,629.00M,749.00M,6.126B,-9.24,-9.24,8.972B,2.925B,1.58B,2020-03,-1.301B,-40.00M,-40.00M,2.925B,58.00M,6.627B,-354.00M,2.732B,-1.479B,-82.00M,308.00M,2.209B,1.397B,2.27B,20.42B,0,7.652B,9.608B,16.68B,12.76B,7.068B,1.934B,1.754B,1.497B
EXPE,2019-12,0,3.841B,539.00M,0,6.00B,0.52,0.52,9.931B,5.642B,2.208B,2019-12,76.00M,-39.00M,-39.00M,2.809B,56.00M,4.721B,177.00M,3.965B,120.00M,42.00M,321.00M,2.747B,1.484B,3.967B,21.42B,0,7.735B,10.71B,15.88B,13.68B,5.166B,2.031B,2.915B,2.594B
EXPE,2019-09,0,4.455B,548.00M,0,6.023B,2.77,2.71,9.947B,2.585B,3.01B,2019-09,409.00M,-23.00M,-23.00M,2.585B,60.00M,4.613B,622.00M,3.81B,561.00M,154.00M,304.00M,3.558B,1.856B,4.184B,21.38B,0,7.969B,10.58B,15.64B,13.41B,5.06B,2.388B,2.878B,2.746B
EXPE,2019-06,0,4.889B,500.00M,0,7.575B,1.23,1.21,10.00B,2.477B,2.653B,2019-06,183.00M,-22.00M,-22.00M,2.477B,65.00M,4.181B,273.00M,4.101B,235.00M,48.00M,304.00M,3.153B,1.848B,4.342B,22.20B,0,8.824B,11.68B,16.29B,13.38B,4.618B,2.38B,3.151B,3.021B
EXPE,2019-03,0,4.174B,490.00M,0,7.145B,-0.69,-0.69,10.04B,2.365B,2.119B,2019-03,-103.00M,-30.00M,-30.00M,2.365B,66.00M,4.176B,-111.00M,3.581B,-141.00M,-41.00M,297.00M,2.609B,1.705B,4.083B,20.96B,0,7.702B,10.73B,15.33B,13.26B,4.603B,2.23B,2.794B,2.763B
EXPE,2018-12,0,2.471B,375.00M,0,4.691B,0.11,0.11,10.11B,4.429B,2.184B,2018-12,17.00M,-31.00M,-31.00M,1.877B,69.00M,3.717B,178.00M,3.369B,56.00M,31.00M,-78.00M,2.559B,1.34B,4.104B,18.03B,0,5.197B,8.06B,12.38B,12.84B,4.322B,2.006B,2.561B,2.175B
EXPE,2018-09,0,3.378B,504.00M,0,5.141B,3.51,3.43,10.26B,0,2.772B,2018-09,525.00M,-13.00M,-13.00M,1.769B,250.00M,3.727B,594.00M,3.622B,612.00M,81.00M,404.00M,3.276B,1.703B,4.386B,19.14B,0,6.172B,8.763B,13.21B,12.97B,4.451B,2.178B,2.927B,2.33B
EXPE,2018-06,0,4.563B,498.00M,500.00M,6.566B,0.01,0.01,10.30B,3.631B,2.382B,2018-06,1.00M,-35.00M,-35.00M,1.689B,314.00M,3.731B,173.00M,3.431B,-14.00M,-5.00M,400.00M,2.88B,1.737B,3.967B,20.55B,0,7.794B,10.50B,15.00B,12.76B,4.505B,2.209B,2.739B,2.534B
EXPE,2018-03,0,4.454B,487.00M,500.00M,6.335B,-0.91,-0.91,10.49B,2.971B,2.021B,2018-03,-137.00M,-40.00M,-40.00M,1.627B,405.00M,3.771B,-162.00M,3.156B,-169.00M,-20.00M,396.00M,2.508B,1.715B,4.195B,20.43B,0,7.431B,9.991B,14.62B,13.00B,4.63B,2.183B,2.559B,2.429B
EXPE,2017-12,0,3.315B,437.00M,500.00M,3.545B,0.36,0.35,10.54B,0,1.882B,2017-12,55.00M,-43.00M,-43.00M,1.575B,329.00M,3.749B,117.00M,3.834B,76.00M,23.00M,372.00M,2.319B,1.322B,4.523B,18.52B,0,5.54B,7.879B,12.39B,12.98B,4.508B,1.765B,2.569B,1.887B
EXPE,2017-09,0,3.780B,459.00M,500.00M,3.959B,2.32,2.23,10.60B,0,2.507B,2017-09,352.00M,-35.00M,-35.00M,1.522B,393.35M,3.736B,484.00M,3.814B,415.00M,66.00M,350.00M,2.966B,1.602B,4.603B,19.04B,0.024M,5.984B,8.273B,12.82B,13.05B,4.547B,2.023B,2.633B,1.871B
EXPE,2017-06,0,3.781B,439.00M,0,5.049B,0.37,0.36,10.55B,0,2.147B,2017-06,57.00M,-33.00M,-33.00M,1.479B,466.24M,3.221B,116.00M,3.695B,57.00M,3.00M,343.00M,2.586B,1.622B,4.226B,18.62B,0.024M,6.027B,8.745B,12.80B,12.60B,4.057B,2.031B,2.534B,1.955B
EXPE,2017-03,0,3.355B,422.00M,0,4.795B,-0.57,-0.57,10.37B,0,1.767B,2017-03,-86.00M,-37.00M,-37.00M,1.422B,496.20M,3.171B,-50.00M,3.224B,-131.00M,-47.00M,322.00M,2.189B,1.428B,4.089B,17.67B,0.024M,5.328B,8.020B,12.01B,12.34B,3.990B,1.817B,2.189B,1.707B
EXPE,2016-12,0,1.869B,371.14M,0,2.900B,0.53,0.51,10.39B,0,1.722B,2016-12,79.61M,-37.08M,-37.08M,1.395B,484.97M,3.159B,188.42M,3.227B,115.53M,30.93M,324.08M,2.093B,1.142B,4.132B,15.78B,0.023M,3.450B,6.127B,10.08B,12.33B,3.957B,1.534B,2.136B,1.363B
EXPE,2016-09,0,1.890B,416.91M,0,3.380B,1.86,1.81,10.60B,0,2.164B,2016-09,279.33M,-37.55M,-37.55M,1.340B,417.89M,3.204B,417.26M,3.240B,339.56M,60.63M,301.45M,2.581B,1.370B,3.886B,16.13B,0.023M,3.620B,6.619B,12.18B,12.51B,5.560B,1.747B,2.203B,1.426B
EXPE,2016-06,0,2.335B,406.38M,0,4.202B,0.21,0.21,10.67B,0,1.789B,2016-06,31.65M,-37.98M,-37.98M,1.235B,512.09M,3.197B,39.84M,3.245B,-12.20M,-18.20M,317.92M,2.196B,1.348B,4.202B,16.73B,0.023M,4.164B,7.447B,12.46B,12.56B,5.015B,1.750B,2.180B,1.590B
EXPE,2016-03,0,2.092B,402.57M,0,3.910B,-0.72,-0.72,10.77B,0,1.501B,2016-03,-108.59M,-40.39M,-40.39M,1.174B,526.41M,3.209B,-65.52M,3.048B,-165.89M,-57.35M,291.55M,1.904B,1.185B,4.632B,16.39B,0.023M,3.796B,6.958B,11.69B,12.59B,4.735B,1.567B,2.059B,1.481B
EXPE,2015-12,0,1.710B,338.49M,0,2.573B,-0.09,-0.09,10.79B,2.266B,1.360B,2015-12,-12.54M,-34.14M,-34.14M,1.064B,473.84M,3.183B,61.48M,3.353B,-5.933M,6.953M,250.57M,1.699B,974.89M,4.864B,15.49B,0.023M,2.976B,5.926B,10.56B,12.51B,4.630B,1.299B,1.883B,1.096B
EXPE,2015-09,0,1.491B,328.07M,0,2.878B,2.18,2.12,7.524B,1.564B,1.610B,2015-09,283.22M,-29.09M,-29.09M,966.56M,628.02M,2.475B,302.13M,3.064B,342.19M,65.95M,202.70M,1.938B,1.073B,2.441B,12.40B,0.021M,3.173B,5.941B,9.897B,9.230B,3.956B,1.308B,2.123B,1.275B
EXPE,2015-06,0,3.383B,321.08M,0,3.272B,3.49,3.38,5.453B,1.262B,1.342B,2015-06,449.64M,-23.82M,-23.82M,867.14M,437.96M,2.473B,101.25M,2.696B,558.06M,131.22M,186.52M,1.663B,1.027B,2.111B,11.83B,0.021M,4.990B,5.968B,9.657B,6.842B,3.689B,1.240B,1.956B,1.197B
EXPE,2015-03,0,2.030B,321.92M,0,2.981B,0.35,0.34,5.528B,0,1.051B,2015-03,44.14M,-22.45M,-22.45M,580.96M,446.34M,1.747B,-43.80M,2.401B,31.65M,-0.91M,190.46M,1.373B,879.78M,1.664B,10.14B,0.021M,3.486B,5.383B,8.306B,6.649B,2.923B,1.095B,1.727B,1.050B
EXPE,2014-12,0,1.758B,284.25M,0,1.823B,0.52,0.5,5.246B,0,1.072B,2014-12,65.97M,-21.87M,-21.87M,553.13M,452.96M,1.747B,125.87M,2.363B,88.00M,31.72M,181.35M,1.356B,743.00M,1.784B,9.021B,0.021M,2.924B,4.187B,7.127B,6.096B,2.940B,945.85M,1.610B,795.50M
EXPE,2014-09,0,2.649B,299.71M,0,2.143B,2.01,1.94,4.747B,0,1.413B,2014-09,257.06M,-17.48M,-17.48M,525.05M,446.92M,1.747B,300.72M,2.399B,289.52M,38.90M,172.75M,1.713B,920.80M,1.885B,9.425B,0.021M,3.837B,4.542B,7.423B,5.588B,2.881B,1.112B,1.729B,906.98M
EXPE,2014-06,0,2.372B,300.50M,0,2.605B,0.69,0.67,4.784B,0,1.194B,2014-06,89.37M,-15.44M,-15.44M,509.79M,465.28M,1.249B,160.64M,2.253B,106.60M,20.75M,169.08M,1.495B,846.16M,1.876B,9.235B,0.02M,3.641B,4.858B,7.244B,5.594B,2.386B,1.033B,1.655B,1.003B
EXPE,2014-03,0,2.171B,294.62M,0,2.472B,-0.11,-0.11,4.814B,0,905.75M,2014-03,-14.30M,-16.01M,-16.01M,490.58M,440.22M,1.249B,0.541M,1.978B,-19.48M,0.319M,162.98M,1.200B,723.74M,1.995B,8.888B,0.02M,3.315B,4.449B,6.782B,5.573B,2.333B,905.21M,1.467B,928.83M
EXPE,2013-12,0,1.347B,248.53M,0,1.390B,0.72,0.7,4.775B,0,903.49M,2013-12,94.72M,-17.07M,-17.07M,480.70M,433.53M,1.249B,141.95M,1.904B,120.46M,26.47M,155.04M,1.152B,584.69M,2.145B,7.739B,0.02M,2.219B,3.294B,5.480B,5.520B,2.186B,761.54M,1.367B,679.03M
EXPE,2013-09,0,1.812B,276.32M,0,1.695B,1.25,1.22,4.788B,0,1.126B,2013-09,170.86M,-15.32M,-15.32M,464.77M,435.72M,1.249B,245.56M,2.027B,212.08M,45.36M,143.82M,1.402B,717.65M,2.196B,8.202B,0.02M,2.706B,3.721B,5.896B,5.496B,2.175B,879.98M,1.545B,695.14M
EXPE,2013-06,-12.58M,2.270B,262.61M,0,2.093B,0.52,0.51,4.789B,1.065B,942.41M,2013-06,71.50M,-14.35M,-14.35M,440.73M,460.85M,1.249B,100.53M,2.118B,87.42M,24.41M,140.68M,1.205B,682.36M,2.228B,8.744B,0.02M,3.264B,4.211B,6.406B,5.480B,2.195B,841.88M,1.667B,684.88M
EXPE,2013-03,-26.76M,2.089B,250.58M,0,1.942B,-0.77,-0.77,4.806B,872.52M,761.79M,2013-03,-104.23M,-15.83M,-15.83M,419.24M,439.76M,1.249B,22.40M,2.042B,-119.27M,-11.90M,138.28M,1.012B,588.53M,2.159B,8.432B,0.02M,2.981B,3.984B,6.162B,5.452B,2.178B,739.38M,1.469B,627.79M
EXPE,2012-12,-3.008M,1.938B,225.13M,0,1.155B,0.05,0.05,3.837B,0,749.73M,2012-12,6.734M,-16.48M,-16.48M,409.37M,343.55M,1.249B,113.15M,1.855B,-15.97M,-23.07M,134.34M,974.86M,492.05M,2.280B,7.133B,0.02M,2.642B,3.010B,4.743B,4.490B,1.733B,636.58M,1.299B,489.30M
