Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Receivables,,,,,,,,,2012-06,2012-03,2011-12,2011-09,2011-06
PNC,2021-03,1.29B,190.42B,0,4.11,4.1,11.00B,2021-03,1.816B,227.88B,0,33.03B,11.93B,2.197B,371.00M,4.22B,1.522B,53.85B,474.41B,2.713B,196.80B,11.93B,420.54B,374.41B,408.60B,1.522B,6.389B,,,,,,,,,402.00M,281.00M,-105.00M,397.00M,69.00M
PNC,2020-12,2.77B,94.26B,0,3.26,3.26,10.48B,2020-12,5.997B,231.75B,0,37.20B,9.514B,1.754B,298.00M,4.296B,1.585B,54.01B,466.68B,2.713B,100.68B,9.514B,412.64B,368.08B,403.12B,1.585B,6.414B,,,,,,,,,8.131B,6.246B,53.84B,6.755B,8.373B
PNC,2020-09,2.997B,167.35B,0,3.4,3.39,10.35B,2020-09,1.519B,238.84B,0,42.11B,10.63B,1.698B,166.00M,4.233B,1.477B,53.28B,461.82B,2.712B,173.83B,10.63B,408.51B,377.75B,397.88B,1.477B,6.479B,,,,,,,,,4.271B,,,,
PNC,2020-06,3.069B,153.64B,0,8.4,8.4,10.30B,2020-06,3.648B,246.65B,0,47.03B,12.34B,-902.00M,-158.00M,4.045B,1.42B,52.92B,458.98B,2.712B,160.74B,12.34B,406.03B,395.31B,393.68B,1.42B,7.097B,,,,,,,,,1,1.45,0.86,1.57,1.69
PNC,2020-03,2.518B,116.59B,0,1.96,1.95,10.32B,2020-03,908.00M,255.33B,0,73.40B,17.15B,1.06B,145.00M,4.517B,1.427B,49.26B,445.49B,2.712B,123.65B,17.15B,396.20B,410.95B,379.05B,1.427B,7.061B,,,,,,,,,0.98,1.44,0.85,1.55,1.67
PNC,2019-12,799.00M,97.64B,0,2.98,2.97,10.88B,2019-12,1.956B,231.03B,0,60.26B,11.83B,1.338B,195.00M,4.321B,1.545B,49.31B,410.30B,2.712B,104.79B,11.83B,360.95B,366.11B,349.12B,1.545B,7.155B,,,,,,,,,10.96B,11.19B,10.14B,10.16B,10.59B
PNC,2019-09,837.00M,93.80B,0,2.95,2.94,10.72B,2019-09,1.168B,229.22B,0,61.35B,12.22B,1.436B,255.00M,4.242B,1.476B,49.42B,408.92B,2.711B,101.09B,12.22B,359.46B,376.92B,347.24B,1.476B,7.29B,,,,,,,,,2012-06,2012-03,2011-12,2011-09,2011-06
PNC,2019-06,631.00M,93.16B,0,2.89,2.88,10.85B,2019-06,1.362B,228.23B,0,69.02B,13.80B,1.424B,239.00M,4.215B,1.448B,49.34B,405.76B,2.711B,100.57B,13.80B,356.38B,374.57B,342.58B,1.448B,7.409B,,,,,,,,,551.00M,805.00M,476.00M,830.00M,913.00M
PNC,2019-03,-5.00M,85.41B,0,2.62,2.61,11.03B,2019-03,1.261B,222.94B,0,59.86B,12.90B,1.519B,248.00M,4.286B,1.479B,48.54B,392.84B,2.711B,92.76B,12.90B,344.26B,365.17B,331.36B,1.479B,7.348B,,,,,,,,,179.60B,174.47B,151.19B,152.53B,148.37B
PNC,2018-12,-725.00M,79.89B,0,2.77,2.75,11.20B,2018-12,1.337B,217.30B,0,57.42B,9.002B,673.00M,110.00M,3.398B,1.432B,47.73B,382.32B,2.711B,87.20B,9.002B,334.54B,358.51B,325.54B,1.432B,7.308B,,,,,,,,,,,,,
PNC,2018-09,-1.26B,86.36B,0,2.84,2.82,11.35B,2018-09,1.389B,214.36B,0,57.96B,9.851B,1.661B,261.00M,4.357B,1.484B,47.06B,380.08B,2.71B,93.57B,9.851B,332.98B,347.82B,323.13B,1.484B,7.214B,,,,,,,,,39.52B,37.71B,29.45B,26.57B,31.36B
PNC,2018-06,-940.00M,87.79B,0,2.74,2.72,11.26B,2018-06,1.346B,214.28B,0,59.22B,9.34B,1.66B,304.00M,4.324B,1.431B,46.90B,380.71B,2.71B,95.12B,9.34B,333.74B,345.99B,324.40B,1.431B,7.323B,,,,,,,,,3.428B,3.607B,4.175B,3.587B,3.502B
