Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
KIM,2020-12,0,1.000B,91.62M,0,0.46,0.45,102.37M,177.83M,2020-12,201.23M,-45.89M,-45.89M,102.37M,5.452B,82.63M,151.82M,188.25M,0.496M,269.44M,20.90M,5.608B,11.61B,4.345M,1.219B,151.82M,5.944B,10.40B,5.792B,95.20M,151.82M,219.25M
KIM,2020-09,0,881.77M,86.01M,0,-0.1,-0.1,94.81M,173.78M,2020-09,-38.39M,-46.94M,-46.94M,94.81M,5.446B,73.28M,5.366M,-59.43M,0.388M,259.79M,28.80M,5.475B,11.52B,4.345M,1.122B,5.366M,5.987B,10.40B,5.981B,100.50M,5.366M,239.86M
KIM,2020-06,0,835.24M,80.44M,0,1.71,1.71,96.44M,158.47M,2020-06,747.89M,-48.02M,-48.02M,96.44M,5.441B,62.41M,5.366M,733.23M,0.051M,238.92M,22.50M,5.557B,11.56B,4.345M,1.085B,5.366M,5.942B,10.47B,5.936B,96.06M,5.366M,250.15M
KIM,2020-03,0,451.80M,84.90M,0,0.19,0.19,97.79M,204.85M,2020-03,90.10M,-46.06M,-46.06M,97.79M,5.800B,114.44M,126.47M,65.83M,0.043M,289.74M,21.02M,4.810B,11.31B,4.345M,672.01M,126.47M,6.433B,10.63B,6.306B,90.41M,126.47M,220.22M
KIM,2019-12,0,133.30M,90.76M,0,0.22,0.22,99.12M,205.37M,2019-12,109.42M,-45.76M,-45.76M,99.12M,5.408B,112.29M,296.36M,93.79M,0.263M,296.13M,24.65M,4.865B,11.00B,4.338M,351.99M,296.36M,6.069B,10.65B,5.773B,93.08M,296.36M,218.69M
KIM,2019-09,0,141.31M,80.11M,0,0.14,0.14,98.21M,202.76M,2019-09,83.99M,-43.15M,-43.15M,98.21M,5.404B,110.05M,126.20M,60.65M,-3.866M,282.87M,23.83M,4.902B,11.09B,4.251M,332.75M,126.20M,6.111B,10.75B,5.984B,92.71M,126.20M,191.44M
KIM,2019-06,0,113.99M,83.15M,0,0.2,0.2,100.00M,201.73M,2019-06,101.03M,-44.10M,-44.10M,100.00M,4.999B,110.09M,130.46M,65.24M,-0.344M,284.87M,22.63M,5.294B,11.04B,4.264M,296.36M,130.46M,5.673B,10.74B,5.543B,91.64M,130.46M,182.37M
KIM,2019-03,0,143.67M,82.94M,0,0.24,0.24,104.18M,212.08M,2019-03,116.17M,-44.40M,-44.40M,104.18M,4.966B,114.68M,130.44M,92.33M,0.63M,295.01M,25.83M,5.320B,11.07B,4.263M,327.32M,130.44M,5.673B,10.74B,5.543B,97.39M,130.44M,183.65M
KIM,2018-12,0,143.58M,80.81M,0,0.17,0.17,0,203.40M,2018-12,88.16M,-42.88M,-42.88M,0,4.874B,107.42M,305.16M,66.94M,2.583M,284.20M,20.02M,5.334B,11.00B,4.257M,328.11M,305.16M,5.588B,10.67B,5.283B,95.97M,305.16M,184.53M
KIM,2018-09,0,158.41M,79.83M,0,0.19,0.19,0,203.25M,2018-09,100.16M,-44.08M,-44.08M,0,4.887B,105.54M,130.26M,78.83M,-0.315M,283.08M,21.35M,5.378B,11.11B,4.257M,371.07M,130.26M,5.653B,10.74B,5.523B,97.71M,130.26M,212.66M
KIM,2018-06,0.072M,318.71M,81.34M,0,0.36,0.36,0,212.06M,2018-06,165.39M,-46.43M,-46.43M,0,5.069B,107.22M,130.26M,136.43M,-0.72M,293.40M,24.03M,5.411B,11.29B,4.257M,530.29M,130.26M,5.803B,10.76B,5.673B,104.84M,130.26M,211.58M
KIM,2018-03,-0.066M,229.94M,86.58M,0,0.3,0.3,0,217.50M,2018-03,144.09M,-49.94M,-49.94M,0,5.097B,111.58M,132.21M,117.14M,0.052M,304.08M,22.40M,5.425B,11.37B,4.292M,435.85M,132.21M,5.870B,10.94B,5.738B,105.91M,132.21M,205.91M
KIM,2017-12,-1.48M,251.78M,88.66M,0,0.17,0.17,0,226.56M,2017-12,84.90M,-52.13M,-52.13M,0,5.479B,112.14M,314.59M,119.24M,1.344M,315.22M,27.97M,5.394B,11.76B,4.297M,463.37M,314.59M,6.242B,11.30B,5.927B,114.42M,314.59M,211.60M
KIM,2017-09,-1.727M,170.63M,81.39M,0,0.24,0.24,0,213.46M,2017-09,121.03M,-47.26M,-47.26M,0,5.551B,102.79M,123.27M,51.94M,-0.697M,294.84M,21.52M,5.213B,11.70B,4.288M,375.18M,123.27M,6.294B,11.33B,6.171B,110.67M,123.27M,204.55M
KIM,2017-06,6.073M,157.59M,84.22M,0,0.31,0.31,0,212.96M,2017-06,143.42M,-46.09M,-46.09M,0,5.390B,95.63M,124.68M,21.26M,-1.034M,297.18M,19.96M,5.231B,11.56B,4.288M,356.99M,124.68M,6.133B,11.20B,6.008B,117.33M,124.68M,199.40M
KIM,2017-03,6.485M,175.16M,83.63M,0,0.15,0.15,0,209.96M,2017-03,76.73M,-46.48M,-46.48M,0,5.125B,94.25M,124.68M,47.43M,-0.493M,293.59M,22.23M,5.211B,11.25B,4.288M,373.80M,124.68M,5.889B,10.87B,5.764B,115.71M,124.68M,198.64M
KIM,2016-12,5.766M,150.59M,112.42M,0,0.16,0.16,0,184.61M,2016-12,78.27M,-43.07M,-43.07M,0,5.066B,96.96M,270.27M,123.82M,5.291M,297.03M,-3.044M,5.256B,11.23B,4.282M,355.61M,270.27M,5.828B,10.87B,5.557B,87.65M,270.27M,205.02M
KIM,2016-09,6.145M,178.69M,73.02M,0,-0.13,-0.13,0,212.06M,2016-09,-43.54M,-46.55M,-46.55M,0,5.000B,86.15M,118.14M,-11.79M,61.43M,285.08M,27.98M,5.301B,11.21B,4.282M,373.70M,118.14M,5.774B,10.83B,5.656B,125.90M,118.14M,195.01M
KIM,2016-06,7.15M,344.82M,71.74M,0,0.46,0.46,0,219.75M,2016-06,203.41M,-50.48M,-50.48M,0,5.189B,105.88M,116.86M,2.176M,-0.246M,291.49M,29.93M,5.314B,11.39B,4.232M,541.34M,116.86M,5.948B,10.85B,5.831B,113.87M,116.86M,196.52M
KIM,2016-03,7.496M,227.72M,71.84M,0,0.31,0.31,0,225.36M,2016-03,140.71M,-52.45M,-52.45M,0,5.162B,105.10M,116.63M,46.64M,12.11M,297.20M,31.93M,5.183B,11.25B,4.215M,425.72M,116.63M,5.932B,10.82B,5.815B,120.26M,116.63M,198.00M
KIM,2015-12,5.588M,197.10M,80.73M,0,0.87,0.87,0,220.14M,2015-12,379.28M,-57.60M,-57.60M,0,5.376B,99.88M,265.24M,29.88M,48.30M,300.87M,33.41M,5.046B,11.34B,4.166M,396.18M,265.24M,6.162B,10.95B,5.897B,120.26M,265.24M,199.08M
KIM,2015-09,-14.74M,193.10M,74.40M,0,0.15,0.15,0,213.98M,2015-09,77.57M,-47.89M,-47.89M,0,5.499B,81.04M,111.48M,27.71M,2.844M,288.38M,27.31M,4.928B,11.41B,4.234M,392.07M,111.48M,6.324B,11.02B,6.213B,132.94M,111.48M,198.96M
KIM,2015-06,-1.906M,170.08M,75.82M,0,0.27,0.27,0,218.24M,2015-06,127.00M,-23.11M,-23.11M,0,5.538B,107.67M,111.46M,69.57M,-3.628M,294.06M,29.31M,4.974B,11.47B,4.233M,370.84M,111.46M,6.332B,11.10B,6.220B,110.57M,111.46M,200.76M
KIM,2015-03,50.96M,326.23M,73.53M,0,0.72,0.71,0,209.93M,2015-03,310.34M,-51.44M,-51.44M,0,5.721B,100.36M,111.36M,41.76M,12.72M,283.46M,32.70M,5.013B,11.73B,4.229M,578.02M,111.36M,6.527B,11.16B,6.416B,109.57M,111.36M,251.78M
KIM,2014-12,45.12M,277.56M,71.10M,0,0.09,0.09,0,193.42M,2014-12,52.78M,-48.92M,-48.92M,0,4.596B,92.19M,240.65M,27.62M,7.745M,264.51M,27.68M,4.775B,10.26B,4.22M,523.96M,240.65M,5.360B,9.737B,5.119B,101.23M,240.65M,246.40M
KIM,2014-09,-68.62M,231.31M,65.59M,0,0.44,0.44,0,189.64M,2014-09,194.71M,-50.54M,-50.54M,0,4.697B,92.98M,104.86M,38.45M,5.252M,255.23M,28.63M,4.712B,10.29B,4.215M,415.20M,104.86M,5.458B,9.878B,5.353B,96.66M,104.86M,183.88M
KIM,2014-06,-59.59M,267.20M,63.20M,0,0.18,0.18,0,182.76M,2014-06,89.51M,-51.72M,-51.72M,0,4.730B,90.13M,104.79M,12.29M,0.94M,245.96M,28.77M,4.627B,10.19B,4.212M,452.82M,104.79M,5.442B,9.738B,5.337B,92.63M,104.79M,185.62M
KIM,2014-03,-76.87M,332.22M,58.73M,0,0.18,0.18,0,169.46M,2014-03,87.00M,-48.49M,-48.49M,0,4.380B,74.83M,104.67M,23.75M,8.515M,228.19M,37.12M,4.617B,9.834B,4.207M,514.23M,104.67M,5.091B,9.319B,4.987B,94.63M,104.67M,182.00M
KIM,2013-12,-64.98M,211.53M,56.42M,0,0.11,0.11,0,148.66M,2013-12,61.61M,-41.49M,-41.49M,0,4.221B,64.24M,228.79M,76.88M,6.07M,205.08M,31.32M,4.632B,9.664B,4.199M,406.10M,228.79M,4.894B,9.258B,4.665B,84.42M,228.79M,194.57M
KIM,2013-09,-44.13M,490.39M,55.24M,0,0.1,0.1,0,166.22M,2013-09,55.76M,-52.61M,-52.61M,0,4.381B,75.36M,98.33M,-32.37M,23.76M,221.46M,30.83M,4.698B,9.953B,4.199M,696.22M,98.33M,5.113B,9.257B,5.015B,90.86M,98.33M,205.83M
KIM,2013-06,-61.80M,227.46M,58.09M,0,0.09,0.09,8.956B,169.03M,2013-06,51.14M,-47.11M,-47.11M,7.210B,4.465B,76.02M,98.33M,2.23M,-12.20M,227.12M,31.32M,4.722B,9.988B,4.198M,461.94M,98.33M,5.122B,9.527B,5.024B,93.01M,98.33M,234.49M
KIM,2013-03,-27.68M,243.68M,57.44M,0,0.13,0.13,8.961B,169.57M,2013-03,67.77M,-49.87M,-49.87M,7.218B,4.451B,74.74M,99.16M,21.47M,15.57M,227.02M,34.02M,4.788B,10.06B,4.188M,480.55M,99.16M,5.106B,9.581B,5.007B,94.83M,99.16M,236.87M
KIM,2012-12,-66.18M,178.42M,37.37M,0,0.14,0.14,8.869B,91.58M,2012-12,88.38M,-51.16M,-51.16M,7.152B,4.195B,30.58M,208.40M,-33.05M,2.022M,128.94M,28.37M,4.765B,9.751B,4.18M,420.66M,208.40M,4.819B,9.331B,4.610B,60.99M,208.40M,242.24M
KIM,2012-09,-56.78M,465.34M,57.43M,0,0.07,0.07,8.670B,165.44M,2012-09,54.94M,-53.78M,-53.78M,7.010B,4.218B,70.82M,94.86M,14.51M,5.52M,222.86M,29.88M,5.073B,10.12B,4.355M,702.09M,94.86M,4.778B,9.414B,4.683B,94.62M,94.86M,236.75M
KIM,2012-06,-99.89M,418.17M,57.66M,0,0.12,0.12,8.670B,168.85M,2012-06,69.11M,-54.44M,-54.44M,7.052B,4.192B,75.66M,98.88M,22.08M,3.302M,226.52M,30.91M,5.015B,10.03B,5.039M,645.80M,98.88M,4.730B,9.384B,4.631B,93.19M,98.88M,227.64M
KIM,2012-03,-55.40M,276.94M,57.83M,0,0.09,0.09,8.653B,166.16M,2012-03,53.64M,-55.11M,-55.11M,7.051B,3.914B,69.09M,92.89M,10.88M,4.054M,223.99M,34.41M,5.087B,9.827B,5.039M,517.46M,92.89M,4.448B,9.309B,4.355B,97.07M,92.89M,240.52M
KIM,2011-12,-107.66M,146.42M,41.41M,0,0.08,0.08,0,125.80M,2011-12,46.40M,-51.98M,-51.98M,0,4.114B,49.37M,217.70M,3.35M,11.46M,167.21M,28.37M,4.686B,9.629B,5.023M,413.45M,217.70M,4.749B,9.215B,4.531B,76.43M,217.70M,267.02M
KIM,2011-09,-86.08M,219.85M,58.60M,0,0.1,0.1,0,154.43M,2011-09,54.98M,-53.79M,-53.79M,0,3.985B,66.71M,88.09M,8.683M,4.443M,213.02M,30.85M,4.750B,9.581B,5.023M,449.01M,88.09M,4.539B,9.132B,4.451B,87.72M,88.09M,229.17M
KIM,2011-06,27.99M,188.96M,58.82M,0,0.06,0.06,0,161.26M,2011-06,38.71M,-44.73M,-44.73M,0,3.980B,72.52M,88.09M,25.28M,5.64M,220.07M,29.61M,4.893B,9.705B,5.024M,432.56M,88.09M,4.498B,9.272B,4.410B,88.74M,88.09M,243.59M
KIM,2011-03,-7.382M,359.37M,65.81M,0,0.03,0.03,0,159.33M,2011-03,28.96M,-48.67M,-48.67M,0,4.150B,65.93M,88.07M,17.12M,4.209M,225.14M,29.75M,4.903B,9.895B,5.023M,608.31M,88.07M,4.680B,9.287B,4.592B,93.40M,88.07M,248.94M
