Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
JPM,2014-09,3.266B,439.68B,91.85B,1.37,1.35,57.48B,2014-09,5.565B,728.37B,15.18B,268.72B,211.06B,7.914B,2.349B,24.47B,9.906B,231.28B,2.527T,24.17B,801.98B,501.65B,2.296T,1.606T,1.747T,9.906B,211.06B,147.96B
JPM,2014-06,3.438B,421.43B,98.52B,1.47,1.46,57.80B,2014-06,5.98B,731.66B,15.22B,269.93B,203.88B,8.555B,2.575B,24.68B,9.693B,227.31B,2.520T,22.57B,746.68B,518.96B,2.293T,1.660T,1.728T,9.693B,203.88B,77.10B
JPM,2014-03,2.276B,398.85B,92.78B,1.29,1.28,58.11B,2014-03,5.269B,715.12B,14.92B,274.51B,202.50B,7.729B,2.46B,23.22B,9.834B,219.66B,2.477T,19.19B,737.14B,512.72B,2.257T,1.618T,1.698T,9.834B,202.50B,73.12B
JPM,2013-12,1.199B,685.80B,57.85B,1.31,1.3,59.31B,2013-12,5.241B,722.15B,14.89B,376.31B,251.80B,8.261B,3.02B,23.92B,9.173B,211.18B,2.416T,15.26B,999.08B,490.82B,2.205T,1.635T,1.664T,9.173B,251.80B,65.16B
JPM,2013-09,390.00M,402.11B,84.18B,-0.17,-0.17,59.41B,2013-09,-380.00M,711.11B,14.88B,263.37B,212.28B,34.00M,414.00M,23.12B,9.269B,206.67B,2.463T,15.26B,771.08B,515.19B,2.257T,1.570T,1.693T,9.409B,212.28B,133.06B
JPM,2013-06,136.00M,340.53B,87.02B,1.61,1.6,59.34B,2013-06,6.496B,706.20B,14.57B,266.21B,211.43B,9.298B,2.802B,25.21B,9.958B,209.24B,2.439T,15.56B,674.60B,557.41B,2.230T,1.648T,1.618T,10.11B,211.43B,81.56B
JPM,2013-03,3.491B,303.16B,86.04B,1.61,1.59,58.10B,2013-03,6.529B,708.11B,14.54B,268.36B,193.09B,9.082B,2.553B,25.12B,10.34B,207.09B,2.389T,14.06B,666.32B,527.37B,2.182T,1.609T,1.597T,10.49B,193.09B,144.82B
JPM,2012-12,4.102B,546.68B,55.37B,1.4,1.39,58.02B,2012-12,5.692B,711.86B,14.52B,336.92B,265.90B,6.95B,1.258B,23.65B,9.049B,204.07B,2.359T,13.16B,903.91B,561.37B,2.155T,1.707T,1.531T,9.049B,265.90B,60.93B
JPM,2012-09,4.426B,157.69B,55.47B,1.41,1.4,57.90B,2012-09,5.708B,699.12B,14.27B,241.14B,203.04B,7.986B,2.278B,25.15B,9.422B,199.69B,2.321T,13.16B,502.67B,515.73B,2.122T,1.685T,1.526T,9.604B,277.87B,62.99B
JPM,2012-06,2.272B,175.25B,50.56B,1.22,1.21,58.06B,2012-06,4.96B,703.78B,14.21B,261.23B,207.13B,7.00B,2.04B,22.18B,9.351B,191.57B,2.290T,11.90B,498.38B,519.35B,2.099T,1.654T,1.524T,9.542B,199.77B,67.94B
JPM,2012-03,2.645B,170.41B,50.58B,1.2,1.19,59.28B,2012-03,4.924B,695.10B,14.21B,255.83B,204.15B,6.981B,2.057B,26.05B,10.56B,189.73B,2.320T,11.90B,475.73B,505.21B,2.131T,1.709T,1.530T,10.76B,0,64.83B
JPM,2011-12,944.00M,509.66B,73.54B,0.9,0.9,58.62B,2011-12,3.728B,696.11B,14.04B,323.49B,277.87B,4.747B,1.019B,21.47B,8.393B,183.57B,2.266T,11.90B,806.45B,564.94B,2.082T,1.682T,1.451T,8.60B,0,61.48B
JPM,2011-09,1.964B,185.64B,51.07B,1.02,1.02,59.41B,2011-09,4.262B,668.50B,13.81B,273.69B,199.77B,5.818B,1.556B,23.76B,9.082B,182.29B,2.289T,11.90B,505.76B,489.43B,2.107T,1.652T,1.522T,9.294B,0,72.08B
JPM,2011-06,1.638B,200.35B,81.37B,1.28,1.27,64.80B,2011-06,5.431B,661.22B,13.68B,279.23B,184.49B,8.127B,2.696B,26.78B,9.53B,182.88B,2.247T,11.90B,494.00B,519.98B,2.064T,1.631T,1.476T,9.742B,0,80.29B
