Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MET,2020-12,18.07B,378.51B,393.00M,0,0.1378,0.1378,10.11B,2020-12,158.00M,93.41B,-230.00M,-230.00M,0,11.01B,17.76B,716.00M,164.00M,6.00M,19.42B,1.564B,74.56B,795.15B,12.00M,396.38B,1.109B,720.33B,497.79B,280.52B,1.765B,716.00M,17.87B
MET,2020-09,16.04B,382.05B,351.00M,0,0.7,0.69,9.36B,2020-09,706.00M,92.46B,-229.00M,-229.00M,0,10.84B,17.69B,1.233B,923.00M,214.00M,16.02B,1.384B,73.32B,780.49B,12.00M,402.76B,1.584B,706.92B,491.89B,281.26B,1.578B,1.233B,20.71B
MET,2020-06,18.56B,369.64B,303.00M,0,0.07,0.07,9.245B,2020-06,145.00M,92.53B,-232.00M,-232.00M,0,11.33B,17.66B,1.598B,197.00M,47.00M,14.10B,1.381B,75.69B,767.58B,12.00M,390.49B,1.901B,691.64B,479.11B,278.15B,1.557B,1.598B,20.85B
MET,2020-03,12.76B,356.71B,298.00M,0,4.78,4.75,9.159B,2020-03,4.398B,90.98B,-222.00M,-222.00M,0,10.01B,17.66B,1.362B,5.643B,1.242B,18.31B,1.446B,70.22B,737.74B,12.00M,377.93B,1.66B,667.28B,463.80B,273.83B,1.639B,1.362B,21.22B
MET,2019-12,13.05B,348.27B,235.00M,0,0.5834,0.58,9.308B,2019-12,593.00M,90.21B,-224.00M,-224.00M,0,9.097B,16.62B,1.044B,-37.00M,-625.00M,17.14B,1.723B,66.14B,740.46B,12.00M,368.71B,1.279B,674.08B,463.86B,262.26B,1.889B,1.044B,20.44B
MET,2019-09,15.20B,349.04B,142.00M,0,2.31,2.3,9.278B,2019-09,2.184B,88.63B,-223.00M,-223.00M,0,10.15B,16.59B,723.00M,2.791B,601.00M,18.68B,1.631B,68.37B,742.81B,12.00M,369.76B,865.00M,674.19B,459.11B,261.21B,1.795B,723.00M,20.72B
MET,2019-06,11.63B,339.94B,158.00M,0,1.78,1.77,9.408B,2019-06,1.741B,87.70B,-274.00M,-274.00M,0,8.766B,16.50B,689.00M,2.297B,551.00M,17.50B,1.63B,63.81B,732.17B,12.00M,360.46B,847.00M,668.12B,450.17B,257.46B,1.804B,689.00M,20.52B
MET,2019-03,6.911B,327.44B,289.00M,0,1.41,1.4,9.418B,2019-03,1.381B,88.27B,-234.00M,-234.00M,0,7.075B,16.00B,1.176B,1.744B,359.00M,16.30B,1.57B,58.51B,713.19B,12.00M,348.06B,1.465B,654.45B,442.19B,252.46B,1.74B,1.176B,20.62B
MET,2018-12,1.722B,318.02B,268.00M,0,2.05,2.04,9.422B,2018-12,2.067B,85.45B,-260.00M,-260.00M,0,5.414B,15.98B,1.118B,2.471B,409.00M,15.66B,1.468B,52.74B,687.54B,12.00M,337.67B,1.386B,634.58B,426.15B,246.41B,1.667B,1.118B,19.64B
MET,2018-09,1.00B,322.56B,290.00M,0,0.89,0.88,9.44B,2018-09,912.00M,82.16B,-267.00M,-267.00M,0,4.924B,16.55B,875.00M,1.079B,164.00M,16.29B,1.691B,51.62B,698.45B,12.00M,342.38B,1.165B,646.64B,431.56B,247.85B,1.884B,875.00M,19.82B
MET,2018-06,2.854B,326.50B,479.00M,0,0.83,0.83,9.499B,2018-06,891.00M,80.55B,-309.00M,-309.00M,0,5.377B,17.68B,917.00M,1.101B,207.00M,21.18B,1.694B,53.63B,706.33B,12.00M,346.10B,1.396B,652.50B,429.78B,248.49B,1.881B,917.00M,19.61B
MET,2018-03,5.634B,323.76B,526.00M,0,1.2,1.19,9.733B,2018-03,1.253B,80.80B,-286.00M,-286.00M,0,6.304B,18.85B,827.00M,1.656B,399.00M,14.80B,1.609B,56.31B,712.58B,12.00M,359.57B,1.353B,656.08B,416.17B,251.62B,1.788B,827.00M,19.37B
MET,2017-12,7.427B,326.50B,477.00M,0,2.159,2.14,9.59B,2017-12,2.317B,78.40B,-278.00M,-278.00M,0,6.767B,18.83B,993.00M,961.00M,-1.354B,15.84B,1.791B,58.68B,719.89B,12.00M,344.92B,1.47B,661.02B,434.92B,249.35B,2.165B,993.00M,18.42B
MET,2017-09,7.005B,331.91B,214.00M,0,-0.09,-0.09,9.556B,2017-09,-91.00M,77.64B,-284.00M,-284.00M,0,8.554B,19.83B,730.00M,485.00M,-398.00M,16.17B,1.663B,56.71B,720.52B,12.00M,367.04B,944.00M,663.57B,419.74B,253.06B,1.808B,730.00M,18.59B
MET,2017-06,8.436B,392.00B,235.00M,0,0.81,0.8,9.385B,2017-06,911.00M,88.64B,-284.00M,-284.00M,0,10.38B,22.68B,722.00M,1.018B,162.00M,15.33B,1.671B,69.46B,925.20B,12.00M,433.31B,957.00M,855.53B,487.65B,297.75B,1.819B,722.00M,26.55B
MET,2017-03,6.396B,386.28B,260.00M,0,0.8,0.79,9.35B,2017-03,873.00M,87.66B,-283.00M,-283.00M,0,9.55B,19.68B,699.00M,1.072B,120.00M,14.96B,1.599B,67.93B,914.69B,12.00M,426.62B,959.00M,846.58B,480.70B,291.60B,1.774B,699.00M,25.94B
MET,2016-12,5.366B,311.63B,242.00M,0,-1.939,-1.94,9.22B,2016-12,-2.038B,74.68B,-282.00M,-282.00M,0,6.892B,19.61B,696.00M,-1.241B,-560.00M,12.83B,1.572B,67.53B,898.76B,12.00M,341.02B,938.00M,831.06B,395.07B,238.26B,626.00M,696.00M,15.46B
MET,2016-09,13.60B,421.27B,201.00M,0,0.52,0.51,9.592B,2016-09,577.00M,82.33B,-280.00M,-280.00M,0,14.36B,19.72B,914.00M,1.159B,135.00M,15.83B,1.641B,78.29B,952.90B,12.00M,462.18B,1.115B,874.44B,512.06B,309.55B,2.151B,914.00M,26.18B
MET,2016-06,14.63B,417.75B,103.00M,0,0.06,0.06,9.852B,2016-06,110.00M,80.64B,-306.00M,-306.00M,0,14.97B,19.75B,734.00M,-100.00M,-214.00M,15.24B,1.788B,79.18B,942.57B,12.00M,458.15B,837.00M,863.19B,505.90B,308.48B,2.493B,734.00M,26.09B
MET,2016-03,10.86B,400.27B,100.00M,0,1.994,1.98,9.729B,2016-03,2.201B,79.91B,-312.00M,-312.00M,0,13.78B,21.08B,706.00M,2.922B,719.00M,18.43B,1.877B,75.78B,917.43B,12.00M,443.23B,806.00M,841.46B,491.13B,298.05B,2.565B,706.00M,27.97B
MET,2015-12,4.771B,376.77B,100.00M,0,1.239,0.7,9.477B,2015-12,897.00M,78.36B,-260.00M,-260.00M,0,10.59B,21.22B,720.00M,-684.00M,-265.00M,8.436B,1.975B,67.95B,877.93B,12.00M,414.66B,820.00M,809.51B,466.62B,285.73B,300.00M,720.00M,22.86B
MET,2015-09,6.891B,380.15B,100.00M,0,1.07,1.06,9.546B,2015-09,1.203B,75.10B,-302.00M,-302.00M,0,11.36B,19.95B,737.00M,2.163B,965.00M,18.03B,1.701B,70.50B,882.46B,12.00M,421.32B,837.00M,811.47B,470.36B,286.19B,2.778B,737.00M,25.81B
MET,2015-06,6.443B,377.70B,100.00M,0,0.9322,0.9234,9.644B,2015-06,1.115B,75.58B,-308.00M,-308.00M,0,10.76B,19.96B,770.00M,1.113B,-6.00M,16.17B,1.83B,69.38B,898.41B,12.00M,419.03B,870.00M,828.51B,470.54B,285.00B,2.509B,770.00M,24.87B
MET,2015-03,11.53B,392.24B,100.00M,0,1.89,1.87,9.717B,2015-03,2.158B,74.02B,-298.00M,-298.00M,0,13.30B,20.91B,920.00M,3.059B,896.00M,18.71B,1.796B,73.77B,919.79B,13.00M,432.91B,1.02B,845.48B,483.90B,292.80B,2.406B,920.00M,24.19B
MET,2014-12,10.65B,388.48B,100.00M,0,1.316,1.3,9.872B,2014-12,1.521B,71.74B,-297.00M,-297.00M,0,11.82B,19.48B,868.00M,2.076B,549.00M,19.12B,1.873B,72.05B,902.34B,13.00M,426.76B,968.00M,829.78B,475.89B,290.44B,2.887B,868.00M,22.24B
MET,2014-09,10.99B,392.78B,100.00M,0,1.83,1.81,10.22B,2014-09,2.094B,69.79B,-295.00M,-295.00M,0,11.36B,19.58B,1.003B,2.952B,858.00M,18.85B,1.795B,70.80B,908.63B,12.00M,433.84B,1.103B,837.33B,481.12B,295.07B,2.526B,1.003B,23.81B
MET,2014-06,11.06B,390.68B,100.00M,0,1.18,1.17,10.43B,2014-06,1.366B,69.01B,-312.00M,-312.00M,0,10.45B,19.98B,914.00M,1.95B,574.00M,18.27B,1.786B,69.59B,911.12B,12.00M,432.24B,1.014B,840.95B,479.82B,292.88B,2.478B,914.00M,23.73B
