Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CLX,2015-03,-481.00M,378.00M,796.00M,370.00M,1.31,1.3,1.654B,2.741B,605.00M,2015-03,440.00M,174.00M,-25.00M,-25.00M,917.00M,97.00M,1.796B,241.00M,930.00M,217.00M,73.00M,34.00M,1.401B,330.00M,302.00M,4.228B,159.00M,1.495B,1.30B,3.926B,2.733B,2.626B,364.00M,397.00M,528.00M
CLX,2014-12,-453.00M,819.00M,773.00M,877.00M,0.96,0.95,1.672B,2.742B,572.00M,2014-12,446.00M,125.00M,-26.00M,-26.00M,933.00M,81.00M,1.795B,221.00M,867.00M,197.00M,69.00M,33.00M,1.345B,318.00M,281.00M,4.674B,159.00M,1.905B,1.744B,4.393B,2.769B,2.649B,351.00M,375.00M,473.00M
CLX,2014-09,-416.00M,355.00M,774.00M,628.00M,0.7,0.68,1.686B,2.737B,578.00M,2014-09,397.00M,90.00M,-26.00M,-26.00M,947.00M,90.00M,1.596B,247.00M,905.00M,218.00M,73.00M,30.00M,1.352B,301.00M,169.00M,4.15B,159.00M,1.351B,1.533B,3.981B,2.799B,2.448B,331.00M,427.00M,455.00M
CLX,2014-06,-417.00M,329.00M,855.00M,718.00M,1.31,1.29,1.712B,2.753B,642.00M,2014-06,386.00M,170.00M,-23.00M,-23.00M,977.00M,103.00M,1.595B,275.00M,801.00M,263.00M,92.00M,35.00M,1.497B,324.00M,154.00M,4.258B,159.00M,1.395B,1.638B,4.104B,2.863B,2.466B,367.00M,548.00M,546.00M
CLX,2014-03,-418.00M,364.00M,791.00M,969.00M,1.05,1.04,1.71B,2.74B,575.00M,2014-03,447.00M,137.00M,-25.00M,-25.00M,970.00M,124.00M,1.595B,249.00M,869.00M,226.00M,75.00M,28.00M,1.366B,298.00M,53.00M,4.374B,159.00M,1.52B,1.838B,4.321B,2.854B,2.483B,326.00M,388.00M,551.00M
CLX,2013-12,-387.00M,341.00M,753.00M,342.00M,0.89,0.87,1.719B,2.742B,555.00M,2013-12,466.00M,115.00M,-26.00M,-26.00M,992.00M,116.00M,2.17B,206.00M,839.00M,184.00M,66.00M,31.00M,1.308B,318.00M,156.00M,4.388B,159.00M,1.50B,1.181B,4.232B,2.888B,3.051B,349.00M,359.00M,499.00M
CLX,2013-09,-368.00M,323.00M,759.00M,286.00M,1.04,1.03,1.731B,2.727B,584.00M,2013-09,439.00M,136.00M,-26.00M,-26.00M,1.007B,118.00M,2.17B,239.00M,884.00M,211.00M,72.00M,31.00M,1.343B,314.00M,81.00M,4.301B,159.00M,1.42B,1.17B,4.22B,2.881B,3.05B,345.00M,416.00M,506.00M
CLX,2013-06,-367.00M,299.00M,798.00M,202.00M,1.39,1.37,1.732B,2.732B,659.00M,2013-06,394.00M,183.00M,-23.00M,-23.00M,1.021B,119.00M,2.17B,292.00M,777.00M,268.00M,85.00M,35.00M,1.457B,326.00M,146.00M,4.311B,159.00M,1.42B,1.134B,4.165B,2.891B,3.031B,367.00M,538.00M,580.00M
CLX,2013-03,-378.00M,423.00M,818.00M,392.00M,1.01,1,1.751B,2.828B,595.00M,2013-03,454.00M,133.00M,-30.00M,-30.00M,1.041B,107.00M,2.169B,233.00M,916.00M,202.00M,68.00M,34.00M,1.413B,328.00M,152.00M,4.523B,159.00M,1.588B,1.308B,4.371B,2.935B,3.063B,362.00M,413.00M,562.00M
CLX,2012-12,-376.00M,445.00M,762.00M,505.00M,0.94,0.93,1.754B,2.83B,563.00M,2012-12,444.00M,123.00M,-33.00M,-33.00M,1.051B,116.00M,2.169B,212.00M,868.00M,188.00M,65.00M,31.00M,1.325B,320.00M,56.00M,4.502B,159.00M,1.552B,1.373B,4.446B,2.95B,3.073B,351.00M,375.00M,511.00M
CLX,2012-09,-369.00M,667.00M,764.00M,852.00M,1.02,1.01,1.762B,2.932B,574.00M,2012-09,421.00M,133.00M,-33.00M,-33.00M,1.098B,135.00M,2.169B,227.00M,873.00M,194.00M,61.00M,30.00M,1.338B,317.00M,-20.00M,4.747B,159.00M,1.745B,1.725B,4.767B,3.002B,3.042B,347.00M,415.00M,503.00M
CLX,2012-06,-396.00M,267.00M,883.00M,1.15B,1.34,1.32,1.754B,2.885B,658.00M,2012-06,384.00M,174.00M,-30.00M,-30.00M,1.081B,119.00M,1.571B,285.00M,746.00M,251.00M,77.00M,34.00M,1.541B,336.00M,-135.00M,4.355B,159.00M,1.376B,2.061B,4.49B,2.979B,2.429B,373.00M,502.00M,576.00M
CLX,2012-03,-304.00M,303.00M,808.00M,1.28B,1.02,1.01,1.768B,2.859B,593.00M,2012-03,454.00M,132.00M,-33.00M,-33.00M,1.039B,157.00M,1.57B,226.00M,851.00M,198.00M,64.00M,30.00M,1.401B,337.00M,-106.00M,4.386B,159.00M,1.442B,2.131B,4.492B,2.944B,2.361B,367.00M,379.00M,557.00M
CLX,2011-12,-323.00M,297.00M,714.00M,826.00M,0.79,0.79,1.762B,2.874B,507.00M,2011-12,451.00M,105.00M,-30.00M,-30.00M,1.041B,141.00M,2.07B,179.00M,811.00M,155.00M,50.00M,29.00M,1.221B,299.00M,-199.00M,4.29B,159.00M,1.348B,1.637B,4.489B,2.942B,2.852B,328.00M,373.00M,489.00M
CLX,2011-09,-314.00M,270.00M,759.00M,440.00M,0.99,0.98,1.679B,0,546.00M,2011-09,407.00M,130.00M,-29.00M,-29.00M,1.028B,137.00M,2.122B,210.00M,828.00M,187.00M,57.00M,28.00M,1.305B,308.00M,-76.00M,4.077B,159.00M,1.238B,1.268B,4.153B,2.839B,2.885B,336.00M,394.00M,439.00M
CLX,2011-06,-250.00M,259.00M,837.00M,459.00M,1.27,1.26,1.703B,0,645.00M,2011-06,382.00M,169.00M,-26.00M,-26.00M,1.039B,140.00M,2.125B,282.00M,906.00M,254.00M,85.00M,29.00M,1.482B,334.00M,-86.00M,4.163B,159.00M,1.279B,1.365B,4.249B,2.884B,2.884B,363.00M,464.00M,525.00M
CLX,2011-03,-307.00M,153.00M,729.00M,343.00M,1.1,1.09,1.702B,0,575.00M,2011-03,435.00M,151.00M,-29.00M,-29.00M,1.006B,61.00M,2.125B,239.00M,889.00M,219.00M,78.00M,29.00M,1.304B,307.00M,-82.00M,4.051B,159.00M,1.204B,1.232B,4.133B,2.847B,2.901B,336.00M,437.00M,499.00M
