Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ARE,2017-12,50.02M,254.38M,88.07M,314.00M,0.39,0.38,108.12M,210.72M,2017-12,39.39M,0,-36.08M,-36.08M,108.12M,276.88M,4.715B,84.09M,442.03M,45.61M,298.79M,18.91M,5.950B,12.10B,75.38M,299.03M,499.53M,5.632B,11.80B,5.133B,126.62M,442.03M,10.88M
ARE,2017-09,43.86M,118.56M,83.47M,300.00M,0.55,0.55,104.89M,201.90M,2017-09,53.77M,0,-31.03M,-31.03M,104.89M,268.25M,4.503B,76.48M,421.70M,59.55M,285.37M,17.64M,5.407B,11.55B,75.33M,168.14M,743.74M,5.652B,11.38B,4.908B,125.42M,421.70M,10.53M
ARE,2017-06,22.68M,124.88M,76.98M,28.00M,0.35,0.35,96.22M,196.08M,2017-06,34.22M,0,-31.75M,-31.75M,96.22M,270.58M,4.475B,72.75M,408.96M,41.50M,273.06M,19.23M,5.157B,11.25B,75.31M,160.96M,717.90M,5.603B,11.08B,4.885B,123.33M,408.96M,9.048M
ARE,2017-03,21.46M,151.21M,77.09M,416.00M,0.29,0.29,90.43M,193.79M,2017-03,41.71M,0,-29.78M,-29.78M,90.43M,267.01M,4.431B,77.38M,470.01M,47.56M,270.88M,19.23M,4.952B,10.87B,75.28M,195.08M,476.10M,5.434B,10.67B,4.958B,116.41M,470.01M,10.65M
ARE,2016-12,5.355M,125.03M,73.24M,299.00M,-0.3,-0.3,96.14M,196.19M,2016-12,15.30M,0,-33.45M,-33.45M,96.14M,265.84M,4.136B,83.51M,443.09M,19.79M,269.44M,17.46M,4.896B,10.35B,217.79M,161.53M,477.77M,4.984B,10.19B,4.506B,112.68M,443.09M,10.44M
ARE,2016-09,-31.74M,157.93M,72.00M,151.00M,0.07,0.07,56.61M,153.32M,2016-09,24.48M,0,-25.06M,-25.06M,56.61M,253.09M,3.913B,60.33M,336.62M,28.56M,225.32M,15.85M,3.910B,9.294B,292.56M,204.79M,763.96M,5.010B,9.089B,4.246B,92.99M,336.62M,16.51M
ARE,2016-06,-8.533M,146.20M,67.32M,0,-1.72,-1.72,41.04M,148.50M,2016-06,-111.62M,0,-24.45M,-24.45M,41.04M,239.33M,3.792B,62.95M,330.54M,-108.12M,215.83M,15.38M,3.866B,8.972B,344.59M,198.04M,645.81M,4.798B,8.773B,4.153B,85.55M,330.54M,26.65M
ARE,2016-03,49.19M,125.10M,65.84M,0,-0.05,-0.05,41.68M,145.29M,2016-03,5.936M,0,-24.00M,-24.00M,41.68M,239.27M,3.785B,59.24M,301.84M,9.966M,211.13M,15.19M,3.975B,8.881B,367.89M,198.74M,462.93M,4.601B,8.682B,4.138B,86.05M,301.84M,27.12M
ARE,2015-12,35.24M,76.38M,68.91M,843.00M,0.49,0.49,28.83M,144.47M,2015-12,42.00M,0,-25.39M,-25.39M,28.83M,236.88M,3.471B,57.12M,288.70M,42.98M,213.38M,15.10M,3.759B,8.737B,367.88M,123.50M,1.148B,4.976B,8.614B,3.828B,87.35M,204.90M,10.12M
ARE,2015-09,83.98M,68.62M,68.85M,624.00M,0.46,0.46,0,143.11M,2015-09,39.53M,0,-26.41M,-26.41M,0,230.15M,3.469B,60.02M,247.55M,39.70M,211.96M,15.14M,3.823B,8.525B,367.88M,122.09M,884.42M,4.700B,8.403B,3.816B,83.10M,187.70M,9.279M
ARE,2015-06,29.21M,90.64M,62.25M,421.00M,0.44,0.44,0,139.41M,2015-06,38.17M,0,-26.29M,-26.29M,0,231.41M,3.483B,62.25M,300.86M,38.43M,201.66M,14.99M,3.781B,8.405B,367.88M,157.97M,734.26M,4.623B,8.247B,3.888B,77.16M,215.09M,10.63M
ARE,2015-03,-0.628M,86.01M,61.22M,304.00M,0.25,0.25,0,131.33M,2015-03,24.52M,0,-22.75M,-22.75M,0,229.93M,3.375B,58.03M,277.75M,25.05M,192.56M,14.39M,3.828B,8.136B,367.88M,162.32M,591.77M,4.241B,7.974B,3.649B,73.31M,277.75M,31.34M
ARE,2014-12,-28.71M,67.02M,56.88M,142.00M,-0.23,-0.23,0,129.83M,2014-12,-7.392M,0,-21.80M,-21.80M,0,223.38M,3.359B,58.00M,562.08M,-7.752M,186.71M,13.86M,3.875B,8.020B,380.71M,102.10M,704.08M,4.078B,7.918B,3.373B,71.83M,562.08M,10.83M
ARE,2014-09,-16.24M,61.70M,57.42M,571.00M,0.39,0.39,0,126.43M,2014-09,34.60M,0,-18.56M,-18.56M,0,0,2.764B,55.43M,491.90M,36.12M,183.85M,12.61M,3.907B,7.816B,380.71M,96.87M,1.063B,3.841B,7.719B,2.778B,71.00M,491.90M,10.65M
ARE,2014-06,-18.43M,74.97M,52.35M,506.00M,0.39,0.39,0,124.50M,2014-06,34.81M,0,-16.52M,-16.52M,0,0,2.746B,53.35M,499.75M,36.26M,176.85M,13.84M,3.923B,7.756B,380.71M,116.04M,1.006B,3.766B,7.640B,2.760B,71.15M,499.75M,10.62M
ARE,2014-03,-36.20M,57.70M,52.51M,204.00M,0.46,0.46,0,120.47M,2014-03,39.55M,0,-18.26M,-18.26M,0,0,2.857B,56.83M,230.56M,40.91M,172.98M,13.22M,3.917B,7.530B,380.71M,95.32M,448.13M,3.565B,7.434B,3.117B,63.64M,152.46M,9.918M
ARE,2013-12,-40.03M,53.84M,49.89M,14.00M,0.51,0.51,0,116.47M,2013-12,43.11M,0,-16.70M,-16.70M,0,0,2.857B,55.63M,506.55M,44.36M,166.36M,12.75M,3.919B,7.358B,380.71M,93.16M,520.55M,3.392B,7.265B,2.871B,60.84M,506.55M,8.671M
ARE,2013-09,-39.56M,302.20M,47.68M,0,0.35,0.35,0,107.39M,2013-09,31.49M,0,-14.98M,-14.98M,0,0,2.959B,46.86M,420.39M,32.50M,155.07M,11.67M,3.938B,7.379B,380.71M,340.70M,420.39M,3.394B,7.039B,2.974B,60.53M,420.39M,7.577M
ARE,2013-06,-22.89M,87.00M,46.28M,554.00M,0.38,0.38,7.154B,104.59M,2013-06,32.36M,0,-14.99M,-14.99M,6.300B,178.29M,2.631B,45.79M,411.11M,33.09M,150.86M,12.46M,3.434B,7.091B,380.63M,126.27M,965.11M,3.610B,6.965B,2.645B,58.80M,411.11M,9.261M
ARE,2013-03,-24.83M,140.97M,45.19M,566.00M,0.36,0.36,7.031B,103.51M,2013-03,29.26M,0,-16.69M,-16.69M,6.208B,133.98M,2.616B,46.03M,230.02M,29.40M,148.70M,11.65M,3.442B,7.150B,380.63M,189.37M,825.93M,3.662B,6.961B,2.836B,57.48M,146.92M,8.449M
ARE,2012-12,-19.73M,94.90M,46.00M,413.00M,0.33,0.33,6.867B,101.75M,2012-12,27.80M,0,-17.05M,-17.05M,6.087B,0,2.619B,42.56M,416.25M,34.95M,147.75M,12.62M,3.456B,6.965B,380.63M,105.03M,829.25M,3.448B,6.394B,2.619B,59.20M,39.47M,10.12M
ARE,2012-09,-37.37M,80.94M,44.20M,379.00M,0.17,0.17,6.636B,96.94M,2012-09,17.48M,0,-16.06M,-16.06M,5.925B,0,2.620B,37.89M,386.39M,12.70M,141.15M,12.47M,3.397B,6.842B,380.62M,87.08M,765.39M,3.385B,6.302B,2.620B,59.05M,38.36M,6.143M
ARE,2012-06,-23.09M,77.36M,42.10M,167.00M,0.29,0.29,6.534B,94.62M,2012-06,24.79M,0,-17.09M,-17.09M,5.855B,0,2.622B,31.58M,359.96M,20.93M,136.72M,12.30M,3.380B,6.718B,380.62M,86.20M,526.96M,3.279B,6.174B,2.752B,63.04M,36.96M,8.836M
ARE,2012-03,-34.51M,78.54M,40.45M,370.00M,0.3,0.3,6.145B,92.68M,2012-03,32.06M,0,-15.62M,-15.62M,5.498B,0,2.409B,40.54M,160.01M,28.13M,133.13M,10.36M,3.374B,6.574B,380.25M,109.35M,573.21M,3.157B,6.465B,2.584B,52.14M,123.00M,7.48M
ARE,2011-12,-32.20M,73.06M,0,0,0.44,0.44,6.061B,0,2011-12,34.32M,0,0,0,5.445B,0,2.659B,0,365.33M,33.97M,172.52M,-107.43M,3.373B,6.456B,380.25M,79.66M,365.33M,3.025B,6.126B,2.659B,-70.84M,35.29M,6.599M
ARE,2011-09,-6.272M,60.92M,0,0,0.4,0.4,0,0,2011-09,32.03M,0,0,0,0,0,2.553B,0,334.10M,32.48M,123.78M,51.15M,3.399B,6.343B,380.25M,65.41M,334.10M,2.887B,6.040B,2.553B,87.15M,34.07M,4.487M
ARE,2011-06,-7.193M,78.20M,0,0,0.44,0.44,0,0,2011-06,33.37M,0,0,0,0,0,2.669B,0,314.18M,0,126.75M,51.36M,2.942B,5.983B,380.19M,85.21M,314.18M,2.984B,5.656B,2.669B,90.28M,31.17M,7.018M
ARE,2011-03,-18.34M,91.23M,0,0,0.44,0.44,0,0,2011-03,31.70M,0,0,0,0,0,2.584B,0,335.37M,0,122.11M,50.56M,2.929B,5.906B,380.19M,96.72M,335.37M,2.920B,5.580B,2.584B,87.14M,31.11M,5.492M
