Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ARE,2020-12,-6.625M,568.53M,136.77M,99.99M,3.26,3.26,982.99M,326.95M,2020-12,441.48M,0,-37.54M,-37.54M,982.99M,281.25M,7.809B,116.51M,769.27M,457.13M,463.72M,32.69M,11.73B,22.83B,1.367M,676.13M,916.34M,9.395B,22.15B,8.479B,210.44M,436.00M,10.76M
ARE,2020-09,-10.64M,446.26M,140.44M,249.99M,0.64,0.63,954.33M,404.60M,2020-09,81.06M,0,-43.32M,-43.32M,954.33M,281.89M,7.899B,190.86M,735.40M,95.80M,545.04M,36.91M,10.70B,21.91B,1.333M,576.33M,1.033B,9.587B,21.33B,8.553B,213.74M,461.32M,10.10M
ARE,2020-06,-13.08M,206.86M,123.91M,440.00M,1.82,1.82,782.41M,313.04M,2020-06,229.65M,0,-45.01M,-45.01M,782.41M,286.96M,7.375B,113.24M,599.40M,243.56M,436.96M,31.78M,9.431B,20.07B,1.246M,265.43M,1.069B,9.012B,19.80B,7.943B,199.80M,367.34M,9.448M
ARE,2020-03,-15.61M,445.26M,129.10M,221.00M,0.14,0.14,822.61M,310.82M,2020-03,18.76M,0,-45.74M,-45.74M,822.61M,291.32M,7.377B,103.36M,619.72M,30.68M,439.92M,31.96M,9.323B,19.70B,1.243M,534.18M,856.27M,8.800B,19.17B,7.943B,207.46M,372.98M,16.31M
ARE,2019-12,-9.749M,189.68M,121.85M,384.00M,1.75,1.74,743.68M,286.26M,2019-12,202.44M,0,-45.49M,-45.49M,743.68M,278.76M,6.665B,115.96M,601.09M,216.05M,408.11M,29.78M,8.866B,18.39B,1.208M,265.14M,999.13M,8.236B,18.13B,7.237B,170.30M,325.27M,11.13M
ARE,2019-09,-11.55M,410.68M,116.45M,343.00M,-0.44,-0.44,660.47M,274.03M,2019-09,-47.20M,0,-46.20M,-46.20M,660.47M,252.60M,6.665B,110.53M,607.29M,-36.00M,390.48M,27.93M,7.790B,17.06B,58.59M,479.58M,964.45M,8.107B,16.58B,7.142B,163.50M,319.48M,11.13M
ARE,2019-06,-11.13M,198.91M,105.69M,514.00M,0.68,0.68,567.42M,268.17M,2019-06,78.77M,0,-42.88M,-42.88M,567.42M,241.20M,6.086B,107.30M,545.12M,87.18M,373.86M,26.43M,7.629B,16.04B,58.58M,262.94M,1.075B,7.639B,15.78B,6.564B,160.87M,263.68M,9.71M
ARE,2019-03,-10.71M,261.37M,101.50M,0,1.11,1.11,523.72M,257.34M,2019-03,129.16M,0,-39.10M,-39.10M,523.72M,248.44M,6.088B,98.58M,563.58M,136.82M,358.84M,24.68M,7.567B,15.48B,58.57M,348.97M,574.60M,7.136B,15.13B,6.562B,158.76M,277.76M,10.15M
ARE,2018-12,-10.44M,234.18M,97.68M,208.00M,-0.3,-0.3,228.72M,242.78M,2018-12,-24.68M,0,-40.24M,-40.24M,228.72M,280.47M,5.270B,95.41M,601.70M,-18.63M,340.46M,22.38M,7.342B,14.46B,65.45M,296.15M,820.81M,6.581B,14.17B,5.760B,147.38M,325.82M,10.33M
ARE,2018-09,-3.811M,204.18M,99.76M,413.00M,2.01,1.99,224.17M,242.06M,2018-09,213.64M,0,-42.24M,-42.24M,224.17M,266.57M,5.271B,99.80M,547.03M,219.36M,341.82M,22.66M,6.873B,14.11B,75.44M,262.65M,973.22M,6.703B,13.84B,5.730B,142.26M,547.03M,11.59M
ARE,2018-06,-2.485M,287.03M,91.91M,490.00M,0.51,0.51,203.19M,233.13M,2018-06,54.73M,0,-38.10M,-38.10M,203.19M,276.91M,5.614B,91.34M,493.11M,60.55M,325.03M,22.94M,6.460B,13.56B,75.42M,344.21M,503.63M,6.573B,13.22B,6.069B,141.79M,493.11M,9.276M
ARE,2018-03,1.228M,221.64M,91.77M,50.00M,1.33,1.32,148.65M,228.37M,2018-03,135.63M,0,-36.92M,-36.92M,148.65M,280.38M,4.721B,91.73M,463.25M,141.52M,320.14M,22.42M,6.195B,12.82B,75.39M,291.48M,960.24M,6.098B,12.53B,5.138B,136.64M,463.25M,11.85M
