Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
NI,2013-09,-60.40M,14.90M,711.90M,1.362B,270.50M,0.16,0.16,3.945B,23.17B,364.90M,2013-09,610.90M,48.10M,-103.70M,-103.70M,13.91B,3.273B,7.089B,156.10M,1.217B,77.40M,27.90M,1.077B,5.701B,22.08B,3.20M,1.746B,3.006B,16.38B,20.34B,13.38B,208.80M,836.50M,681.70M
NI,2013-06,-62.00M,44.50M,801.70M,448.40M,169.80M,0.23,0.23,3.947B,22.64B,399.80M,2013-06,420.30M,71.70M,-102.00M,-102.00M,13.47B,3.215B,7.617B,185.80M,1.208B,105.30M,32.90M,1.202B,5.703B,21.62B,3.10M,1.708B,2.068B,15.92B,19.91B,13.85B,214.00M,799.50M,804.00M
NI,2013-03,-62.30M,101.40M,1.130B,1.220B,210.00M,0.84,0.83,3.950B,22.19B,651.90M,2013-03,257.60M,260.50M,-98.60M,-98.60M,13.12B,3.092B,6.804B,421.60M,1.274B,334.40M,118.40M,1.782B,5.691B,21.64B,3.10M,2.032B,2.974B,15.95B,19.60B,12.97B,230.30M,936.40M,1.222B
NI,2012-12,-65.50M,36.30M,878.70M,1.284B,312.40M,0.44,0.44,3.964B,21.94B,514.90M,2012-12,540.70M,134.00M,-103.90M,-103.90M,12.92B,3.062B,6.819B,298.60M,1.364B,199.10M,67.00M,1.394B,5.554B,21.84B,3.10M,2.368B,3.319B,16.29B,19.48B,12.97B,216.30M,920.60M,1.090B
NI,2012-09,-56.80M,12.30M,645.80M,1.049B,294.50M,0.06,0.06,3.967B,21.50B,310.40M,2012-09,573.20M,19.30M,-107.90M,-107.90M,12.54B,2.893B,6.820B,122.80M,986.70M,25.80M,9.20M,956.20M,5.411B,20.84B,3.10M,1.839B,2.727B,15.43B,19.00B,12.70B,187.60M,671.10M,613.10M
NI,2012-06,-59.00M,52.80M,629.90M,1.094B,211.80M,0.25,0.23,3.969B,21.03B,408.90M,2012-06,430.00M,69.40M,-103.20M,-103.20M,12.15B,2.842B,6.807B,195.00M,983.70M,104.60M,36.30M,1.039B,5.105B,20.41B,2.90M,1.752B,2.662B,15.30B,18.66B,12.64B,213.90M,647.30M,596.70M
NI,2012-03,-60.90M,38.50M,1.028B,2.015B,225.70M,0.68,0.66,3.972B,20.71B,620.60M,2012-03,369.20M,193.40M,-103.30M,-103.30M,11.90B,2.759B,5.834B,388.40M,1.060B,294.70M,102.20M,1.649B,5.080B,20.45B,2.90M,1.970B,3.718B,15.37B,18.48B,11.65B,232.20M,749.60M,807.40M
NI,2011-12,-59.70M,11.50M,2.049B,1.687B,323.30M,0.05,0.04,3.975B,20.43B,-826.70M,2011-12,585.80M,14.70M,-90.10M,-90.10M,11.78B,2.650B,6.267B,205.00M,1.237B,31.40M,8.00M,1.222B,4.997B,20.71B,2.80M,2.269B,3.646B,15.71B,18.44B,12.06B,-1.032B,823.90M,916.40M
NI,2011-09,-54.40M,22.20M,323.10M,1.242B,284.80M,0.12,0.12,3.978B,20.22B,745.60M,2011-09,653.00M,34.70M,-95.70M,-95.70M,11.55B,2.539B,6.337B,144.30M,967.40M,53.30M,17.00M,1.069B,4.99B,19.74B,2.80M,1.860B,2.887B,14.75B,17.88B,11.86B,601.30M,645.20M,606.40M
NI,2011-06,-54.50M,59.90M,462.50M,900.40M,188.10M,0.14,0.14,3.980B,19.90B,765.80M,2011-06,434.60M,40.20M,-94.40M,-94.40M,11.30B,2.476B,6.34B,163.20M,1.060B,71.70M,30.90M,1.228B,5.003B,19.35B,2.80M,1.745B,2.558B,14.34B,17.60B,11.78B,602.60M,715.70M,757.70M
NI,2011-03,-56.70M,62.50M,1.171B,1.299B,189.40M,0.75,0.73,3.983B,19.67B,1.061B,2011-03,242.30M,209.50M,-89.80M,-89.80M,11.14B,2.445B,5.928B,404.10M,1.188B,319.90M,110.80M,2.232B,5.014B,19.48B,2.80M,1.985B,3.096B,14.46B,17.49B,11.37B,656.60M,877.90M,1.149B
