Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
EXC,2015-09,-2.596B,7.265B,5.287B,1.572B,118.00M,0.69,0.69,2.672B,66.91B,2.114B,2015-09,1.516B,629.00M,-253.00M,-253.00M,55.81B,13.62B,25.19B,1.198B,4.571B,703.00M,115.00M,7.401B,25.77B,95.13B,18.65B,16.87B,7.847B,67.84B,78.26B,59.99B,916.00M,2.995B,4.457B
EXC,2015-06,-2.626B,6.014B,4.491B,769.00M,141.00M,0.74,0.74,2.672B,61.04B,2.023B,2015-06,1.432B,638.00M,-155.00M,-155.00M,53.94B,13.48B,25.87B,1.127B,4.101B,962.00M,327.00M,6.514B,23.51B,92.21B,16.76B,15.42B,6.526B,67.14B,76.79B,60.62B,896.00M,2.735B,4.687B
EXC,2015-03,-2.673B,1.825B,6.551B,1.569B,172.00M,0.8,0.8,2.672B,0,2.279B,2015-03,1.301B,693.00M,-345.00M,-345.00M,53.00B,13.41B,21.17B,1.365B,4.077B,1.101B,363.00M,8.83B,23.06B,87.39B,16.73B,11.36B,7.374B,62.75B,76.03B,55.38B,914.00M,2.847B,4.988B
EXC,2014-12,-2.684B,1.878B,6.167B,2.262B,238.00M,0.02,0.02,2.672B,0,1.089B,2014-12,1.603B,19.00M,-343.00M,-343.00M,52.17B,12.99B,19.85B,240.00M,3.763B,115.00M,20.00M,7.256B,22.61B,86.42B,16.71B,11.85B,8.762B,62.28B,74.56B,53.52B,849.00M,3.361B,4.963B
EXC,2014-09,-1.917B,2.763B,4.63B,2.626B,221.00M,1.15,1.15,2.672B,0,2.282B,2014-09,1.591B,993.00M,-258.00M,-258.00M,51.63B,13.40B,19.85B,1.399B,3.986B,1.496B,422.00M,6.912B,23.60B,85.26B,16.68B,11.84B,8.431B,60.21B,73.43B,51.78B,883.00M,2.524B,3.938B
EXC,2014-06,-1.906B,1.362B,4.578B,2.668B,256.00M,0.61,0.6,2.674B,0,1.446B,2014-06,1.45B,522.00M,-238.00M,-238.00M,51.75B,13.45B,18.78B,568.00M,4.053B,834.00M,277.00M,6.024B,22.85B,83.66B,16.65B,9.823B,8.567B,59.43B,73.83B,50.86B,878.00M,2.671B,4.242B
EXC,2014-03,-2.036B,914.00M,6.198B,1.353B,260.00M,0.1,0.1,2.625B,0,1.039B,2014-03,1.023B,90.00M,-227.00M,-227.00M,47.74B,13.04B,19.20B,182.00M,4.219B,39.00M,-54.00M,7.237B,22.57B,79.47B,16.75B,9.675B,7.351B,56.69B,69.79B,49.34B,857.00M,2.855B,4.652B
EXC,2013-12,-2.04B,1.609B,4.46B,1.85B,301.00M,0.58,0.58,2.625B,0,1.703B,2013-12,1.105B,495.00M,-246.00M,-246.00M,47.33B,13.17B,18.27B,886.00M,3.55B,805.00M,311.00M,6.163B,22.73B,79.92B,16.74B,10.14B,7.728B,56.98B,69.79B,49.26B,817.00M,2.915B,4.53B
EXC,2013-09,-2.661B,1.644B,4.478B,1.857B,355.00M,0.86,0.86,2.625B,0,2.024B,2013-09,1.109B,738.00M,-234.00M,-234.00M,46.50B,12.24B,18.57B,1.217B,4.017B,1.175B,439.00M,6.502B,21.86B,79.66B,16.72B,9.951B,7.507B,57.59B,69.71B,50.09B,807.00M,2.477B,4.453B
EXC,2013-06,-2.673B,991.00M,4.311B,2.903B,405.00M,0.57,0.57,2.625B,57.37B,1.83B,2013-06,1.019B,490.00M,-252.00M,-252.00M,45.99B,11.92B,17.22B,1.026B,3.739B,736.00M,239.00M,6.141B,21.35B,78.42B,16.69B,9.409B,8.374B,56.83B,69.01B,48.46B,804.00M,2.357B,4.658B
EXC,2013-03,-2.673B,772.00M,4.745B,2.607B,439.00M,-0.01,-0.01,2.625B,55.80B,1.337B,2013-03,913.00M,-4.00M,-623.00M,-623.00M,45.78B,11.78B,17.36B,517.00M,3.817B,57.00M,56.00M,6.082B,21.09B,78.24B,16.65B,9.274B,8.321B,56.92B,68.97B,48.60B,820.00M,2.387B,4.957B
EXC,2012-12,-2.767B,1.486B,4.741B,1.257B,513.00M,0.45,0.45,2.625B,53.98B,1.513B,2012-12,1.014B,378.00M,-231.00M,-231.00M,45.19B,12.08B,18.35B,726.00M,4.488B,566.00M,182.00M,6.254B,21.43B,78.56B,16.63B,10.14B,7.791B,56.83B,68.42B,49.04B,787.00M,2.692B,5.114B
EXC,2012-09,-2.405B,1.70B,5.196B,1.404B,52.00M,0.35,0.35,2.625B,53.35B,1.383B,2012-09,1.031B,296.00M,-246.00M,-246.00M,43.91B,11.60B,18.24B,593.00M,3.997B,458.00M,161.00M,6.579B,21.82B,78.35B,0,11.33B,7.77B,56.25B,67.02B,48.48B,790.00M,2.495B,4.276B
EXC,2012-06,-2.313B,1.349B,4.447B,1.192B,482.00M,0.34,0.33,2.625B,43.53B,1.519B,2012-06,999.00M,286.00M,-256.00M,-256.00M,42.61B,10.82B,18.17B,771.00M,3.758B,415.00M,126.00M,5.966B,22.03B,77.43B,0,11.75B,8.083B,55.11B,65.68B,47.03B,748.00M,2.306B,4.321B
EXC,2012-03,-2.199B,721.00M,3.733B,1.299B,517.00M,0.28,0.28,2.625B,50.87B,957.00M,2012-03,942.00M,200.00M,-195.00M,-195.00M,42.10B,10.70B,17.46B,381.00M,4.227B,358.00M,158.00M,4.69B,21.82B,77.63B,0,11.82B,9.052B,55.53B,65.81B,46.47B,576.00M,2.735B,4.448B
EXC,2011-12,-2.45B,1.016B,6.615B,1.216B,1.00M,0.91,0.91,2.625B,41.35B,-2.257B,2011-12,864.00M,606.00M,-181.00M,-181.00M,32.57B,8.253B,12.19B,1.063B,3.048B,1.03B,423.00M,4.358B,14.38B,55.00B,9.107B,5.713B,5.134B,40.61B,49.28B,35.47B,-3.32B,1.793B,2.629B
EXC,2011-09,-2.54B,1.071B,2.121B,1.926B,0,0.91,0.9,2.625B,40.96B,3.133B,2011-09,851.00M,601.00M,-182.00M,-182.00M,31.88B,7.958B,12.56B,1.181B,2.441B,857.00M,255.00M,5.254B,14.36B,54.16B,0,6.287B,4.977B,39.80B,47.87B,34.82B,1.952B,1.388B,2.615B
EXC,2011-06,-2.509B,562.00M,1.716B,1.413B,0,0.93,0.93,2.625B,0,2.78B,2011-06,786.00M,620.00M,-182.00M,-182.00M,30.86B,7.391B,12.15B,1.034B,2.175B,953.00M,332.00M,4.496B,14.11B,51.99B,0,4.987B,4.268B,37.87B,47.00B,33.60B,1.746B,1.297B,2.463B
EXC,2011-03,-2.397B,487.00M,2.001B,1.324B,0,1.01,1.01,2.625B,0,2.955B,2011-03,728.00M,668.00M,-181.00M,-181.00M,30.55B,7.215B,12.15B,1.202B,2.183B,1.115B,446.00M,4.956B,13.93B,51.38B,0,4.659B,4.171B,37.44B,46.72B,33.27B,1.753B,1.331B,2.347B
