Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
PPL,2020-12,-4.22B,708.00M,816.00M,3.236B,300.00M,0.38,0.38,4.038B,47.89B,1.113B,2020-12,361.00M,290.00M,-244.00M,-244.00M,38.89B,4.283B,21.55B,704.00M,1.678B,369.00M,79.00M,1.929B,13.37B,48.12B,8.00M,2.768B,5.977B,34.74B,45.35B,28.77B,409.00M,1.375B,1.379B
PPL,2020-09,-3.927B,746.00M,796.00M,2.893B,298.00M,0.37,0.37,4.046B,47.14B,1.089B,2020-09,351.00M,281.00M,-248.00M,-248.00M,38.32B,4.302B,21.24B,687.00M,1.661B,490.00M,209.00M,1.885B,13.69B,47.92B,8.00M,2.695B,5.442B,34.24B,45.23B,28.80B,402.00M,1.276B,1.212B
PPL,2020-06,-4.602B,1.278B,758.00M,2.886B,267.00M,0.45,0.45,3.816B,45.13B,981.00M,2020-06,333.00M,344.00M,-252.00M,-252.00M,36.78B,3.961B,21.10B,595.00M,1.431B,418.00M,74.00M,1.739B,13.04B,46.52B,8.00M,3.268B,5.168B,33.48B,43.25B,28.31B,386.00M,1.199B,1.159B
PPL,2020-03,-4.366B,915.00M,840.00M,2.866B,265.00M,0.72,0.72,3.926B,45.13B,1.214B,2020-03,320.00M,554.00M,-247.00M,-247.00M,36.84B,3.821B,20.67B,817.00M,1.604B,694.00M,140.00M,2.054B,13.24B,46.33B,8.00M,2.956B,5.322B,33.09B,43.37B,27.76B,397.00M,1.252B,1.271B
PPL,2019-12,-4.358B,815.00M,871.00M,2.323B,261.00M,0.49,0.48,3.941B,44.65B,1.083B,2019-12,332.00M,364.00M,-244.00M,-244.00M,36.48B,3.697B,20.72B,693.00M,1.666B,445.00M,81.00M,1.954B,12.99B,45.68B,8.00M,2.767B,4.90B,32.69B,42.91B,27.79B,390.00M,1.372B,1.296B
PPL,2019-09,-4.272B,670.00M,824.00M,1.387B,262.00M,0.66,0.65,3.759B,42.94B,1.109B,2019-09,295.00M,475.00M,-256.00M,-256.00M,35.11B,3.683B,21.55B,726.00M,1.584B,593.00M,118.00M,1.933B,11.90B,44.56B,7.00M,2.534B,3.84B,32.66B,42.02B,28.82B,383.00M,1.238B,1.167B
PPL,2019-06,-3.996B,406.00M,788.00M,1.772B,265.00M,0.61,0.6,3.849B,42.82B,1.015B,2019-06,286.00M,441.00M,-243.00M,-243.00M,35.13B,3.569B,20.96B,640.00M,1.454B,525.00M,84.00M,1.803B,11.98B,44.20B,7.00M,2.231B,4.063B,32.22B,41.97B,28.16B,375.00M,1.239B,1.197B
PPL,2019-03,-3.647B,518.00M,934.00M,1.63B,260.00M,0.65,0.64,3.988B,42.94B,1.145B,2019-03,274.00M,466.00M,-235.00M,-235.00M,35.31B,3.535B,21.11B,781.00M,1.565B,592.00M,126.00M,2.079B,12.17B,44.57B,7.00M,2.429B,4.061B,32.40B,42.14B,28.33B,364.00M,1.233B,1.309B
PPL,2018-12,-3.964B,621.00M,927.00M,1.96B,257.00M,0.57,0.57,3.879B,41.87B,1.012B,2018-12,303.00M,415.00M,-244.00M,-244.00M,34.46B,3.358B,20.07B,657.00M,1.673B,511.00M,96.00M,1.939B,11.66B,43.40B,7.00M,2.432B,4.563B,31.74B,40.96B,27.18B,355.00M,1.395B,1.266B
PPL,2018-09,-3.648B,842.00M,834.00M,1.879B,265.00M,0.63,0.62,3.942B,41.32B,1.038B,2018-09,295.00M,445.00M,-241.00M,-241.00M,34.02B,3.285B,19.92B,686.00M,1.548B,548.00M,103.00M,1.872B,11.78B,43.04B,7.00M,2.545B,4.383B,31.26B,40.50B,26.88B,352.00M,1.222B,1.153B
