Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CNC,2016-06,43.00M,3.153B,9.398B,845.00M,212.00M,0.5,0.485,6.316B,626.00M,1.499B,2016-06,170.00M,-52.00M,-52.00M,626.00M,0,3.649B,377.00M,3.807B,357.00M,187.00M,10.90B,1.079B,5.529B,19.50B,0,7.853B,8.814B,13.96B,11.64B,5.142B,1.122B,3.807B,3.488B
CNC,2016-03,10.00M,3.705B,6.128B,4.00M,197.00M,-0.065,-0.065,6.088B,580.00M,825.00M,2016-03,-16.00M,-33.00M,-33.00M,580.00M,0,4.276B,20.00M,3.807B,2.00M,16.00M,6.953B,796.00M,5.297B,18.65B,0,7.551B,7.871B,13.34B,11.10B,5.472B,805.00M,3.807B,2.529B
CNC,2015-12,-10.00M,1.936B,5.511B,5.00M,143.00M,0.465,0.45,997.00M,869.00M,791.00M,2015-12,111.00M,-11.00M,-11.00M,518.00M,0,1.216B,220.00M,1.183B,217.00M,105.00M,6.302B,565.00M,2.157B,7.339B,0,3.605B,3.629B,5.171B,3.734B,1.542B,571.00M,1.183B,1.279B
CNC,2015-09,-2.00M,1.827B,5.12B,5.00M,66.00M,0.39,0.38,1.01B,488.00M,701.00M,2015-09,93.00M,-11.00M,-11.00M,488.00M,0,1.276B,183.00M,1.348B,180.00M,87.00M,5.821B,512.00M,2.051B,7.322B,0,3.596B,3.563B,5.269B,3.726B,1.706B,518.00M,1.348B,1.281B
CNC,2015-06,-4.00M,2.107B,4.839B,5.00M,68.00M,0.37,0.36,959.00M,462.00M,667.00M,2015-06,88.00M,-11.00M,-11.00M,462.00M,0,1.139B,173.00M,1.293B,172.00M,84.00M,5.506B,489.00M,1.94B,7.022B,0,3.838B,3.458B,5.082B,3.184B,1.624B,494.00M,1.293B,1.248B
CNC,2015-03,-1.00M,1.817B,4.544B,5.00M,117.00M,0.265,0.255,917.00M,450.00M,587.00M,2015-03,63.00M,-10.00M,-10.00M,450.00M,0,1.123B,129.00M,1.271B,128.00M,63.00M,5.131B,451.00M,1.837B,6.696B,0,3.59B,3.343B,4.859B,3.106B,1.516B,458.00M,1.271B,1.245B
CNC,2014-12,-1.00M,1.787B,4.136B,5.00M,168.00M,0.455,0.44,874.00M,733.00M,588.00M,2014-12,107.00M,-10.00M,-10.00M,445.00M,0,874.00M,193.00M,1.004B,193.00M,89.00M,4.724B,379.00M,1.744B,5.824B,0,2.951B,2.90B,4.081B,2.873B,1.181B,395.00M,1.004B,912.00M
CNC,2014-09,-0.605M,1.750B,3.878B,5.131M,94.96M,0.35,0.34,880.36M,424.23M,474.00M,2014-09,82.00M,-9.00M,-9.00M,424.23M,0,949.72M,108.00M,926.78M,105.00M,27.00M,4.352B,366.00M,1.633B,5.446B,0.061M,2.768B,2.634B,3.805B,2.679B,1.171B,366.00M,926.78M,685.19M
CNC,2014-06,2.214M,1.386B,3.579B,6.135M,22.47M,0.21,0.205,723.97M,423.90M,445.00M,2014-06,49.00M,-9.00M,-9.00M,423.90M,0,884.89M,93.00M,670.34M,91.00M,45.00M,4.024B,352.00M,1.476B,4.683B,0.061M,2.325B,2.118B,3.197B,2.358B,1.079B,352.00M,670.34M,610.97M
CNC,2014-03,-0.614M,1.370B,3.063B,6.11M,74.26M,0.145,0.14,742.68M,412.70M,397.00M,2014-03,33.00M,-7.00M,-7.00M,412.70M,0,810.97M,70.00M,614.54M,68.00M,35.00M,3.46B,327.00M,1.413B,4.446B,0.061M,2.282B,2.021B,3.024B,2.165B,1.003B,327.00M,614.54M,570.10M
