Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
HIG,2021-03,1.17B,48.47B,0,0.68,0.67,2.861B,2021-03,249.00M,4.493B,-57.00M,-57.00M,1.122B,4.352B,0,303.00M,54.00M,5.299B,0,18.56B,74.11B,338.00M,58.75B,0,55.56B,60.30B,48.84B,7.00M,0,10.28B
HIG,2020-12,856.00M,47.62B,0,1.48,1.47,2.884B,2020-12,537.00M,4.461B,-57.00M,-57.00M,1.144B,4.351B,0,652.00M,115.00M,5.125B,0,17.80B,72.32B,338.00M,57.73B,0,54.52B,58.85B,48.42B,0,0,10.12B
HIG,2020-09,479.00M,46.16B,0,1.26,1.26,2.907B,2020-09,459.00M,4.399B,-58.00M,-58.00M,1.135B,4.35B,0,532.00M,73.00M,5.171B,0,17.07B,70.99B,338.00M,56.39B,0,53.92B,57.44B,48.09B,-69.00M,0,10.24B
HIG,2020-06,-957.00M,42.92B,0,1.29,1.29,2.941B,2020-06,468.00M,4.353B,-57.00M,-57.00M,1.161B,4.349B,0,592.00M,124.00M,5.068B,0,15.27B,68.72B,338.00M,53.08B,0,53.46B,54.82B,47.74B,18.00M,0,10.15B
HIG,2020-03,52.00M,45.25B,500.00M,0.7476,0.7422,2.983B,2020-03,273.00M,4.215B,-64.00M,-64.00M,1.181B,4.348B,0,344.00M,71.00M,4.956B,0,16.27B,70.82B,338.00M,55.16B,500.00M,54.55B,57.47B,47.50B,19.00M,0,9.911B
HIG,2019-12,214.00M,45.52B,500.00M,1.51,1.49,3.039B,2019-12,548.00M,3.736B,-65.00M,-65.00M,1.194B,4.346B,0,676.00M,128.00M,5.129B,0,16.08B,70.26B,338.00M,55.44B,500.00M,54.18B,56.83B,47.35B,19.00M,0,9.913B
HIG,2019-09,-198.00M,43.76B,500.00M,1.45,1.43,3.104B,2019-09,535.00M,3.612B,-67.00M,-67.00M,1.222B,4.05B,0,653.00M,118.00M,5.347B,0,15.29B,69.47B,338.00M,53.88B,500.00M,54.18B,55.69B,46.99B,-71.00M,0,10.12B
HIG,2019-06,-885.00M,41.13B,499.00M,1.03,1.02,1.934B,2019-06,372.00M,3.637B,-63.00M,-63.00M,1.145B,3.767B,0,456.00M,84.00M,5.092B,0,14.34B,63.32B,338.00M,49.63B,499.00M,48.98B,51.17B,42.22B,15.00M,0,8.501B
HIG,2019-03,-1.579B,40.05B,413.00M,1.736,1.714,1.947B,2019-03,630.00M,3.704B,-64.00M,-64.00M,1.006B,4.265B,0,775.00M,145.00M,4.94B,0,13.10B,62.31B,338.00M,48.40B,413.00M,49.21B,50.00B,42.58B,13.00M,0,8.352B
HIG,2018-12,-1.519B,39.81B,413.00M,0.53,0.52,1.941B,2018-12,196.00M,3.559B,-70.00M,-70.00M,997.00M,4.263B,0,167.00M,-29.00M,4.428B,0,12.73B,61.44B,4.00M,47.76B,413.00M,48.71B,49.66B,41.95B,14.00M,0,7.956B
HIG,2018-09,-1.353B,39.64B,413.00M,0.01,0.01,1.959B,2018-09,432.00M,3.355B,-69.00M,-69.00M,1.013B,4.262B,0,530.00M,103.00M,4.842B,0,12.55B,60.78B,4.00M,47.55B,413.00M,48.23B,49.01B,41.79B,18.00M,0,7.913B
HIG,2018-06,-239.00M,39.66B,413.00M,0.41,0.41,1.977B,2018-06,582.00M,3.221B,-79.00M,-79.00M,1.018B,4.755B,0,537.00M,103.00M,4.789B,0,13.14B,216.67B,4.00M,47.69B,413.00M,203.52B,48.24B,42.42B,12.00M,0,8.033B
HIG,2018-03,663.00M,40.43B,320.00M,0.47,0.47,1.949B,2018-03,597.00M,3.175B,-80.00M,-80.00M,1.034B,4.678B,0,519.00M,91.00M,4.691B,0,13.49B,225.26B,4.00M,48.40B,320.00M,211.77B,48.68B,42.29B,18.00M,0,7.971B
HIG,2017-12,585.00M,62.87B,320.00M,-10.37,-10.37,567.00M,2017-12,-3.703B,7.476B,-78.00M,-78.00M,962.00M,4.818B,0,422.00M,980.00M,4.587B,0,17.23B,224.21B,4.00M,90.00B,320.00M,206.98B,73.83B,38.58B,11.00M,0,27.13B
HIG,2017-09,494.00M,63.97B,320.00M,0.65,0.64,567.00M,2017-09,234.00M,7.229B,-79.00M,-79.00M,974.00M,4.817B,0,181.00M,36.00M,4.192B,0,17.29B,225.86B,4.00M,91.08B,320.00M,208.58B,74.33B,38.23B,1.00M,0,27.11B
HIG,2017-06,-207.00M,62.48B,320.00M,0.31,-0.1093,567.00M,2017-06,-40.00M,7.127B,-79.00M,-79.00M,984.00M,4.817B,0,-281.00M,-129.00M,4.214B,0,17.01B,225.39B,4.00M,89.65B,320.00M,208.38B,72.82B,38.11B,1.00M,0,27.17B
HIG,2017-03,-337.00M,35.35B,416.00M,1.02,1,611.00M,2017-03,378.00M,2.886B,-80.00M,-80.00M,991.00M,4.494B,0,401.00M,98.00M,4.169B,0,16.90B,224.58B,4.00M,42.74B,416.00M,207.67B,42.56B,38.20B,1.00M,0,7.389B
HIG,2016-12,987.00M,64.13B,690.00M,-1.766,-1.766,567.00M,2016-12,-81.00M,7.043B,-70.00M,-70.00M,1.001B,4.635B,0,-632.00M,-268.00M,2.47B,0,18.66B,228.43B,5.00M,90.92B,690.00M,209.77B,74.14B,10.26B,0,0,26.79B
