Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
TPR,2014-06,-8.70M,868.60M,429.80M,140.50M,0.27,0.27,371.20M,0,706.40M,2014-06,526.20M,75.20M,0.60M,0.60M,713.90M,0,0,99.80M,672.60M,100.40M,25.20M,1.136B,606.60M,2.421B,3.663B,2.70M,1.855B,813.10M,1.242B,1.808B,429.40M,606.60M,246.50M,198.60M
TPR,2014-03,-16.30M,774.90M,318.30M,210.48M,0.69,0.68,363.42M,0,781.30M,2014-03,583.74M,190.70M,-2.00M,-2.00M,742.02M,0,0,262.70M,577.46M,260.70M,70.00M,1.100B,518.60M,2.389B,3.581B,2.742M,1.790B,787.95M,1.191B,1.791B,403.40M,518.60M,109.80M,197.74M
TPR,2013-12,-24.23M,798.84M,436.90M,0.485M,1.07,1.06,357.85M,0,982.70M,2013-12,553.03M,297.40M,1.90M,1.90M,748.34M,0,0,436.00M,702.41M,437.90M,140.50M,1.420B,546.70M,2.431B,3.544B,2.776M,1.788B,702.90M,1.113B,1.756B,410.20M,546.70M,135.13M,228.63M
TPR,2013-09,-6.765M,854.74M,324.20M,0.50M,0.77,0.77,372.88M,0,826.60M,2013-09,637.21M,217.90M,1.70M,1.70M,720.89M,0,0,321.60M,706.93M,323.30M,105.40M,1.151B,505.00M,2.379B,3.487B,2.804M,1.872B,707.43M,1.109B,1.615B,401.39M,505.00M,164.84M,177.98M
TPR,2013-06,-12.25M,1.135B,335.34M,0.50M,0.79,0.78,354.83M,1.467B,887.36M,2013-06,524.71M,221.32M,1.077M,1.077M,694.77M,169.73M,0.485M,317.71M,722.01M,317.73M,96.41M,1.223B,569.65M,2.409B,3.532B,2.819M,2.071B,722.51M,1.123B,1.461B,400.23M,569.65M,273.86M,175.48M
TPR,2013-03,10.13M,928.50M,307.39M,22.12M,0.85,0.84,359.68M,1.332B,880.19M,2013-03,515.92M,238.93M,1.021M,1.021M,686.60M,138.82M,0.485M,348.49M,592.39M,347.75M,108.82M,1.188B,531.70M,2.244B,3.272B,2.809M,1.894B,614.51M,1.028B,1.378B,413.64M,531.70M,137.14M,177.14M
TPR,2012-12,37.23M,858.66M,418.39M,22.22M,1.25,1.23,386.70M,1.166B,1.085B,2012-12,493.66M,352.76M,0.266M,0.266M,701.27M,162.57M,0.485M,526.58M,746.71M,525.34M,172.57M,1.504B,558.80M,2.082B,3.279B,2.806M,1.848B,768.94M,1.197B,1.431B,428.16M,558.80M,152.57M,223.04M
TPR,2012-09,58.68M,760.76M,316.18M,22.28M,0.78,0.77,426.24M,0,845.17M,2012-09,598.13M,221.38M,0.036M,0.036M,687.48M,0,0.985M,331.72M,708.62M,329.68M,108.30M,1.161B,513.45M,1.994B,3.151B,2.836M,1.769B,730.90M,1.157B,1.383B,426.38M,513.45M,133.00M,178.31M
TPR,2012-06,50.48M,917.22M,317.04M,22.38M,0.87,0.86,385.82M,0,838.15M,2012-06,504.49M,251.43M,0.365M,0.365M,644.45M,0,0.985M,351.63M,695.78M,350.11M,98.68M,1.155B,486.52M,1.993B,3.104B,2.851M,1.805B,718.16M,1.111B,1.300B,393.23M,486.52M,241.18M,174.46M
TPR,2012-03,44.06M,929.67M,290.91M,0.847M,0.78,0.77,374.48M,0,818.07M,2012-03,475.36M,225.00M,0.257M,0.257M,602.68M,0,22.61M,337.49M,622.39M,335.82M,110.82M,1.109B,480.58M,1.939B,2.985B,2.874M,1.760B,623.23M,1.046B,1.225B,422.74M,480.58M,107.39M,169.47M
TPR,2011-12,66.04M,1.086B,403.44M,0.804M,1.2,1.18,361.78M,0,1.045B,2011-12,429.03M,347.50M,-0.016M,-0.016M,595.83M,0,23.16M,500.90M,810.19M,499.13M,151.64M,1.449B,544.31M,1.869B,3.101B,2.875M,1.896B,811.00M,1.232B,1.205B,421.16M,544.31M,136.73M,212.04M
TPR,2011-09,61.73M,847.98M,285.71M,0.80M,0.74,0.73,361.77M,0,764.65M,2011-09,519.59M,214.98M,0.114M,0.114M,586.91M,0,23.26M,321.97M,630.57M,320.60M,105.62M,1.050B,442.69M,1.817B,2.878B,2.914M,1.689B,631.37M,1.062B,1.189B,430.20M,442.69M,144.24M,153.06M
TPR,2011-06,54.91M,702.04M,291.14M,0.795M,0.7,0.68,340.79M,0,740.54M,2011-06,421.83M,202.48M,0.261M,0.261M,582.35M,0,23.36M,312.09M,414.81M,310.68M,108.20M,1.032B,428.45M,1.613B,2.635B,2.886M,1.452B,593.02M,1.023B,1.183B,429.53M,428.45M,183.87M,142.90M
TPR,2011-03,42.55M,886.16M,259.05M,0.791M,0.63,0.62,328.82M,0,691.66M,2011-03,391.44M,186.02M,0.292M,0.292M,552.84M,0,23.45M,253.84M,549.24M,253.00M,66.98M,950.71M,437.82M,1.743B,2.722B,2.933M,1.562B,550.03M,979.21M,1.159B,429.18M,437.82M,92.63M,131.73M
