Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
AKAM,2020-12,-20.20M,1.098B,303.85M,154.80M,76.60M,0.7,0.68,1.909B,4.314B,542.44M,2020-12,113.37M,-11.07M,-11.07M,2.272B,42.72M,2.622B,165.85M,492.75M,128.96M,4.158M,67.23M,846.29M,277.86M,4.251B,7.764B,1.627M,1.930B,758.17M,3.513B,5.835B,2.755B,376.59M,204.75M,660.05M
AKAM,2020-09,-45.85M,1.444B,283.44M,136.29M,88.94M,0.97,0.95,1.783B,2.129B,509.41M,2020-09,158.62M,-11.02M,-11.02M,2.129B,35.90M,2.572B,182.23M,484.66M,167.98M,8.801M,66.77M,792.84M,231.14M,4.108B,7.514B,1.641M,2.243B,717.12M,3.407B,5.271B,2.690B,327.18M,114.85M,630.41M
AKAM,2020-06,-57.31M,1.373B,276.80M,138.48M,93.65M,1,0.98,1.790B,2.018B,517.91M,2020-06,161.92M,-7.747M,-7.747M,2.018B,34.09M,2.547B,190.60M,417.60M,181.08M,18.67M,64.09M,794.72M,229.29M,3.904B,7.225B,1.638M,2.193B,657.42M,3.321B,5.032B,2.663B,327.31M,153.96M,644.66M
AKAM,2020-03,-79.00M,1.249B,268.58M,141.88M,99.10M,0.76,0.75,1.800B,1.919B,495.72M,2020-03,123.15M,-10.16M,-10.16M,1.919B,33.23M,2.529B,162.99M,379.54M,138.06M,14.29M,71.22M,764.30M,228.41M,3.672B,6.948B,1.631M,2.015B,630.25M,3.276B,4.933B,2.645B,332.73M,114.10M,613.81M
AKAM,2019-12,-45.14M,1.537B,257.75M,139.46M,71.22M,0.74,0.73,1.780B,3.790B,514.37M,2019-12,119.10M,-5.273M,-5.273M,1.911B,33.56M,2.532B,156.32M,467.90M,129.44M,10.63M,68.90M,772.12M,257.69M,3.658B,7.007B,1.62M,2.232B,693.34M,3.349B,4.775B,2.656B,358.05M,210.19M,551.94M
AKAM,2019-09,-56.42M,1.570B,246.94M,86.96M,98.84M,0.85,0.84,1.750B,1.429B,462.97M,2019-09,137.89M,-4.219M,-4.219M,1.429B,26.32M,2.120B,143.21M,412.52M,138.32M,-0.96M,64.89M,709.91M,225.36M,3.502B,6.357B,1.652M,2.254B,602.52M,2.856B,4.104B,2.253B,319.77M,108.19M,516.66M
AKAM,2019-06,-42.48M,1.042B,242.19M,96.16M,110.75M,0.7,0.69,1.763B,1.379B,462.88M,2019-06,113.92M,-2.036M,-2.036M,1.379B,30.30M,1.192B,137.10M,376.55M,133.17M,19.25M,61.44M,705.07M,235.00M,3.395B,5.343B,1.649M,1.745B,590.81M,1.948B,3.598B,1.358B,325.78M,126.54M,523.38M
AKAM,2019-03,-46.98M,1.119B,240.74M,101.54M,110.67M,0.66,0.65,1.772B,1.310B,465.76M,2019-03,107.13M,-3.481M,-3.481M,1.310B,25.88M,1.177B,141.36M,340.90M,131.56M,24.42M,66.14M,706.51M,229.49M,3.283B,5.183B,1.64M,1.818B,569.71M,1.900B,3.364B,1.330B,324.40M,102.37M,529.35M
AKAM,2018-12,-48.91M,1.892B,243.93M,686.55M,69.08M,0.58,0.57,1.656B,2.588B,469.44M,2018-12,94.02M,-7.274M,-7.274M,910.62M,24.18M,874.08M,134.34M,417.32M,113.07M,19.06M,60.34M,713.36M,245.11M,3.192B,5.462B,1.629M,2.535B,1.211B,2.270B,2.926B,1.059B,335.10M,158.67M,479.89M
AKAM,2018-09,-48.22M,1.802B,239.25M,680.56M,93.73M,0.65,0.64,1.666B,884.48M,430.38M,2018-09,107.58M,-5.308M,-5.308M,884.48M,24.04M,864.68M,116.13M,401.32M,110.77M,3.187M,61.05M,669.63M,225.61M,3.156B,5.364B,1.722M,2.430B,1.196B,2.208B,2.934B,1.012B,314.25M,96.05M,466.36M
