Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
STT,2021-03,-418.00M,172.68B,842.00M,1.39,1.37,9.636B,7.735B,2021-03,519.00M,31.47B,2.775B,13.84B,31.72B,627.00M,108.00M,2.65B,1.685B,25.00B,316.88B,2.48B,191.72B,33.15B,291.88B,157.18B,258.73B,1.733B,0,5.18B
STT,2020-12,187.00M,179.53B,3.987B,1.41,1.39,9.51B,7.699B,2020-12,537.00M,27.80B,2.874B,13.80B,27.50B,641.00M,104.00M,2.643B,1.557B,26.20B,314.71B,2.975B,192.79B,34.90B,288.51B,158.92B,253.60B,1.584B,0,3.968B
STT,2020-09,-111.00M,142.71B,10.66B,1.47,1.45,9.477B,7.726B,2020-09,555.00M,26.90B,2.982B,13.85B,22.06B,681.00M,126.00M,2.524B,1.481B,25.56B,272.08B,2.975B,157.55B,35.15B,246.52B,158.76B,211.37B,1.525B,0,4.208B
STT,2020-06,-430.00M,150.17B,12.17B,1.88,1.86,9.452B,7.605B,2020-06,694.00M,26.72B,3.014B,15.59B,23.63B,803.00M,109.00M,2.672B,1.446B,24.87B,280.24B,2.975B,165.03B,39.32B,255.37B,154.77B,216.05B,1.492B,0,5.611B
STT,2020-03,-920.00M,208.57B,30.50B,1.64,1.62,9.469B,7.499B,2020-03,634.00M,32.28B,3.04B,15.54B,30.15B,774.00M,140.00M,2.784B,1.625B,23.86B,362.53B,2.975B,225.84B,66.02B,338.67B,176.32B,272.64B,1.672B,0,6.067B
STT,2019-12,-876.00M,126.14B,839.00M,1.75,1.73,9.586B,7.507B,2019-12,564.00M,26.24B,3.14B,12.51B,24.86B,638.00M,74.00M,2.766B,1.556B,24.43B,245.61B,3.466B,137.08B,26.80B,221.18B,140.21B,194.38B,1.534B,0,4.308B
STT,2019-09,-985.00M,120.74B,7.073B,1.44,1.42,9.577B,7.375B,2019-09,583.00M,26.94B,3.14B,11.46B,28.65B,721.00M,138.00M,2.603B,1.504B,25.21B,244.61B,4.194B,133.94B,37.06B,219.40B,139.27B,182.34B,1.536B,0,4.695B
STT,2019-06,-874.00M,119.58B,4.939B,1.44,1.42,9.72B,7.211B,2019-06,587.00M,25.35B,3.12B,11.37B,27.35B,718.00M,131.00M,2.593B,1.49B,25.45B,241.54B,4.194B,130.69B,34.12B,216.09B,135.90B,181.97B,1.537B,0,5.20B
STT,2019-03,-1.18B,107.39B,947.00M,1.2,1.18,9.757B,7.066B,2019-03,508.00M,23.31B,3.129B,11.18B,27.27B,635.00M,127.00M,2.661B,1.634B,25.04B,228.33B,4.194B,118.72B,29.64B,203.29B,131.24B,173.65B,1.685B,0,5.106B
STT,2018-12,-1.356B,121.46B,3.092B,1.05,1.04,9.815B,6.366B,2018-12,437.00M,25.72B,2.214B,11.09B,24.23B,529.00M,92.00M,2.73B,1.862B,24.74B,244.60B,4.194B,135.99B,28.41B,219.86B,130.74B,191.45B,1.907B,0,4.171B
STT,2018-09,-1.711B,113.99B,1.009B,1.89,1.87,7.477B,6.303B,2018-09,764.00M,23.10B,2.193B,10.34B,28.22B,893.00M,129.00M,2.727B,1.435B,24.55B,234.01B,4.194B,128.00B,30.92B,209.45B,124.96B,178.53B,1.482B,0,4.578B
STT,2018-06,-1.488B,127.73B,1.103B,1.91,1.88,7.473B,6.188B,2018-06,733.00M,23.72B,2.189B,10.39B,24.50B,891.00M,158.00M,2.777B,1.529B,22.57B,248.31B,3.70B,142.52B,28.69B,225.74B,126.95B,197.05B,1.577B,0,4.635B
STT,2018-03,-1.074B,126.40B,1.066B,1.64,1.62,7.646B,6.199B,2018-03,659.00M,29.12B,2.194B,10.94B,22.34B,788.00M,129.00M,2.775B,1.639B,22.40B,250.29B,3.70B,140.53B,25.43B,227.89B,129.74B,202.46B,1.689B,0,4.603B
STT,2017-12,-1.009B,126.58B,1.144B,0.91,0.89,7.635B,6.067B,2017-12,349.00M,22.84B,2.186B,11.62B,15.61B,813.00M,464.00M,2.682B,1.356B,22.32B,238.42B,3.70B,138.32B,19.59B,216.11B,134.47B,196.52B,1.245B,0,4.128B
STT,2017-09,-984.00M,121.26B,1.253B,1.69,1.66,7.655B,5.917B,2017-09,685.00M,23.15B,2.167B,11.72B,17.39B,822.00M,137.00M,2.607B,1.446B,22.50B,235.99B,3.70B,158.16B,22.51B,213.49B,130.63B,190.98B,1.464B,0,28.30B
STT,2017-06,-1.27B,125.92B,1.465B,1.56,1.53,7.638B,5.748B,2017-06,620.00M,23.84B,2.137B,11.74B,17.73B,776.00M,156.00M,2.57B,1.401B,22.07B,238.27B,3.70B,160.85B,23.05B,216.21B,133.04B,193.15B,1.401B,0,27.16B
STT,2017-03,-1.805B,128.62B,1.177B,1.17,1.15,7.565B,5.564B,2017-03,502.00M,21.98B,2.101B,11.39B,15.47B,584.00M,82.00M,2.436B,1.483B,21.29B,236.80B,3.70B,162.00B,20.65B,215.51B,130.22B,194.86B,1.506B,0,27.73B
STT,2016-12,-2.04B,134.38B,1.585B,1.45,1.43,7.564B,5.395B,2016-12,593.00M,19.20B,2.062B,11.43B,16.90B,345.00M,-248.00M,2.334B,1.655B,21.22B,242.70B,3.70B,169.37B,22.89B,221.48B,131.96B,198.59B,1.663B,0,25.38B
STT,2016-09,-993.00M,154.24B,1.385B,1.31,1.29,7.76B,5.313B,2016-09,563.00M,20.60B,2.042B,11.83B,17.58B,636.00M,72.00M,2.382B,1.329B,22.15B,256.14B,3.70B,165.26B,23.36B,233.96B,159.05B,210.60B,1.295B,0,4.712B
STT,2016-06,-997.00M,152.72B,1.683B,1.48,1.47,7.353B,5.158B,2016-06,619.00M,18.91B,1.994B,11.92B,22.17B,709.00M,92.00M,2.348B,1.28B,22.07B,255.39B,3.70B,168.86B,28.23B,233.28B,155.92B,205.05B,1.309B,0,5.002B
STT,2016-03,-964.00M,139.99B,1.683B,0.8,0.79,7.482B,6.878B,2016-03,368.00M,18.24B,1.949B,10.32B,20.39B,430.00M,62.00M,2.26B,1.401B,21.50B,243.68B,3.207B,154.92B,26.32B,222.16B,156.53B,195.84B,1.346B,0,5.015B
STT,2015-12,-1.442B,146.74B,1.754B,1.36,1.34,7.439B,6.714B,2015-12,576.00M,18.18B,1.894B,11.50B,14.64B,680.00M,103.00M,2.394B,1.398B,21.10B,245.16B,3.207B,179.74B,20.90B,224.02B,132.23B,203.12B,1.416B,0,24.53B
STT,2015-09,-1.101B,152.25B,3.761B,1.33,1.31,7.536B,6.752B,2015-09,581.00M,18.10B,1.984B,12.02B,15.80B,647.00M,67.00M,2.342B,1.349B,21.50B,247.27B,3.207B,172.13B,27.35B,225.74B,152.00B,198.39B,1.394B,0,5.026B
STT,2015-06,-1.011B,205.30B,4.756B,0.95,0.93,7.60B,6.815B,2015-06,418.00M,17.60B,2.035B,9.085B,17.65B,472.00M,54.00M,2.368B,1.261B,21.50B,294.57B,3.207B,220.48B,33.40B,273.07B,156.17B,239.68B,1.054B,0,5.239B
