Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
GS,2021-03,-1.434B,191.00B,58.00B,18.8,18.6,4.962B,35.55B,2021-03,6.836B,121.00B,25.43B,219.00B,224.00B,8.337B,1.501B,17.70B,6.123B,98.00B,1.302T,11.21B,680.00B,475.00B,1.204T,622.00B,706.00B,6.621B,224.00B,165.00B
GS,2020-12,-635.00M,156.37B,66.09B,12.23,12.08,4.965B,25.78B,2020-12,4.506B,116.12B,25.78B,228.30B,201.26B,5.541B,1.035B,14.57B,2.568B,95.93B,1.163T,11.21B,462.40B,393.92B,1.067T,559.00B,649.92B,3.066B,193.81B,128.39B
GS,2020-09,-341.00M,153.20B,59.76B,9.07,8.98,4.792B,26.04B,2020-09,3.367B,111.84B,26.04B,229.46B,199.30B,4.299B,932.00M,9.87B,3.187B,92.65B,1.132T,11.21B,437.40B,360.34B,1.039T,567.26B,660.12B,3.655B,190.47B,118.41B
GS,2020-06,1.937B,132.60B,56.56B,0.53,0.53,4.81B,25.90B,2020-06,373.00M,117.09B,25.90B,238.55B,213.65B,1.291B,918.00M,12.35B,4.567B,90.03B,1.142T,11.21B,439.80B,358.50B,1.051T,558.92B,675.41B,5.066B,202.88B,113.41B
GS,2020-03,-1.484B,105.49B,61.24B,3.12,3.11,4.837B,34.20B,2020-03,1.213B,128.45B,24.25B,240.86B,224.71B,1.348B,135.00M,7.768B,3.388B,92.38B,1.090T,11.21B,439.32B,381.82B,997.38B,528.76B,600.57B,3.825B,216.35B,126.93B
GS,2019-12,-484.00M,133.58B,55.61B,4.74,4.69,4.886B,23.59B,2019-12,1.917B,108.90B,23.59B,221.41B,185.40B,2.321B,404.00M,12.39B,3.246B,90.26B,992.97B,11.21B,344.92B,358.77B,902.70B,512.00B,527.24B,3.71B,177.76B,80.40B
GS,2019-09,-815.00M,94.09B,57.21B,4.83,4.79,4.114B,32.31B,2019-09,1.877B,85.84B,22.66B,231.11B,197.95B,2.416B,539.00M,7.47B,2.90B,92.01B,1.007T,11.21B,321.89B,364.60B,915.31B,545.06B,419.37B,3.373B,191.34B,89.49B
GS,2019-06,-613.00M,91.09B,57.14B,5.86,5.81,4.092B,31.06B,2019-06,2.421B,83.77B,21.66B,234.10B,194.58B,3.127B,706.00M,8.638B,3.503B,90.89B,944.90B,11.21B,319.14B,322.61B,854.01B,487.31B,405.17B,3.902B,188.31B,90.41B
GS,2019-03,693.00M,87.88B,52.38B,5.73,5.71,4.082B,27.40B,2019-03,2.251B,82.67B,18.32B,239.69B,189.96B,2.719B,468.00M,8.045B,3.443B,90.27B,925.35B,11.21B,299.85B,312.91B,835.08B,477.54B,407.06B,3.811B,184.08B,79.52B
GS,2018-12,0,130.55B,50.06B,6.11,6.04,0,0,2018-12,2.538B,97.84B,0,236.03B,189.32B,2.708B,170.00M,10.45B,2.065B,90.18B,931.80B,0,393.70B,318.10B,841.61B,402.81B,510.14B,2.442B,183.10B,79.05B
GS,2018-09,-1.839B,118.87B,55.47B,6.35,6.28,4.101B,27.21B,2018-09,2.524B,76.01B,18.30B,242.15B,197.70B,3.078B,554.00M,8.106B,3.186B,86.76B,957.19B,11.21B,352.86B,339.10B,870.43B,449.44B,400.58B,3.503B,192.59B,90.54B
GS,2018-06,-958.00M,131.42B,58.74B,6.04,5.98,4.106B,25.84B,2018-06,2.565B,74.08B,17.11B,239.40B,200.92B,3.276B,711.00M,8.824B,3.578B,86.60B,968.61B,11.21B,362.53B,352.88B,882.01B,443.26B,398.72B,3.913B,195.41B,95.93B
GS,2018-03,-1.77B,120.50B,63.74B,7.02,6.95,4.049B,24.39B,2018-03,2.832B,71.70B,15.78B,236.69B,198.34B,3.419B,587.00M,9.236B,4.239B,83.58B,973.54B,11.21B,367.57B,356.77B,889.96B,428.40B,391.91B,4.538B,193.21B,115.60B
GS,2017-12,-1.88B,110.05B,61.82B,-5.51,-5.51,4.038B,23.37B,2017-12,-1.928B,65.93B,15.09B,227.58B,187.67B,3.108B,5.036B,7.759B,2.132B,82.24B,916.78B,11.86B,324.88B,334.21B,834.53B,401.05B,373.05B,2.482B,182.22B,94.00B
GS,2017-09,-1.716B,116.61B,56.24B,5.09,5.02,4.058B,23.26B,2017-09,2.128B,61.49B,14.80B,223.73B,209.68B,2.976B,848.00M,7.615B,3.31B,86.29B,930.13B,11.21B,327.92B,352.34B,843.84B,413.82B,363.06B,3.59B,204.73B,98.77B
GS,2017-06,-1.615B,110.89B,53.05B,4,3.95,4.08B,22.19B,2017-06,1.831B,53.95B,13.98B,216.01B,205.86B,2.509B,678.00M,7.146B,3.374B,86.68B,906.52B,11.21B,328.22B,342.55B,819.84B,399.99B,346.79B,3.639B,201.17B,101.78B
GS,2017-03,-1.37B,123.04B,47.12B,5.23,5.15,4.067B,21.29B,2017-03,2.255B,50.38B,13.37B,211.25B,202.44B,2.539B,284.00M,7.334B,3.425B,86.92B,894.07B,11.21B,329.71B,338.09B,807.15B,376.92B,342.89B,3.682B,197.88B,89.39B
GS,2016-12,-1.216B,121.71B,52.38B,5.17,5.08,4.095B,19.75B,2016-12,2.347B,49.67B,12.07B,198.08B,194.47B,3.397B,1.05B,7.458B,2.379B,86.89B,860.16B,11.21B,313.78B,318.67B,773.27B,361.79B,329.43B,2.646B,190.25B,75.14B
GS,2016-09,-582.00M,99.54B,58.01B,4.96,4.88,4.104B,19.51B,2016-09,2.094B,49.06B,11.35B,198.46B,210.45B,2.868B,774.00M,7.555B,3.299B,87.11B,879.99B,11.21B,282.84B,342.36B,792.88B,357.15B,329.66B,3.546B,206.01B,89.09B
GS,2016-06,-551.00M,103.29B,59.52B,3.77,3.72,4.145B,18.73B,2016-06,1.822B,48.21B,10.75B,193.16B,223.84B,2.463B,641.00M,7.307B,3.443B,86.51B,896.84B,11.21B,298.28B,360.89B,810.33B,343.32B,322.12B,3.688B,219.39B,87.82B
GS,2016-03,-478.00M,79.17B,61.84B,2.71,2.68,4.136B,18.56B,2016-03,1.135B,47.92B,10.61B,191.71B,219.58B,1.576B,441.00M,5.647B,2.784B,86.84B,878.04B,11.21B,289.34B,359.03B,791.20B,349.81B,300.34B,3.023B,212.15B,81.65B
GS,2015-12,-718.00M,93.44B,57.02B,1.28,1.27,4.148B,17.73B,2015-12,765.00M,45.41B,9.956B,186.44B,220.00B,1.072B,307.00M,6.647B,2.207B,86.73B,861.40B,11.21B,310.49B,363.09B,774.67B,373.27B,292.26B,2.492B,211.64B,82.74B
GS,2015-09,-911.00M,65.58B,55.51B,2.95,2.9,4.168B,19.97B,2015-09,1.426B,42.19B,11.67B,188.28B,230.56B,2.046B,620.00M,6.196B,2.474B,87.70B,880.56B,11.21B,300.28B,375.55B,792.86B,348.79B,287.94B,2.696B,224.25B,107.81B
GS,2015-06,-908.00M,60.84B,58.62B,2.01,1.98,4.166B,19.83B,2015-06,1.048B,38.40B,11.60B,183.16B,213.79B,1.726B,678.00M,8.422B,3.956B,87.65B,859.88B,11.21B,288.65B,360.05B,772.22B,357.91B,279.95B,4.221B,207.69B,104.18B
GS,2015-03,-771.00M,63.13B,58.70B,6.05,5.94,4.186B,18.80B,2015-03,2.844B,32.62B,10.20B,174.38B,229.76B,3.934B,1.09B,9.979B,4.598B,85.13B,865.46B,9.209B,283.17B,374.30B,780.33B,373.29B,266.07B,4.817B,224.90B,106.82B
GS,2014-12,-743.00M,57.60B,60.10B,4.5,4.38,4.16B,18.32B,2014-12,2.166B,28.94B,9.344B,175.39B,219.86B,3.21B,1.044B,7.019B,2.096B,82.80B,855.84B,9.209B,288.35B,368.17B,773.04B,355.05B,266.82B,2.448B,215.10B,102.82B
GS,2014-09,-643.00M,54.15B,67.14B,4.69,4.57,4.386B,17.76B,2014-09,2.241B,14.90B,8.682B,172.98B,225.12B,3.305B,1.064B,7.763B,2.93B,82.28B,868.93B,9.209B,313.59B,388.92B,786.66B,338.78B,258.99B,3.231B,220.75B,133.77B
GS,2014-06,-595.00M,56.98B,64.49B,4.21,4.1,4.469B,18.39B,2014-06,2.037B,0,8.884B,174.01B,218.13B,2.821B,784.00M,8.512B,4.065B,81.63B,859.91B,9.208B,294.96B,389.59B,778.28B,359.56B,254.88B,4.359B,212.86B,128.88B
GS,2014-03,-560.00M,58.86B,64.50B,4.15,4.02,4.486B,18.23B,2014-03,2.033B,0,8.944B,172.96B,234.89B,3.021B,988.00M,8.733B,4.149B,79.10B,915.66B,7.208B,318.39B,438.14B,836.57B,346.36B,249.32B,4.539B,229.79B,124.50B
GS,2013-12,-524.00M,61.13B,61.98B,4.8,4.6,4.376B,18.24B,2013-12,2.332B,0,9.196B,168.97B,211.92B,3.552B,1.22B,8.188B,2.332B,78.47B,911.51B,7.208B,329.26B,438.69B,833.04B,368.00B,247.86B,2.806B,206.74B,106.40B
GS,2013-09,-600.00M,65.48B,58.50B,3.07,2.88,4.458B,14.70B,2013-09,1.517B,0,8.721B,176.85B,222.51B,2.167B,650.00M,6.149B,2.499B,77.62B,923.22B,7.208B,356.40B,438.79B,845.61B,337.86B,256.22B,2.779B,204.18B,121.05B
GS,2013-06,-583.00M,72.40B,61.46B,3.92,3.7,4.494B,14.02B,2013-06,1.931B,0,8.051B,170.61B,227.24B,2.645B,714.00M,7.999B,3.892B,78.04B,938.46B,7.208B,342.65B,447.66B,860.41B,369.08B,247.11B,4.158B,212.14B,116.70B
GS,2013-03,-208.00M,63.33B,40.98B,4.53,4.29,4.683B,14.03B,2013-03,2.26B,0,7.96B,197.47B,225.33B,3.373B,1.113B,9.529B,4.607B,77.23B,959.22B,6.208B,345.65B,421.67B,882.00B,400.49B,275.30B,4.909B,206.61B,123.81B
GS,2012-12,-193.00M,72.67B,67.35B,5.87,5.6,5.099B,17.27B,2012-12,2.892B,0,8.217B,177.63B,216.20B,4.313B,1.421B,8.686B,2.283B,75.72B,938.56B,6.208B,331.21B,455.36B,862.84B,420.78B,256.29B,2.783B,197.21B,117.21B
GS,2012-09,-382.00M,63.64B,47.27B,2.95,2.85,5.296B,17.16B,2012-09,1.512B,0,8.47B,197.27B,212.19B,2.298B,786.00M,7.804B,3.951B,73.69B,949.21B,5.358B,295.36B,569.83B,874.18B,429.58B,267.01B,4.347B,207.55B,84.36B
GS,2012-06,-506.00M,58.91B,33.19B,1.83,1.78,5.40B,0,2012-06,962.00M,0,8.616B,195.93B,228.08B,1.415B,453.00M,6.083B,3.165B,72.86B,948.64B,4.858B,316.80B,571.66B,875.78B,401.88B,259.58B,3.574B,223.84B,90.54B
GS,2012-03,-507.00M,57.14B,48.72B,4.05,3.92,5.37B,0,2012-03,2.109B,0,8.597B,204.73B,210.30B,3.181B,1.072B,9.382B,4.652B,71.66B,950.93B,3.108B,328.60B,583.37B,879.28B,400.14B,255.60B,5.085B,210.30B,90.41B
GS,2011-12,-516.00M,56.01B,78.22B,1.91,1.84,5.468B,0,2011-12,1.013B,0,8.697B,182.81B,202.93B,1.247B,234.00M,3.586B,1.856B,70.38B,923.22B,3.108B,326.58B,445.66B,852.85B,379.04B,234.93B,2.37B,198.82B,82.79B
GS,2011-09,-314.00M,44.20B,54.63B,-0.84,-0.84,5.459B,0,2011-09,-393.00M,0,9.484B,217.67B,219.32B,-730.00M,-337.00M,3.587B,2.124B,70.09B,948.91B,3.108B,261.21B,579.57B,878.82B,387.06B,259.47B,2.513B,219.32B,31.16B
GS,2011-06,-347.00M,45.43B,56.55B,1.96,1.85,5.187B,0,2011-06,1.087B,0,9.743B,209.73B,209.79B,1.612B,525.00M,7.281B,3.714B,72.36B,936.91B,3.108B,313.27B,571.44B,864.55B,386.68B,248.73B,4.086B,209.79B,105.55B
