Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
WLTW,2015-03,-952.00M,9.947B,567.00M,168.00M,438.00M,3.09,3.04,3.307B,0,520.00M,2015-03,210.00M,-33.00M,-33.00M,462.00M,275.00M,2.301B,324.00M,475.00M,254.00M,56.00M,1.087B,0,2.298B,16.10B,0,11.33B,10.55B,13.78B,4.777B,3.236B,196.00M,475.00M,1.245B
WLTW,2014-12,-1.066B,9.583B,600.00M,167.00M,627.00M,1.139,1.113,3.387B,0,358.00M,2014-12,76.00M,-34.00M,-34.00M,483.00M,265.00M,2.301B,155.00M,444.00M,123.00M,35.00M,958.00M,0,1.985B,15.42B,0,10.84B,10.21B,13.41B,4.582B,3.203B,203.00M,444.00M,1.175B
WLTW,2014-09,-735.00M,9.492B,569.00M,165.00M,517.00M,-0.106,-0.106,3.134B,0,243.00M,2014-09,-7.00M,-34.00M,-34.00M,481.00M,218.00M,2.325B,51.00M,471.00M,-9.00M,2.00M,812.00M,0,2.258B,15.21B,0,10.82B,10.00B,12.94B,4.384B,2.93B,192.00M,471.00M,1.13B
WLTW,2014-06,-660.00M,10.69B,575.00M,15.00M,471.00M,0.6887,0.6887,3.23B,0,360.00M,2014-06,47.00M,-35.00M,-35.00M,496.00M,216.00M,2.488B,151.00M,515.00M,110.00M,59.00M,935.00M,0,2.444B,16.55B,0,12.07B,10.98B,14.09B,4.479B,3.105B,209.00M,515.00M,1.242B
WLTW,2014-03,-685.00M,10.04B,570.00M,15.00M,407.00M,3.629,3.576,3.174B,0,527.00M,2014-03,246.00M,-32.00M,-32.00M,482.00M,166.00M,2.491B,326.00M,548.00M,294.00M,63.00M,1.097B,0,2.442B,15.83B,0,11.44B,10.28B,13.36B,4.383B,3.08B,201.00M,548.00M,1.268B
WLTW,2013-12,-693.00M,9.208B,569.00M,15.00M,637.00M,1.007,0.9801,3.191B,0,350.00M,2013-12,68.00M,-33.00M,-33.00M,481.00M,158.00M,2.494B,145.00M,410.00M,119.00M,34.00M,919.00M,0,2.215B,14.80B,0,10.46B,9.474B,12.56B,4.339B,3.083B,205.00M,410.00M,1.139B
WLTW,2013-09,-808.00M,9.82B,541.00M,17.00M,531.00M,-0.3974,-0.3974,3.207B,0,254.00M,2013-09,-27.00M,-30.00M,-30.00M,472.00M,116.00M,2.515B,70.00M,389.00M,-15.00M,11.00M,795.00M,0,2.024B,15.32B,0,11.01B,10.14B,13.28B,4.309B,3.141B,184.00M,382.00M,1.019B
WLTW,2013-06,-880.00M,10.41B,529.00M,17.00M,446.00M,1.589,1.563,3.202B,881.00M,361.00M,2013-06,105.00M,-32.00M,-32.00M,452.00M,115.00M,2.519B,167.00M,383.00M,139.00M,29.00M,890.00M,489.00M,1.977B,15.94B,0,11.67B,10.76B,13.94B,4.264B,3.173B,194.00M,346.00M,1.147B
WLTW,2013-03,-886.00M,10.34B,568.00M,15.00M,478.00M,3.364,3.285,3.182B,792.00M,483.00M,2013-03,219.00M,-31.00M,-31.00M,447.00M,114.00M,2.58B,281.00M,358.00M,256.00M,48.00M,1.051B,505.00M,1.865B,15.80B,0,11.60B,10.67B,13.91B,4.207B,3.238B,202.00M,351.00M,1.086B
WLTW,2012-12,-850.00M,9.771B,967.00M,15.00M,574.00M,-12.32,-12.32,3.212B,0,-96.00M,2012-12,-805.00M,-31.00M,-31.00M,468.00M,119.00M,2.511B,-300.00M,325.00M,-806.00M,-13.00M,871.00M,583.00M,1.699B,15.11B,0,10.90B,10.19B,13.39B,4.214B,3.193B,204.00M,325.00M,1.041B
WLTW,2012-09,-717.00M,424.00M,502.00M,15.00M,299.00M,0.3974,0.3974,3.683B,0,252.00M,2012-09,26.00M,-32.00M,-32.00M,446.00M,184.00M,2.39B,71.00M,345.00M,38.00M,10.00M,754.00M,0,2.674B,17.00B,0,12.12B,11.09B,14.30B,4.887B,3.219B,181.00M,337.00M,908.00M
WLTW,2012-06,-744.00M,407.00M,500.00M,14.00M,296.00M,1.642,1.616,3.689B,0,342.00M,2012-06,108.00M,-33.00M,-33.00M,428.00M,157.00M,2.424B,179.00M,281.00M,146.00M,36.00M,842.00M,0,2.687B,17.61B,0,12.73B,11.65B,14.90B,4.882B,3.248B,163.00M,198.00M,1.102B
WLTW,2012-03,-713.00M,464.00M,506.00M,17.00M,310.00M,3.425,3.391,3.714B,0,507.00M,2012-03,225.00M,-32.00M,-32.00M,426.00M,47.00M,2.435B,317.00M,62.00M,285.00M,68.00M,1.013B,0,2.675B,17.09B,0,12.22B,11.09B,14.39B,4.874B,3.296B,190.00M,62.00M,1.009B
WLTW,2011-12,-744.00M,9.774B,2.087B,15.00M,346.00M,0.6093,0.6093,3.715B,0,-1.268B,2011-12,25.00M,-215.00M,-215.00M,406.00M,138.00M,2.545B,81.00M,290.00M,37.00M,-2.00M,819.00M,0,2.486B,15.73B,0,10.99B,9.996B,13.21B,4.741B,3.215B,-1.349B,253.00M,987.00M
WLTW,2011-09,-539.00M,363.00M,0,114.00M,304.00M,0.9272,0.9007,3.737B,0,760.00M,2011-09,60.00M,-38.00M,-38.00M,387.00M,235.00M,2.312B,90.00M,305.00M,52.00M,2.00M,760.00M,0,2.688B,16.62B,0,11.70B,10.82B,13.90B,4.915B,3.078B,670.00M,298.00M,1.012B
WLTW,2011-06,-488.00M,317.00M,0,114.00M,345.00M,1.298,1.272,3.778B,0,861.00M,2011-06,85.00M,-34.00M,-34.00M,391.00M,111.00M,2.307B,156.00M,50.00M,122.00M,31.00M,861.00M,0,2.707B,17.94B,0,12.98B,12.08B,15.20B,4.96B,3.119B,705.00M,50.00M,1.049B
WLTW,2011-03,-509.00M,432.00M,0,145.00M,357.00M,0.5298,0.5298,3.789B,0,1.007B,2011-03,34.00M,-40.00M,-40.00M,386.00M,65.00M,2.432B,235.00M,29.00M,28.00M,1.00M,1.007B,0,2.63B,17.24B,0,12.30B,11.36B,14.57B,4.934B,3.211B,772.00M,29.00M,992.00M
