Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
NTRS,2021-03,428.00M,56.65B,0,1.71,1.7,704.00M,1.613B,2021-03,375.10M,34.17B,496.70M,9.863B,0,495.90M,120.80M,1.387B,621.90M,11.46B,163.92B,11.46B,59.73B,95.80M,152.47B,104.20B,147.32B,621.90M,0,1.970B
NTRS,2020-12,424.50M,83.46B,0,1.13,1.12,707.20M,1.467B,2020-12,240.90M,33.55B,514.90M,8.601B,0,373.40M,132.50M,1.314B,648.40M,11.69B,170.00B,1.294B,86.23B,300.00M,158.32B,102.97B,152.48B,652.70M,0,1.172B
NTRS,2020-09,370.40M,67.33B,0,1.32,1.32,698.00M,1.317B,2020-09,294.50M,32.51B,510.00M,10.90B,0,389.90M,95.40M,1.299B,597.60M,11.58B,152.08B,1.294B,71.19B,2.474B,140.50B,101.49B,133.49B,601.90M,0,2.327B
NTRS,2020-06,45.00M,68.51B,0,1.47,1.46,690.60M,0,2020-06,313.30M,33.49B,501.00M,12.62B,0,403.20M,89.90M,1.330B,573.70M,11.38B,151.43B,1.294B,72.13B,751.20M,140.05B,98.28B,134.68B,577.90M,0,2.121B
NTRS,2020-03,-194.70M,71.65B,0,1.56,1.55,689.30M,0,2020-03,360.60M,37.62B,490.20M,10.10B,0,461.10M,100.50M,1.395B,615.50M,10.88B,161.71B,1.294B,74.83B,4.405B,150.83B,102.68B,141.59B,619.60M,0,2.182B
NTRS,2019-12,-91.00M,82.10B,0,1.71,1.7,696.80M,0,2019-12,371.10M,31.24B,483.30M,10.74B,0,476.40M,105.30M,1.342B,598.50M,11.09B,136.83B,1.682B,83.72B,1.043B,125.74B,91.98B,119.86B,602.60M,0,911.30M
NTRS,2019-09,-159.80M,44.99B,0,1.7,1.69,687.20M,0,2019-09,384.60M,30.65B,400.50M,11.83B,0,508.60M,124.00M,1.344B,598.30M,10.81B,124.36B,1.291B,47.71B,466.20M,113.54B,90.13B,109.10B,602.50M,0,2.190B
NTRS,2019-06,-345.30M,49.80B,0,1.76,1.75,682.00M,0,2019-06,389.40M,30.78B,407.50M,11.76B,0,506.90M,117.50M,1.320B,577.40M,10.81B,126.55B,1.291B,51.86B,493.20M,115.75B,87.40B,111.99B,581.60M,0,1.400B
NTRS,2019-03,-453.70M,47.13B,0,1.49,1.48,683.00M,0,2019-03,347.10M,30.42B,411.50M,11.18B,0,452.20M,105.10M,1.292B,596.90M,10.62B,121.87B,1.291B,49.84B,691.50M,111.25B,86.80B,107.02B,601.10M,0,2.157B
NTRS,2018-12,0,75.81B,0,1.81,1.8,669.30M,0,2018-12,409.90M,32.29B,428.20M,11.30B,0,485.90M,76.00M,1.308B,567.80M,10.51B,132.21B,1.291B,78.72B,2.762B,121.70B,90.38B,115.80B,572.00M,0,1.737B
