Ticker,Date,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables,,,,,,2011-03
FANG,2020-12,104.00M,432.00M,306.00M,0,-4.68,-4.68,28.53B,337.00M,2020-12,33.00M,-739.00M,-50.00M,-50.00M,16.21B,783.00M,5.624B,276.00M,681.00M,-958.00M,-202.00M,769.00M,59.00M,8.794B,17.62B,2.00M,602.00M,1.236B,7.815B,17.02B,6.579B,61.00M,413.00M,437.00M,,,,,,
FANG,2020-09,92.00M,469.00M,191.00M,0,-7.05,-7.05,28.47B,251.00M,2020-09,33.00M,-1.113B,-53.00M,-53.00M,17.44B,978.00M,5.656B,195.00M,952.00M,-1.409B,-304.00M,720.00M,53.00M,9.552B,18.76B,2.00M,558.00M,1.229B,8.091B,18.20B,6.862B,56.00M,314.00M,391.00M,,,,,,2.292M
FANG,2020-06,51.00M,500.00M,119.00M,0,-15.16,-15.16,28.22B,-75.00M,2020-06,34.00M,-2.393B,-46.00M,-46.00M,18.93B,1.286B,5.952B,-133.00M,976.00M,-3.092B,-681.00M,425.00M,56.00M,10.71B,20.34B,2.00M,654.00M,1.061B,8.502B,19.68B,7.441B,58.00M,417.00M,442.00M,,,,,,
FANG,2020-03,149.00M,628.00M,59.00M,0,-1.72,-1.72,27.84B,271.00M,2020-03,36.00M,-272.00M,-48.00M,-48.00M,21.42B,1.888B,5.677B,207.00M,1.314B,-317.00M,83.00M,899.00M,60.00M,12.83B,23.39B,2.00M,1.268B,1.33B,9.07B,22.12B,7.74B,64.00M,537.00M,403.00M,,,,,,
FANG,2019-12,123.00M,626.00M,0,0,-3.04,-3.04,26.84B,478.00M,2019-12,37.00M,-487.00M,-39.00M,-39.00M,21.84B,1.886B,5.371B,406.00M,1.117B,-596.00M,-124.00M,1.104B,70.00M,13.25B,23.53B,2.00M,869.00M,1.263B,8.625B,22.66B,7.362B,72.00M,550.00M,634.00M,,,,,,0.1261
FANG,2019-09,100.00M,580.00M,0,0,2.27,2.26,25.86B,395.00M,2019-09,45.00M,368.00M,-38.00M,-38.00M,22.04B,2.019B,4.761B,349.00M,1.171B,490.00M,102.00M,975.00M,44.00M,14.05B,23.55B,2.00M,845.00M,1.181B,8.064B,22.71B,6.883B,46.00M,440.00M,538.00M,,,,,,0.1261
FANG,2019-06,326.00M,567.00M,0,0,2.12,2.11,25.05B,454.00M,2019-06,44.00M,349.00M,-49.00M,-49.00M,21.60B,1.909B,4.472B,411.00M,1.155B,458.00M,102.00M,1.021B,39.00M,14.00B,23.17B,2.00M,972.00M,1.18B,7.721B,22.20B,6.541B,43.00M,343.00M,517.00M,,,,,,
FANG,2019-03,126.00M,503.00M,0,0,0.06,0.06,24.14B,361.00M,2019-03,39.00M,10.00M,-46.00M,-46.00M,21.05B,1.802B,4.67B,319.00M,1.054B,10.00M,-33.00M,864.00M,39.00M,13.77B,22.27B,2.00M,693.00M,1.112B,7.754B,21.58B,6.642B,42.00M,331.00M,463.00M,,,,,,9.783M
FANG,2018-12,215.00M,371.00M,0,0,2.5,2.5,23.15B,262.00M,2018-12,37.00M,307.00M,-38.00M,-38.00M,20.37B,1.785B,4.464B,231.00M,960.00M,391.00M,85.00M,633.00M,29.00M,13.70B,21.60B,2.00M,925.00M,1.019B,7.429B,20.67B,6.41B,31.00M,320.00M,392.00M,,,,,,2011-03
FANG,2018-09,508.45M,248.00M,0,0,1.59,1.59,11.26B,289.00M,2018-09,14.82M,157.00M,-19.00M,-19.00M,8.715B,292.80M,2.332B,268.00M,597.96M,203.00M,43.00M,537.00M,20.00M,5.933B,9.807B,0.987M,795.69M,721.79M,3.377B,9.011B,2.655B,21.00M,161.47M,264.32M,,,,,,
