Ticker,Date,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables,,,,,,2011-03
FANG,2018-06,113.93M,224.00M,27.85M,0,2.22,2.22,10.74B,303.00M,2018-06,13.26M,219.00M,-16.00M,-16.00M,8.343B,217.48M,1.967B,281.00M,615.75M,294.00M,-7.00M,527.00M,22.00M,5.631B,8.954B,0.986M,393.35M,727.08M,2.942B,8.561B,2.215B,22.00M,151.52M,258.89M,,,,,,2.851M
FANG,2018-03,72.49M,190.00M,13.86M,0,1.65,1.65,9.505B,289.00M,2018-03,8.963M,163.00M,-14.00M,-14.00M,7.751B,152.37M,1.702B,267.00M,507.98M,225.00M,47.00M,479.00M,20.00M,5.417B,8.225B,0.986M,324.47M,607.67M,2.490B,7.900B,1.882B,22.00M,145.18M,236.28M,,,,,,-0.4916M
FANG,2017-12,112.45M,171.10M,0,0,1.17,1.16,9.105B,227.98M,2017-12,9.108M,114.30M,-11.34M,-11.34M,7.344B,108.05M,1.477B,213.64M,448.05M,105.46M,-24.39M,399.08M,14.37M,5.255B,7.771B,0.982M,358.60M,577.43M,2.189B,7.412B,1.612B,14.34M,166.60M,231.61M,,,,,,-0.4916M
FANG,2017-09,30.20M,142.89M,0,0,0.74,0.74,8.479B,158.36M,2017-09,4.834M,73.02M,-9.192M,-9.192M,7.049B,3.313M,1.256B,142.64M,407.61M,82.80M,0.857M,301.25M,15.36M,4.898B,7.288B,0.982M,193.85M,417.62M,1.701B,7.094B,1.284B,15.72M,127.76M,153.69M,,,,,,
FANG,2017-06,16.59M,121.87M,0,0,1.61,1.61,7.998B,147.56M,2017-06,4.925M,158.40M,-8.245M,-8.245M,6.509B,2.655M,1.152B,132.31M,323.17M,165.71M,1.579M,269.43M,14.91M,4.818B,6.784B,0.981M,221.34M,323.17M,1.497B,6.562B,1.174B,15.26M,79.81M,154.64M,,,,,,
FANG,2017-03,37.44M,102.13M,0,0,1.46,1.46,5.227B,133.10M,2017-03,3.027M,136.27M,-12.22M,-12.22M,6.103B,1.548M,985.79M,116.41M,244.07M,143.03M,1.957M,235.23M,16.36M,4.652B,6.370B,0.981M,198.77M,244.07M,1.250B,6.171B,1.006B,16.69M,68.50M,139.48M,,,,,,
FANG,2016-12,1.667B,83.89M,0,0,0.32,0.32,5.009B,101.12M,2016-12,1.983M,25.60M,-10.42M,-10.42M,3.391B,0,1.106B,87.08M,171.59M,28.26M,-0.176M,185.01M,13.75M,3.697B,5.350B,0.901M,1.792B,209.34M,1.331B,3.558B,1.122B,14.04M,71.83M,120.12M,,,,,,3.355M
FANG,2016-09,167.27M,76.05M,0,0,-0.03,-0.03,4.190B,66.08M,2016-09,1.969M,-2.23M,-10.23M,-10.23M,3.224B,0,497.81M,53.06M,168.60M,-0.60M,0,142.13M,12.75M,2.515B,3.526B,0.781M,258.27M,175.02M,690.38M,3.267B,515.36M,13.02M,56.40M,85.51M,,,,,,
FANG,2016-06,218.79M,66.71M,0,0,-2.17,-2.17,4.093B,45.78M,2016-06,1.494M,-155.49M,-10.02M,-10.02M,2.496B,0,494.48M,33.57M,134.88M,-156.75M,0.368M,112.48M,11.96M,1.959B,2.840B,0.717M,297.95M,141.70M,653.80M,2.542B,512.10M,12.21M,41.54M,74.91M,,,,,,2.851M
FANG,2016-03,235.81M,68.25M,0,0,-0.46,-0.46,0,19.23M,2016-03,1.591M,-32.91M,-10.01M,-10.01M,2.607B,0,485.64M,3.213M,106.70M,-35.63M,0,87.48M,15.77M,2.108B,2.943B,0.717M,291.06M,106.70M,605.90M,2.652B,499.20M,16.01M,20.34M,49.06M,,,,,,
FANG,2015-12,20.12M,74.01M,14.10M,12.40M,-2.8,-2.8,4.011B,40.31M,2015-12,1.728M,-187.41M,-10.11M,-10.11M,2.598B,0,487.81M,29.80M,127.13M,-193.32M,-6.487M,114.32M,10.27M,1.876B,2.751B,0.668M,108.74M,141.42M,641.75M,2.642B,500.32M,10.52M,37.71M,78.90M,,,,,,12.07M
FANG,2015-09,43.83M,83.53M,11.85M,15.00M,-2.4,-2.4,3.906B,28.42M,2015-09,2.602M,-156.78M,-10.63M,-10.63M,2.758B,55.35M,489.00M,18.96M,187.78M,-237.50M,-81.46M,111.95M,9.214M,2.056B,2.992B,0.667M,173.44M,200.17M,701.83M,2.818B,501.66M,9.452M,52.43M,83.24M,,,,,,0.6010M
FANG,2015-06,44.68M,85.24M,4.538M,32.46M,-3.45,-3.45,3.769B,33.82M,2015-06,2.658M,-212.29M,-10.27M,-10.27M,2.946B,171.51M,718.00M,24.33M,127.63M,-328.08M,-116.73M,119.06M,9.309M,2.010B,3.171B,0.637M,170.36M,142.64M,927.84M,3.001B,785.20M,9.489M,42.42M,70.41M,,,,,,
FANG,2015-03,31.64M,90.53M,0.145M,39.95M,0.1,0.1,3.267B,10.87M,2015-03,2.847M,5.849M,-10.50M,-10.50M,2.826B,161.59M,611.58M,1.437M,151.57M,9.809M,3.37M,101.40M,9.266M,1.883B,3.092B,0.59M,215.37M,184.03M,975.96M,2.877B,791.93M,9.436M,25.35M,83.21M,,,,,,
FANG,2014-12,30.18M,86.10M,0,1.044M,1.74,1.73,3.174B,45.49M,2014-12,2.827M,98.67M,-10.42M,-10.42M,2.792B,140.31M,673.50M,37.90M,214.89M,156.16M,56.24M,131.58M,7.423M,1.751B,3.095B,0.569M,251.71M,266.73M,1.110B,2.844B,843.54M,7.587M,66.18M,97.99M,,,,,,
FANG,2014-09,40.64M,68.13M,0,0,0.79,0.79,2.952B,71.00M,2014-09,3.105M,43.74M,-9.846M,-9.846M,2.626B,124.74M,590.00M,63.52M,195.24M,68.62M,23.98M,139.13M,7.355M,1.652B,2.821B,0.567M,143.26M,196.29M,934.71M,2.677B,738.42M,7.482M,25.96M,90.23M,,,,,,
FANG,2014-06,36.99M,59.07M,0,0,0.55,0.54,2.203B,67.93M,2014-06,3.308M,27.75M,-7.739M,-7.739M,1.920B,106.63M,496.00M,63.19M,158.50M,42.99M,15.16M,127.00M,4.637M,1.115B,2.047B,0.509M,114.70M,168.88M,795.06M,1.933B,626.18M,4.741M,38.71M,68.66M,,,,,,
FANG,2014-03,25.31M,44.73M,0,0,0.49,0.48,2.077B,53.27M,2014-03,5.889M,23.59M,-6.505M,-6.505M,1.834B,91.76M,587.00M,48.06M,152.30M,37.19M,13.60M,98.00M,5.139M,1.083B,1.937B,0.508M,90.65M,155.21M,853.99M,1.846B,698.78M,5.211M,37.44M,56.58M,,,,,,
FANG,2013-12,15.56M,34.02M,0,0,0.43,0.42,1.659B,41.89M,2013-12,5.631M,20.12M,-5.95M,-5.95M,1.446B,80.54M,460.00M,37.73M,116.74M,31.82M,11.69M,75.91M,4.10M,845.54M,1.522B,0.471M,61.97M,121.32M,676.07M,1.460B,554.75M,4.167M,12.37M,39.27M,,,,,,
FANG,2013-09,53.10M,25.94M,0,0,0.33,0.33,1.550B,31.85M,2013-09,6.228M,14.60M,-1.088M,-1.088M,1.361B,0,450.08M,29.42M,107.37M,23.70M,9.099M,57.79M,2.382M,822.94M,1.466B,0.47M,91.92M,109.45M,642.96M,1.374B,533.51M,2.428M,31.14M,31.28M,,,,,,
FANG,2013-06,81.90M,23.10M,0.145M,0.182M,0.37,0.36,852.48M,22.30M,2013-06,6.271M,14.47M,-0.535M,-0.535M,681.17M,71.10M,0.121M,19.38M,94.48M,22.27M,7.802M,45.39M,2.868M,627.61M,798.64M,0.422M,116.54M,97.49M,171.03M,682.10M,73.54M,2.913M,28.37M,24.37M,,,,,,6.428M
FANG,2013-03,5.516M,17.60M,0.145M,0,0.15,0.15,769.38M,11.31M,2013-03,6.247M,5.396M,-0.485M,-0.485M,612.81M,65.21M,36.66M,8.662M,71.73M,8.558M,3.162M,28.91M,2.604M,468.03M,648.46M,0.37M,34.52M,76.34M,180.43M,613.95M,104.09M,2.647M,12.13M,19.68M,,,,,,
FANG,2012-12,26.36M,17.51M,4.882M,0,-1.408,-1.408,700.08M,8.261M,2012-12,6.195M,-52.07M,-0.426M,-0.426M,554.24M,62.70M,0.193M,2.177M,69.51M,2.829M,54.90M,25.77M,6.049M,462.07M,606.70M,0.37M,50.28M,79.23M,144.63M,556.43M,65.40M,6.084M,34.22M,14.81M,,,,,,
FANG,2012-09,1.275M,10.94M,10.13M,0,0.0129,0.0129,413.08M,5.876M,2012-09,6.31M,0.452M,-1.129M,-1.129M,277.35M,0,120.28M,4.086M,43.75M,0.452M,0,16.81M,1.768M,124.60M,307.77M,0,26.90M,60.07M,183.17M,280.86M,123.10M,1.79M,26.18M,18.22M,,,,,,
FANG,2012-06,2.067M,9.97M,10.07M,0,0.6025,0.6025,385.45M,6.06M,2012-06,5.891M,13.62M,-1.172M,-1.172M,255.73M,0,104.45M,4.307M,37.89M,13.62M,0,16.03M,1.732M,123.87M,282.99M,0,25.26M,51.81M,159.12M,257.73M,107.31M,1.753M,14.98M,15.29M,,,,,,
FANG,2012-03,9.043M,8.343M,12.49M,0,0.0653,0.0653,351.63M,8.008M,2012-03,7.184M,1.477M,-0.88M,-0.88M,227.47M,0,85.00M,6.737M,30.02M,1.477M,0,16.35M,1.251M,120.51M,267.04M,0,27.58M,53.47M,146.54M,239.46M,93.06M,1.271M,16.86M,10.95M,,,,,,
FANG,2011-12,6.959M,26.80M,0,0,-0.3891,-0.3891,340.85M,-11.93M,2011-12,6.007M,-8.798M,-0.711M,-0.711M,221.15M,0,85.00M,4.894M,33.98M,-8.798M,0,14.87M,1.681M,129.04M,263.58M,0,30.81M,42.30M,134.54M,232.77M,92.24M,-16.82M,15.16M,17.51M,,,,,,
FANG,2011-09,3.218M,0.588M,0,0,0.0924,0.0924,306.02M,10.38M,2011-09,6.431M,2.089M,-0.716M,-0.716M,190.80M,0,80.00M,2.812M,32.69M,2.089M,0,10.97M,0.755M,115.02M,230.20M,0,32.66M,32.69M,115.18M,197.54M,82.49M,7.571M,19.02M,22.37M,,,,,,
FANG,2011-06,4.090M,0.6209M,0,0,0.1536,0.1536,251.69M,10.83M,2011-06,8.434M,3.473M,-0.5985M,-0.5985M,146.84M,0,44.77M,4.087M,20.01M,3.473M,0,11.45M,0.8203M,105.64M,172.52M,0,25.04M,20.01M,66.88M,147.48M,46.87M,6.747M,13.93M,12.19M,,,,,,
